"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"39
Crawford","23",".05%","88.46%","3",".08%","11.54%","26",".05%"
"40
Crisp","287",".57%","91.99%","25",".67%","8.01%","312",".58%"
"41
Dade","134",".27%","97.10%","4",".11%","2.90%","138",".26%"
"42
Dawson","109",".22%","90.83%","11",".30%","9.17%","120",".22%"
"43
Decatur","353",".71%","92.89%","27",".72%","7.11%","380",".71%"
"44
Dekalb","2,959","5.93%","95.05%","154","4.13%","4.95%","3,113","5.80%"
"45
Dodge","149",".30%","91.41%","14",".38%","8.59%","163",".30%"
"46
Dooly","102",".20%","92.73%","8",".21%","7.27%","110",".21%"
"47
Dougherty","961","1.92%","94.31%","58","1.56%","5.69%","1,019","1.90%"
"48
Douglas","1,121","2.25%","90.70%","114","3.06%","9.22%","1,236","2.30%"
"49
Early","83",".17%","96.51%","3",".08%","3.49%","86",".16%"
"50
Echols","9",".02%","100.00%","","","","9",".02%"
"51
Effingham","164",".33%","93.71%","11",".30%","6.29%","175",".33%"
"52
Elbert","159",".32%","97.55%","4",".11%","2.45%","163",".30%"
"53
Emanuel","182",".36%","96.81%","6",".16%","3.19%","188",".35%"
"54
Evans","92",".18%","94.85%","5",".13%","5.15%","97",".18%"
"55
Fannin","96",".19%","92.31%","8",".21%","7.69%","104",".19%"
"56
Fayette","365",".73%","90.12%","40","1.07%","9.88%","405",".75%"
"57
Floyd","799","1.60%","89.47%","94","2.52%","10.53%","893","1.66%"
"58
Forsyth","288",".58%","88.07%","39","1.05%","11.93%","327",".61%"
"59
Franklin","135",".27%","93.10%","10",".27%","6.90%","145",".27%"
"60
Fulton","4,622","9.26%","96.13%","186","4.99%","3.87%","4,808","8.96%"
"61
Gilmer","128",".26%","92.75%","10",".27%","7.25%","138",".26%"
"62
Glascock","8",".02%","88.89%","1",".03%","11.11%","9",".02%"
"63
Glynn","404",".81%","94.84%","22",".59%","5.16%","426",".79%"
"64
Gordon","305",".61%","90.77%","31",".83%","9.23%","336",".63%"
"65
Grady","218",".44%","95.61%","10",".27%","4.39%","228",".42%"
"66
Greene","149",".30%","94.90%","8",".21%","5.10%","157",".29%"
"67
Gwinnett","2,080","4.17%","92.04%","180","4.83%","7.96%","2,260","4.21%"
"68
Habersham","126",".25%","92.65%","10",".27%","7.35%","136",".25%"
"69
Hall","727","1.46%","92.26%","61","1.64%","7.74%","788","1.47%"
"70
Hancock","34",".07%","97.14%","1",".03%","2.86%","35",".07%"
"71
Haralson","98",".20%","95.15%","5",".13%","4.85%","103",".19%"
"72
Harris","116",".23%","94.31%","7",".19%","5.69%","123",".23%"
"73
Hart","116",".23%","95.87%","5",".13%","4.13%","121",".23%"
"74
Heard","69",".14%","95.83%","3",".08%","4.17%","72",".13%"
"75
Henry","541","1.08%","89.57%","63","1.69%","10.43%","604","1.13%"
"76
Houston","611","1.22%","93.43%","43","1.15%","6.57%","654","1.22%"
