"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"076
Houston County","703","1.40%","95.52%","33",".92%","4.48%","736","1.37%"
"077
Irwin County","69",".14%","97.18%","2",".06%","2.82%","71",".13%"
"078
Jackson County","245",".49%","94.23%","15",".42%","5.77%","260",".48%"
"079
Jasper County","62",".12%","95.38%","3",".08%","4.62%","65",".12%"
"080
Jeff Davis County","88",".18%","94.62%","5",".14%","5.38%","93",".17%"
"081
Jefferson County","144",".29%","96.64%","5",".14%","3.36%","149",".28%"
"082
Jenkins County","65",".13%","95.59%","3",".08%","4.41%","68",".13%"
"083
Johnson County","43",".09%","97.73%","1",".03%","2.27%","44",".08%"
"084
Jones County","184",".37%","90.20%","20",".56%","9.80%","204",".38%"
"085
Lamar County","74",".15%","92.50%","6",".17%","7.50%","80",".15%"
"086
Lanier County","46",".09%","97.87%","1",".03%","2.13%","47",".09%"
"087
Laurens County","272",".54%","94.77%","15",".42%","5.23%","287",".53%"
"088
Lee County","59",".12%","93.65%","4",".11%","6.35%","63",".12%"
"089
Liberty County","250",".50%","91.91%","22",".61%","8.09%","272",".51%"
"090
Lincoln County","27",".05%","96.43%","1",".03%","3.57%","28",".05%"
"091
Long County","78",".16%","91.76%","7",".20%","8.24%","85",".16%"
"092
Lowndes County","523","1.04%","96.49%","19",".53%","3.51%","542","1.01%"
"093
Lumpkin County","89",".18%","94.68%","5",".14%","5.32%","94",".17%"
"094
Macon County","55",".11%","96.49%","2",".06%","3.51%","57",".11%"
"095
Madison County","132",".26%","94.96%","7",".20%","5.04%","139",".26%"
"096
Marion County","24",".05%","100.00%","","","","24",".04%"
"097
Mcduffie County","183",".36%","95.81%","8",".22%","4.19%","191",".36%"
"098
Mcintosh County","60",".12%","98.36%","1",".03%","1.64%","61",".11%"
"099
Meriwether County","175",".35%","92.59%","14",".39%","7.41%","189",".35%"
"100
Miller County","33",".07%","100.00%","","","","33",".06%"
"101
Mitchell County","168",".33%","92.82%","13",".36%","7.18%","181",".34%"
"102
Monroe County","132",".26%","88.00%","18",".50%","12.00%","150",".28%"
"103
Montgomery County","27",".05%","93.10%","2",".06%","6.90%","29",".05%"
"104
Morgan County","144",".29%","92.31%","12",".34%","7.69%","156",".29%"
"105
Murray County","153",".30%","93.29%","11",".31%","6.71%","164",".31%"
"106
Muscogee County","1,174","2.34%","95.68%","53","1.48%","4.32%","1,227","2.28%"
"107
Newton County","654","1.30%","92.90%","50","1.40%","7.10%","704","1.31%"
"108
Oconee County","53",".11%","96.36%","2",".06%","3.64%","55",".10%"
"109
Oglethorpe County","51",".10%","96.23%","2",".06%","3.77%","53",".10%"
"110
Paulding County","224",".45%","92.95%","17",".48%","7.05%","241",".45%"
"111
Peach County","88",".18%","94.62%","5",".14%","5.38%","93",".17%"
"112
Pickens County","88",".18%","90.72%","9",".25%","9.28%","97",".18%"
"113
Pierce County","86",".17%","96.63%","3",".08%","3.37%","89",".17%"
