"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"39
Crawford","19",".04%","82.61%","4",".12%","17.39%","23",".05%"
"40
Crisp","268",".57%","93.71%","18",".53%","6.29%","286",".57%"
"41
Dade","132",".28%","89.80%","15",".45%","10.20%","147",".29%"
"42
Dawson","83",".18%","90.22%","9",".27%","9.78%","92",".18%"
"43
Decatur","289",".61%","92.33%","24",".71%","7.67%","313",".62%"
"44
Dekalb","2,959","6.30%","94.78%","163","4.84%","5.22%","3,122","6.20%"
"45
Dodge","170",".36%","95.51%","8",".24%","4.49%","178",".35%"
"46
Dooly","98",".21%","96.08%","4",".12%","3.92%","102",".20%"
"47
Dougherty","963","2.05%","93.68%","65","1.93%","6.32%","1,028","2.04%"
"48
Douglas","1,065","2.27%","90.95%","106","3.15%","9.05%","1,171","2.32%"
"49
Early","79",".17%","98.75%","1",".03%","1.25%","80",".16%"
"50
Echols","10",".02%","100.00%","","","","10",".02%"
"51
Effingham","160",".34%","89.89%","18",".53%","10.11%","178",".35%"
"52
Elbert","161",".34%","94.15%","10",".30%","5.85%","171",".34%"
"53
Emanuel","147",".31%","94.84%","8",".24%","5.16%","155",".31%"
"54
Evans","81",".17%","95.29%","4",".12%","4.71%","85",".17%"
"55
Fannin","106",".23%","93.81%","7",".21%","6.19%","113",".22%"
"56
Fayette","265",".56%","90.44%","28",".83%","9.56%","293",".58%"
"57
Floyd","774","1.65%","88.97%","96","2.85%","11.03%","870","1.73%"
"58
Forsyth","259",".55%","91.52%","24",".71%","8.48%","283",".56%"
"59
Franklin","131",".28%","91.61%","12",".36%","8.39%","143",".28%"
"60
Fulton","4,101","8.72%","96.45%","151","4.48%","3.55%","4,252","8.44%"
"61
Gilmer","116",".25%","88.55%","15",".45%","11.45%","131",".26%"
"62
Glascock","6",".01%","85.71%","1",".03%","14.29%","7",".01%"
"63
Glynn","447",".95%","95.72%","20",".59%","4.28%","467",".93%"
"64
Gordon","283",".60%","89.56%","33",".98%","10.44%","316",".63%"
"65
Grady","216",".46%","93.51%","15",".45%","6.49%","231",".46%"
"66
Greene","102",".22%","93.58%","7",".21%","6.42%","109",".22%"
"67
Gwinnett","1,557","3.31%","91.97%","136","4.04%","8.03%","1,693","3.36%"
"68
Habersham","117",".25%","92.86%","9",".27%","7.14%","126",".25%"
"69
Hall","738","1.57%","92.02%","64","1.90%","7.98%","802","1.59%"
"70
Hancock","34",".07%","94.44%","2",".06%","5.56%","36",".07%"
"71
Haralson","82",".17%","94.25%","5",".15%","5.75%","87",".17%"
"72
Harris","99",".21%","97.06%","3",".09%","2.94%","102",".20%"
"73
Hart","108",".23%","96.43%","4",".12%","3.57%","112",".22%"
"74
Heard","54",".11%","90.00%","6",".18%","10.00%","60",".12%"
"75
Henry","504","1.07%","91.80%","45","1.34%","8.20%","549","1.09%"
"76
Houston","593","1.26%","92.51%","48","1.42%","7.49%","641","1.27%"
