"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"081   Jefferson County","123","0.25%","94.62%","7","0.17%","5.38%","130","0.24%"
"082   Jenkins County","88","0.18%","95.65%","4","0.1%","4.35%","92","0.17%"
"083   Johnson County","45","0.09%","93.75%","3","0.07%","6.25%","48","0.09%"
"084   Jones County","143","0.29%","95.33%","7","0.17%","4.67%","150","0.28%"
"085   Lamar County","98","0.2%","89.09%","12","0.3%","10.91%","110","0.21%"
"086   Lanier County","54","0.11%","88.52%","7","0.17%","11.48%","61","0.11%"
"087   Laurens County","284","0.57%","92.21%","24","0.6%","7.79%","308","0.58%"
"088   Lee County","90","0.18%","94.74%","5","0.12%","5.26%","95","0.18%"
"089   Liberty County","259","0.52%","92.17%","22","0.55%","7.83%","281","0.53%"
"090   Lincoln County","45","0.09%","95.74%","2","0.05%","4.26%","47","0.09%"
"091   Long County","65","0.13%","90.28%","7","0.17%","9.72%","72","0.13%"
"092   Lowndes County","486","0.98%","95.11%","25","0.62%","4.89%","511","0.96%"
"093   Lumpkin County","94","0.19%","87.85%","13","0.32%","12.15%","107","0.2%"
"094   Macon County","45","0.09%","97.83%","1","0.02%","2.17%","46","0.09%"
"095   Madison County","137","0.28%","92.57%","11","0.27%","7.43%","148","0.28%"
"096   Marion County","21","0.04%","87.5%","3","0.07%","12.5%","24","0.04%"
"097   Mcduffie County","180","0.36%","95.24%","9","0.22%","4.76%","189","0.35%"
"098   Mcintosh County","79","0.16%","96.34%","3","0.07%","3.66%","82","0.15%"
"099   Meriwether County","147","0.3%","94.84%","8","0.2%","5.16%","155","0.29%"
"100   Miller County","32","0.06%","94.12%","2","0.05%","5.88%","34","0.06%"
"101   Mitchell County","183","0.37%","93.37%","13","0.32%","6.63%","196","0.37%"
"102   Monroe County","207","0.42%","89.22%","25","0.62%","10.78%","232","0.43%"
"103   Montgomery County","32","0.06%","86.49%","5","0.12%","13.51%","37","0.07%"
"104   Morgan County","139","0.28%","94.56%","8","0.2%","5.44%","147","0.27%"
"105   Murray County","301","0.61%","88.27%","40","1.0%","11.73%","341","0.64%"
"106   Muscogee County","1,332","2.69%","94.8%","73","1.82%","5.2%","1,405","2.63%"
"107   Newton County","701","1.42%","91.87%","62","1.55%","8.13%","763","1.43%"
