"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038 
Coweta County","611","1.30%","94.44%","36",".98%","5.56%","647","1.28%"
"039 
Crawford County","22",".05%","100.00%","","","","22",".04%"
"040 
Crisp County","381",".81%","92.70%","30",".82%","7.30%","411",".81%"
"041 
Dade County","87",".19%","85.29%","15",".41%","14.71%","102",".20%"
"042 
Dawson County","137",".29%","90.13%","15",".41%","9.87%","152",".30%"
"043 
Decatur County","289",".61%","90.60%","30",".82%","9.40%","319",".63%"
"044 
Dekalb County","2,392","5.09%","95.53%","112","3.05%","4.47%","2,504","4.94%"
"045 
Dodge County","141",".30%","89.81%","16",".44%","10.19%","157",".31%"
"046 
Dooly County","137",".29%","87.82%","19",".52%","12.18%","156",".31%"
"047 
Dougherty County","745","1.59%","95.39%","36",".98%","4.61%","781","1.54%"
"048 
Douglas County","846","1.80%","90.29%","91","2.47%","9.71%","937","1.85%"
"049 
Early County","87",".19%","96.67%","3",".08%","3.33%","90",".18%"
"050 
Echols County","10",".02%","76.92%","3",".08%","23.08%","13",".03%"
"051 
Effingham County","339",".72%","88.74%","43","1.17%","11.26%","382",".75%"
"052 
Elbert County","137",".29%","93.20%","10",".27%","6.80%","147",".29%"
"053 
Emanuel County","189",".40%","93.10%","14",".38%","6.90%","203",".40%"
"054 
Evans County","76",".16%","91.57%","7",".19%","8.43%","83",".16%"
"055 
Fannin County","97",".21%","91.51%","9",".24%","8.49%","106",".21%"
"056 
Fayette County","366",".78%","90.59%","38","1.03%","9.41%","404",".80%"
"057 
Floyd County","844","1.80%","89.79%","96","2.61%","10.21%","940","1.85%"
"058 
Forsyth County","380",".81%","88.79%","48","1.31%","11.21%","428",".84%"
"059 
Franklin County","169",".36%","88.48%","22",".60%","11.52%","191",".38%"
"060 
Fulton County","4,303","9.16%","96.20%","170","4.62%","3.80%","4,473","8.83%"
"061 
Gilmer County","97",".21%","88.99%","12",".33%","11.01%","109",".22%"
"062 
Glascock County","15",".03%","100.00%","","","","15",".03%"
"063 
Glynn County","536","1.14%","93.71%","36",".98%","6.29%","572","1.13%"
"064 
Gordon County","383",".81%","88.05%","52","1.41%","11.95%","435",".86%"
"065 
Grady County","194",".41%","92.38%","16",".44%","7.62%","210",".41%"
"066 
Greene County","115",".24%","87.79%","16",".44%","12.21%","131",".26%"
"067 
Gwinnett County","2,393","5.09%","93.00%","180","4.90%","7.00%","2,573","5.08%"
"068 
Habersham County","131",".28%","88.51%","17",".46%","11.49%","148",".29%"
"069 
Hall County","657","1.40%","91.89%","58","1.58%","8.11%","715","1.41%"
"070 
Hancock County","40",".09%","93.02%","3",".08%","6.98%","43",".08%"
"071 
Haralson County","182",".39%","90.55%","19",".52%","9.45%","201",".40%"
"072 
Harris County","91",".19%","95.79%","4",".11%","4.21%","95",".19%"
"073 
Hart County","171",".36%","92.93%","13",".35%","7.07%","184",".36%"
"074 
Heard County","52",".11%","92.86%","4",".11%","7.14%","56",".11%"
"075 
Henry County","719","1.53%","92.54%","58","1.58%","7.46%","777","1.53%"
