"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"000   Unknown","261","0.53%","96.31%","10","0.24%","3.69%","271","0.51%"
"001   Appling County","122","0.25%","95.31%","6","0.15%","4.69%","128","0.24%"
"002   Atkinson County","41","0.08%","91.11%","4","0.1%","8.89%","45","0.08%"
"003   Bacon County","83","0.17%","93.26%","6","0.15%","6.74%","89","0.17%"
"004   Baker County","12","0.02%","80.0%","3","0.07%","20.0%","15","0.03%"
"005   Baldwin County","339","0.69%","91.13%","33","0.81%","8.87%","372","0.7%"
"006   Banks County","94","0.19%","88.68%","12","0.29%","11.32%","106","0.2%"
"007   Barrow County","396","0.8%","89.8%","45","1.1%","10.2%","441","0.83%"
"008   Bartow County","552","1.12%","89.47%","65","1.59%","10.53%","617","1.15%"
"009   Ben Hill County","237","0.48%","90.8%","24","0.59%","9.2%","261","0.49%"
"010   Berrien County","131","0.27%","89.73%","15","0.37%","10.27%","146","0.27%"
"011   Bibb County","970","1.97%","95.1%","50","1.22%","4.9%","1,020","1.91%"
"012   Bleckley County","61","0.12%","91.04%","6","0.15%","8.96%","67","0.13%"
"013   Brantley County","68","0.14%","86.08%","11","0.27%","13.92%","79","0.15%"
"014   Brooks County","64","0.13%","94.12%","4","0.1%","5.88%","68","0.13%"
"015   Bryan County","109","0.22%","92.37%","9","0.22%","7.63%","118","0.22%"
"016   Bulloch County","580","1.18%","93.85%","38","0.93%","6.15%","618","1.16%"
"017   Burke County","214","0.43%","96.4%","8","0.2%","3.6%","222","0.42%"
"018   Butts County","145","0.29%","89.51%","17","0.42%","10.49%","162","0.3%"
"019   Calhoun County","30","0.06%","96.77%","1","0.02%","3.23%","31","0.06%"
"020   Camden County","184","0.37%","91.54%","17","0.42%","8.46%","201","0.38%"
"021   Candler County","92","0.19%","92.93%","7","0.17%","7.07%","99","0.19%"
"022   Carroll County","635","1.29%","92.43%","52","1.27%","7.57%","687","1.29%"
"023   Catoosa County","388","0.79%","83.26%","78","1.91%","16.74%","466","0.87%"
"024   Charlton County","62","0.13%","88.57%","8","0.2%","11.43%","70","0.13%"
"025   Chatham County","1,400","2.84%","95.04%","73","1.79%","4.96%","1,473","2.76%"
"026   Chattahoochee County","16","0.03%","100.0%","","","","16","0.03%"
