"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038
Coweta County","536","1.04%","93.06%","40","1.07%","6.94%","576","1.04%"
"039
Crawford County","18",".03%","100.00%","","","","18",".03%"
"040
Crisp County","274",".53%","95.14%","14",".37%","4.86%","288",".52%"
"041
Dade County","105",".20%","90.52%","11",".29%","9.48%","116",".21%"
"042
Dawson County","116",".23%","89.23%","14",".37%","10.77%","130",".24%"
"043
Decatur County","313",".61%","93.43%","22",".59%","6.57%","335",".61%"
"044
Dekalb County","3,175","6.17%","95.46%","151","4.03%","4.54%","3,326","6.02%"
"045
Dodge County","158",".31%","92.40%","13",".35%","7.60%","171",".31%"
"046
Dooly County","98",".19%","95.15%","5",".13%","4.85%","103",".19%"
"047
Dougherty County","992","1.93%","94.30%","60","1.60%","5.70%","1,052","1.90%"
"048
Douglas County","1,305","2.53%","90.69%","134","3.57%","9.31%","1,439","2.60%"
"049
Early County","93",".18%","96.88%","3",".08%","3.13%","96",".17%"
"050
Echols County","11",".02%","91.67%","1",".03%","8.33%","12",".02%"
"051
Effingham County","213",".41%","93.42%","15",".40%","6.58%","228",".41%"
"052
Elbert County","130",".25%","92.20%","11",".29%","7.80%","141",".26%"
"053
Emanuel County","173",".34%","93.01%","13",".35%","6.99%","186",".34%"
"054
Evans County","98",".19%","96.08%","4",".11%","3.92%","102",".18%"
"055
Fannin County","96",".19%","89.72%","11",".29%","10.28%","107",".19%"
"056
Fayette County","399",".77%","89.06%","49","1.31%","10.94%","448",".81%"
"057
Floyd County","803","1.56%","88.53%","104","2.77%","11.47%","907","1.64%"
"058
Forsyth County","332",".64%","87.37%","48","1.28%","12.63%","380",".69%"
"059
Franklin County","139",".27%","94.56%","8",".21%","5.44%","147",".27%"
"060
Fulton County","4,965","9.64%","95.57%","230","6.13%","4.43%","5,195","9.40%"
"061
Gilmer County","120",".23%","94.49%","7",".19%","5.51%","127",".23%"
"062
Glascock County","6",".01%","85.71%","1",".03%","14.29%","7",".01%"
"063
Glynn County","460",".89%","94.85%","25",".67%","5.15%","485",".88%"
"064
Gordon County","347",".67%","88.30%","46","1.23%","11.70%","393",".71%"
"065
Grady County","216",".42%","94.74%","12",".32%","5.26%","228",".41%"
"066
Greene County","121",".23%","93.08%","9",".24%","6.92%","130",".24%"
"067
Gwinnett County","2,487","4.83%","92.63%","198","5.28%","7.37%","2,685","4.86%"
"068
Habersham County","104",".20%","98.11%","2",".05%","1.89%","106",".19%"
"069
Hall County","724","1.41%","90.27%","78","2.08%","9.73%","802","1.45%"
"070
Hancock County","36",".07%","97.30%","1",".03%","2.70%","37",".07%"
"071
Haralson County","107",".21%","95.54%","5",".13%","4.46%","112",".20%"
"072
Harris County","116",".23%","94.31%","7",".19%","5.69%","123",".22%"
"073
Hart County","136",".26%","95.10%","7",".19%","4.90%","143",".26%"
"074
Heard County","55",".11%","93.22%","4",".11%","6.78%","59",".11%"
"075
Henry County","587","1.14%","91.15%","57","1.52%","8.85%","644","1.17%"
