"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038
Coweta County","543","1.04%","93.30%","39","1.01%","6.70%","582","1.03%"
"039
Crawford County","18",".03%","100.00%","","","","18",".03%"
"040
Crisp County","282",".54%","94.63%","16",".41%","5.37%","298",".53%"
"041
Dade County","109",".21%","90.08%","12",".31%","9.92%","121",".22%"
"042
Dawson County","117",".22%","90.00%","13",".34%","10.00%","130",".23%"
"043
Decatur County","330",".63%","91.67%","30",".78%","8.33%","360",".64%"
"044
Dekalb County","3,222","6.15%","95.02%","169","4.38%","4.98%","3,391","6.03%"
"045
Dodge County","161",".31%","94.71%","9",".23%","5.29%","170",".30%"
"046
Dooly County","92",".18%","93.88%","6",".16%","6.12%","98",".17%"
"047
Dougherty County","1,004","1.92%","94.36%","60","1.55%","5.64%","1,064","1.89%"
"048
Douglas County","1,331","2.54%","90.24%","144","3.73%","9.76%","1,475","2.62%"
"049
Early County","92",".18%","94.85%","5",".13%","5.15%","97",".17%"
"050
Echols County","10",".02%","90.91%","1",".03%","9.09%","11",".02%"
"051
Effingham County","205",".39%","94.04%","13",".34%","5.96%","218",".39%"
"052
Elbert County","129",".25%","92.81%","10",".26%","7.19%","139",".25%"
"053
Emanuel County","169",".32%","91.35%","16",".41%","8.65%","185",".33%"
"054
Evans County","105",".20%","96.33%","4",".10%","3.67%","109",".19%"
"055
Fannin County","102",".19%","90.27%","11",".28%","9.73%","113",".20%"
"056
Fayette County","397",".76%","88.42%","52","1.35%","11.58%","449",".80%"
"057
Floyd County","812","1.55%","88.74%","103","2.67%","11.26%","915","1.63%"
"058
Forsyth County","350",".67%","86.00%","57","1.48%","14.00%","407",".72%"
"059
Franklin County","144",".27%","96.64%","5",".13%","3.36%","149",".26%"
"060
Fulton County","5,014","9.57%","95.58%","232","6.01%","4.42%","5,246","9.33%"
"061
Gilmer County","120",".23%","93.02%","9",".23%","6.98%","129",".23%"
"062
Glascock County","7",".01%","87.50%","1",".03%","12.50%","8",".01%"
"063
Glynn County","453",".86%","94.77%","25",".65%","5.23%","478",".85%"
"064
Gordon County","343",".65%","87.06%","51","1.32%","12.94%","394",".70%"
"065
Grady County","225",".43%","94.54%","13",".34%","5.46%","238",".42%"
"066
Greene County","134",".26%","93.71%","9",".23%","6.29%","143",".25%"
"067
Gwinnett County","2,526","4.82%","92.26%","212","5.49%","7.74%","2,738","4.87%"
"068
Habersham County","107",".20%","96.40%","4",".10%","3.60%","111",".20%"
"069
Hall County","722","1.38%","91.28%","69","1.79%","8.72%","791","1.41%"
"070
Hancock County","38",".07%","97.44%","1",".03%","2.56%","39",".07%"
"071
Haralson County","96",".18%","95.05%","5",".13%","4.95%","101",".18%"
"072
Harris County","119",".23%","94.44%","7",".18%","5.56%","126",".22%"
"073
Hart County","135",".26%","95.07%","7",".18%","4.93%","142",".25%"
"074
Heard County","45",".09%","90.00%","5",".13%","10.00%","50",".09%"
"075
Henry County","614","1.17%","92.47%","50","1.29%","7.53%","664","1.18%"
