"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038 
Coweta County","686","1.42%","94.49%","40","1.03%","5.51%","726","1.39%"
"039 
Crawford County","32",".07%","94.12%","2",".05%","5.88%","34",".07%"
"040 
Crisp County","376",".78%","89.95%","42","1.08%","10.05%","418",".80%"
"041 
Dade County","89",".18%","90.82%","9",".23%","9.18%","98",".19%"
"042 
Dawson County","140",".29%","86.96%","21",".54%","13.04%","161",".31%"
"043 
Decatur County","316",".65%","90.03%","35",".90%","9.97%","351",".67%"
"044 
Dekalb County","2,590","5.36%","94.91%","139","3.58%","5.09%","2,729","5.23%"
"045 
Dodge County","123",".25%","89.13%","15",".39%","10.87%","138",".26%"
"046 
Dooly County","130",".27%","91.55%","12",".31%","8.45%","142",".27%"
"047 
Dougherty County","737","1.52%","96.09%","30",".77%","3.91%","767","1.47%"
"048 
Douglas County","846","1.75%","91.07%","83","2.14%","8.93%","929","1.78%"
"049 
Early County","81",".17%","97.59%","2",".05%","2.41%","83",".16%"
"050 
Echols County","12",".02%","92.31%","1",".03%","7.69%","13",".02%"
"051 
Effingham County","373",".77%","89.66%","43","1.11%","10.34%","416",".80%"
"052 
Elbert County","137",".28%","90.13%","15",".39%","9.87%","152",".29%"
"053 
Emanuel County","215",".44%","93.07%","16",".41%","6.93%","231",".44%"
"054 
Evans County","87",".18%","91.58%","8",".21%","8.42%","95",".18%"
"055 
Fannin County","104",".22%","85.25%","18",".46%","14.75%","122",".23%"
"056 
Fayette County","379",".78%","88.76%","48","1.24%","11.24%","427",".82%"
"057 
Floyd County","910","1.88%","90.82%","92","2.37%","9.18%","1,002","1.92%"
"058 
Forsyth County","416",".86%","87.95%","57","1.47%","12.05%","473",".91%"
"059 
Franklin County","182",".38%","89.66%","21",".54%","10.34%","203",".39%"
"060 
Fulton County","4,680","9.68%","95.16%","238","6.13%","4.84%","4,918","9.42%"
"061 
Gilmer County","109",".23%","91.60%","10",".26%","8.40%","119",".23%"
"062 
Glascock County","13",".03%","100.00%","","","","13",".02%"
"063 
Glynn County","558","1.15%","94.74%","31",".80%","5.26%","589","1.13%"
"064 
Gordon County","371",".77%","86.08%","60","1.55%","13.92%","431",".83%"
"065 
Grady County","211",".44%","89.79%","24",".62%","10.21%","235",".45%"
"066 
Greene County","115",".24%","90.55%","12",".31%","9.45%","127",".24%"
"067 
Gwinnett County","2,376","4.92%","93.32%","170","4.38%","6.68%","2,546","4.88%"
"068 
Habersham County","113",".23%","87.60%","16",".41%","12.40%","129",".25%"
"069 
Hall County","732","1.51%","92.19%","62","1.60%","7.81%","794","1.52%"
"070 
Hancock County","45",".09%","93.75%","3",".08%","6.25%","48",".09%"
"071 
Haralson County","159",".33%","88.83%","20",".52%","11.17%","179",".34%"
"072 
Harris County","105",".22%","94.59%","6",".15%","5.41%","111",".21%"
"073 
Hart County","149",".31%","94.30%","9",".23%","5.70%","158",".30%"
"074 
Heard County","53",".11%","85.48%","9",".23%","14.52%","62",".12%"
"075 
Henry County","704","1.46%","91.91%","62","1.60%","8.09%","766","1.47%"
