"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Pike County","41",".08%","93.18%","3",".08%","6.82%","44",".08%"
"Polk County","204",".41%","91.07%","20",".54%","8.93%","224",".42%"
"Pulaski County","45",".09%","90.00%","5",".13%","10.00%","50",".09%"
"Putnam County","157",".31%","96.32%","6",".16%","3.68%","163",".30%"
"Quitman County","13",".03%","92.86%","1",".03%","7.14%","14",".03%"
"Rabun County","71",".14%","91.03%","7",".19%","8.97%","78",".15%"
"Randolph County","51",".10%","94.44%","3",".08%","5.56%","54",".10%"
"Richmond County","1,865","3.74%","93.67%","126","3.38%","6.33%","1,991","3.71%"
"Rockdale County","470",".94%","93.07%","35",".94%","6.93%","505",".94%"
"Schley County","14",".03%","100.00%","","","","14",".03%"
"Screven County","110",".22%","94.02%","7",".19%","5.98%","117",".22%"
"Seminole County","67",".13%","87.01%","10",".27%","12.99%","77",".14%"
"Spalding County","499","1.00%","91.06%","49","1.31%","8.94%","548","1.02%"
"Stephens County","140",".28%","91.50%","13",".35%","8.50%","153",".29%"
"Stewart County","30",".06%","90.91%","3",".08%","9.09%","33",".06%"
"Sumter County","205",".41%","95.79%","9",".24%","4.21%","214",".40%"
"Talbot County","24",".05%","88.89%","3",".08%","11.11%","27",".05%"
"Taliaferro County","16",".03%","100.00%","","","","16",".03%"
"Tattnall County","196",".39%","89.09%","24",".64%","10.91%","220",".41%"
"Taylor County","63",".13%","92.65%","5",".13%","7.35%","68",".13%"
"Telfair County","99",".20%","95.19%","5",".13%","4.81%","104",".19%"
"Terrell County","81",".16%","93.10%","6",".16%","6.90%","87",".16%"
"Thomas County","199",".40%","96.14%","8",".21%","3.86%","207",".39%"
"Tift County","320",".64%","95.24%","16",".43%","4.76%","336",".63%"
"Toombs County","327",".66%","91.34%","31",".83%","8.66%","358",".67%"
"Towns County","52",".10%","74.29%","18",".48%","25.71%","70",".13%"
"Treutlen County","67",".13%","95.71%","3",".08%","4.29%","70",".13%"
"Troup County","649","1.30%","92.85%","50","1.34%","7.15%","699","1.30%"
"Turner County","66",".13%","95.65%","3",".08%","4.35%","69",".13%"
"Twiggs County","53",".11%","94.64%","3",".08%","5.36%","56",".10%"
"Union County","122",".24%","84.72%","22",".59%","15.28%","144",".27%"
"Upson County","187",".37%","91.22%","18",".48%","8.78%","205",".38%"
"Walker County","434",".87%","91.18%","42","1.13%","8.82%","476",".89%"
"Walton County","654","1.31%","90.83%","66","1.77%","9.17%","720","1.34%"
"Ware County","291",".58%","92.68%","23",".62%","7.32%","314",".59%"
"Warren County","32",".06%","91.43%","3",".08%","8.57%","35",".07%"
"Washington County","196",".39%","92.45%","16",".43%","7.55%","212",".40%"
"Wayne County","190",".38%","90.05%","21",".56%","9.95%","211",".39%"
