"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"39
Crawford","19",".04%","95.00%","1",".03%","5.00%","20",".04%"
"40
Crisp","275",".57%","93.86%","18",".52%","6.14%","293",".57%"
"41
Dade","133",".28%","95.00%","7",".20%","5.00%","140",".27%"
"42
Dawson","114",".24%","91.20%","11",".32%","8.80%","125",".24%"
"43
Decatur","310",".65%","93.37%","22",".63%","6.63%","332",".64%"
"44
Dekalb","2,800","5.83%","94.56%","161","4.63%","5.44%","2,961","5.75%"
"45
Dodge","147",".31%","93.63%","10",".29%","6.37%","157",".30%"
"46
Dooly","85",".18%","95.51%","4",".12%","4.49%","89",".17%"
"47
Dougherty","924","1.92%","95.06%","48","1.38%","4.94%","972","1.89%"
"48
Douglas","1,185","2.47%","89.77%","135","3.88%","10.23%","1,320","2.56%"
"49
Early","80",".17%","94.12%","5",".14%","5.88%","85",".16%"
"50
Echols","8",".02%","100.00%","","","","8",".02%"
"51
Effingham","138",".29%","91.39%","13",".37%","8.61%","151",".29%"
"52
Elbert","131",".27%","93.57%","9",".26%","6.43%","140",".27%"
"53
Emanuel","171",".36%","95.00%","9",".26%","5.00%","180",".35%"
"54
Evans","102",".21%","96.23%","4",".12%","3.77%","106",".21%"
"55
Fannin","105",".22%","95.45%","5",".14%","4.55%","110",".21%"
"56
Fayette","358",".75%","92.27%","30",".86%","7.73%","388",".75%"
"57
Floyd","744","1.55%","90.62%","77","2.22%","9.38%","821","1.59%"
"58
Forsyth","279",".58%","86.11%","45","1.29%","13.89%","324",".63%"
"59
Franklin","109",".23%","90.08%","12",".35%","9.92%","121",".23%"
"60
Fulton","4,622","9.62%","96.39%","173","4.98%","3.61%","4,795","9.31%"
"61
Gilmer","122",".25%","89.05%","15",".43%","10.95%","137",".27%"
"62
Glascock","7",".01%","87.50%","1",".03%","12.50%","8",".02%"
"63
Glynn","401",".83%","94.13%","25",".72%","5.87%","426",".83%"
"64
Gordon","306",".64%","90.27%","33",".95%","9.73%","339",".66%"
"65
Grady","209",".43%","95.00%","11",".32%","5.00%","220",".43%"
"66
Greene","149",".31%","93.71%","10",".29%","6.29%","159",".31%"
"67
Gwinnett","2,169","4.51%","92.34%","180","5.18%","7.66%","2,349","4.56%"
"68
Habersham","119",".25%","92.97%","9",".26%","7.03%","128",".25%"
"69
Hall","665","1.38%","91.60%","61","1.75%","8.40%","726","1.41%"
"70
Hancock","33",".07%","97.06%","1",".03%","2.94%","34",".07%"
"71
Haralson","95",".20%","95.00%","5",".14%","5.00%","100",".19%"
"72
Harris","119",".25%","95.20%","6",".17%","4.80%","125",".24%"
"73
Hart","111",".23%","96.52%","4",".12%","3.48%","115",".22%"
"74
Heard","69",".14%","94.52%","4",".12%","5.48%","73",".14%"
"75
Henry","556","1.16%","89.25%","67","1.93%","10.75%","623","1.21%"
"76
Houston","602","1.25%","94.95%","32",".92%","5.05%","634","1.23%"
