"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038
Coweta County","489",".99%","92.97%","37","1.06%","7.03%","526",".99%"
"039
Crawford County","15",".03%","100.00%","","","","15",".03%"
"040
Crisp County","261",".53%","95.60%","12",".34%","4.40%","273",".51%"
"041
Dade County","99",".20%","93.40%","7",".20%","6.60%","106",".20%"
"042
Dawson County","94",".19%","93.07%","7",".20%","6.93%","101",".19%"
"043
Decatur County","291",".59%","93.87%","19",".54%","6.13%","310",".58%"
"044
Dekalb County","3,083","6.22%","95.30%","152","4.35%","4.70%","3,235","6.10%"
"045
Dodge County","141",".28%","94.00%","9",".26%","6.00%","150",".28%"
"046
Dooly County","97",".20%","95.10%","5",".14%","4.90%","102",".19%"
"047
Dougherty County","996","2.01%","93.43%","70","2.00%","6.57%","1,066","2.01%"
"048
Douglas County","1,226","2.48%","90.81%","124","3.55%","9.19%","1,350","2.55%"
"049
Early County","89",".18%","96.74%","3",".09%","3.26%","92",".17%"
"050
Echols County","12",".02%","100.00%","","","","12",".02%"
"051
Effingham County","194",".39%","93.72%","13",".37%","6.28%","207",".39%"
"052
Elbert County","141",".28%","94.00%","9",".26%","6.00%","150",".28%"
"053
Emanuel County","176",".36%","92.63%","14",".40%","7.37%","190",".36%"
"054
Evans County","92",".19%","95.83%","4",".11%","4.17%","96",".18%"
"055
Fannin County","87",".18%","87.00%","13",".37%","13.00%","100",".19%"
"056
Fayette County","334",".67%","87.89%","46","1.32%","12.11%","380",".72%"
"057
Floyd County","791","1.60%","89.08%","97","2.78%","10.92%","888","1.67%"
"058
Forsyth County","347",".70%","89.43%","41","1.17%","10.57%","388",".73%"
"059
Franklin County","142",".29%","91.61%","13",".37%","8.39%","155",".29%"
"060
Fulton County","4,825","9.74%","95.72%","216","6.18%","4.28%","5,041","9.51%"
"061
Gilmer County","106",".21%","93.81%","7",".20%","6.19%","113",".21%"
"062
Glascock County","6",".01%","85.71%","1",".03%","14.29%","7",".01%"
"063
Glynn County","497","1.00%","94.49%","29",".83%","5.51%","526",".99%"
"064
Gordon County","359",".72%","86.71%","55","1.57%","13.29%","414",".78%"
"065
Grady County","199",".40%","95.22%","10",".29%","4.78%","209",".39%"
"066
Greene County","114",".23%","91.20%","11",".31%","8.80%","125",".24%"
"067
Gwinnett County","2,411","4.87%","93.16%","177","5.07%","6.84%","2,588","4.88%"
"068
Habersham County","102",".21%","98.08%","2",".06%","1.92%","104",".20%"
"069
Hall County","698","1.41%","91.48%","65","1.86%","8.52%","763","1.44%"
"070
Hancock County","40",".08%","95.24%","2",".06%","4.76%","42",".08%"
"071
Haralson County","159",".32%","90.86%","16",".46%","9.14%","175",".33%"
"072
Harris County","102",".21%","95.33%","5",".14%","4.67%","107",".20%"
"073
Hart County","149",".30%","93.71%","10",".29%","6.29%","159",".30%"
"074
Heard County","45",".09%","88.24%","6",".17%","11.76%","51",".10%"
"075
Henry County","512","1.03%","91.27%","49","1.40%","8.73%","561","1.06%"
