"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"114
Pike County","43",".08%","91.49%","4",".10%","8.51%","47",".09%"
"115
Polk County","185",".36%","90.69%","19",".49%","9.31%","204",".37%"
"116
Pulaski County","49",".10%","94.23%","3",".08%","5.77%","52",".10%"
"117
Putnam County","162",".32%","92.05%","14",".36%","7.95%","176",".32%"
"118
Quitman County","11",".02%","100.00%","","","","11",".02%"
"119
Rabun County","61",".12%","88.41%","8",".20%","11.59%","69",".13%"
"120
Randolph County","63",".12%","95.45%","3",".08%","4.55%","66",".12%"
"121
Richmond County","1,929","3.80%","93.60%","132","3.37%","6.40%","2,061","3.77%"
"122
Rockdale County","510","1.00%","93.41%","36",".92%","6.59%","546","1.00%"
"123
Schley County","11",".02%","91.67%","1",".03%","8.33%","12",".02%"
"124
Screven County","129",".25%","97.73%","3",".08%","2.27%","132",".24%"
"125
Seminole County","78",".15%","88.64%","10",".26%","11.36%","88",".16%"
"126
Spalding County","492",".97%","91.45%","46","1.18%","8.55%","538",".98%"
"127
Stephens County","175",".34%","87.06%","26",".66%","12.94%","201",".37%"
"128
Stewart County","33",".06%","97.06%","1",".03%","2.94%","34",".06%"
"129
Sumter County","203",".40%","95.31%","10",".26%","4.69%","213",".39%"
"130
Talbot County","30",".06%","93.75%","2",".05%","6.25%","32",".06%"
"131
Taliaferro County","18",".04%","94.74%","1",".03%","5.26%","19",".03%"
"132
Tattnall County","191",".38%","90.95%","19",".49%","9.05%","210",".38%"
"133
Taylor County","61",".12%","93.85%","4",".10%","6.15%","65",".12%"
"134
Telfair County","100",".20%","95.24%","5",".13%","4.76%","105",".19%"
"135
Terrell County","91",".18%","94.79%","5",".13%","5.21%","96",".18%"
"136
Thomas County","208",".41%","96.74%","7",".18%","3.26%","215",".39%"
"137
Tift County","324",".64%","93.91%","21",".54%","6.09%","345",".63%"
"138
Toombs County","316",".62%","88.76%","40","1.02%","11.24%","356",".65%"
"139
Towns County","54",".11%","76.06%","17",".43%","23.94%","71",".13%"
"140
Treutlen County","75",".15%","92.59%","6",".15%","7.41%","81",".15%"
"141
Troup County","676","1.33%","92.22%","57","1.46%","7.78%","733","1.34%"
"142
Turner County","70",".14%","98.59%","1",".03%","1.41%","71",".13%"
"143
Twiggs County","53",".10%","96.36%","2",".05%","3.64%","55",".10%"
"144
Union County","99",".19%","83.90%","19",".49%","16.10%","118",".22%"
"145
Upson County","176",".35%","95.14%","9",".23%","4.86%","185",".34%"
"146
Walker County","418",".82%","91.27%","40","1.02%","8.73%","458",".84%"
"147
Walton County","593","1.17%","89.98%","66","1.69%","10.02%","659","1.20%"
"148
Ware County","304",".60%","93.83%","20",".51%","6.17%","324",".59%"
"149
Warren County","41",".08%","93.18%","3",".08%","6.82%","44",".08%"
"150
Washington County","203",".40%","90.63%","21",".54%","9.38%","224",".41%"
"151
Wayne County","177",".35%","91.24%","17",".43%","8.76%","194",".35%"
