"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"77
Irwin","69",".14%","98.57%","1",".03%","1.43%","70",".13%"
"78
Jackson","186",".38%","93.00%","14",".38%","7.00%","200",".38%"
"79
Jasper","61",".12%","100.00%","","","","61",".12%"
"80
Jeff Davis","68",".14%","87.18%","10",".27%","12.82%","78",".15%"
"81
Jefferson","117",".24%","95.90%","5",".14%","4.10%","122",".23%"
"82
Jenkins","59",".12%","95.16%","3",".08%","4.84%","62",".12%"
"83
Johnson","54",".11%","90.00%","6",".16%","10.00%","60",".11%"
"84
Jones","166",".34%","87.83%","23",".62%","12.17%","189",".36%"
"85
Lamar","77",".16%","92.77%","6",".16%","7.23%","83",".16%"
"86
Lanier","43",".09%","100.00%","","","","43",".08%"
"87
Laurens","309",".63%","94.50%","18",".49%","5.50%","327",".62%"
"88
Lee","71",".15%","95.95%","3",".08%","4.05%","74",".14%"
"89
Liberty","283",".58%","92.79%","22",".60%","7.21%","305",".58%"
"90
Lincoln","25",".05%","96.15%","1",".03%","3.85%","26",".05%"
"91
Long","76",".16%","93.83%","5",".14%","6.17%","81",".15%"
"92
Lowndes","536","1.10%","93.06%","40","1.08%","6.94%","576","1.10%"
"93
Lumpkin","97",".20%","88.99%","12",".32%","11.01%","109",".21%"
"94
Macon","63",".13%","96.92%","2",".05%","3.08%","65",".12%"
"95
Madison","108",".22%","90.76%","11",".30%","9.24%","119",".23%"
"96
Marion","42",".09%","91.30%","4",".11%","8.70%","46",".09%"
"97
Mcduffie","176",".36%","95.14%","9",".24%","4.86%","185",".35%"
"98
Mcintosh","66",".14%","98.51%","1",".03%","1.49%","67",".13%"
"99
Meriwether","241",".49%","96.02%","10",".27%","3.98%","251",".48%"
"100
Miller","30",".06%","96.77%","1",".03%","3.23%","31",".06%"
"101
Mitchell","198",".41%","92.96%","15",".41%","7.04%","213",".41%"
"102
Monroe","152",".31%","87.86%","21",".57%","12.14%","173",".33%"
"103
Montgomery","61",".12%","91.04%","6",".16%","8.96%","67",".13%"
"104
Morgan","160",".33%","93.57%","11",".30%","6.43%","171",".33%"
"105
Murray","172",".35%","92.47%","14",".38%","7.53%","186",".35%"
"106
Muscogee","1,615","3.31%","95.17%","82","2.22%","4.83%","1,697","3.23%"
"107
Newton","617","1.26%","92.50%","50","1.35%","7.50%","667","1.27%"
"108
Oconee","55",".11%","96.49%","2",".05%","3.51%","57",".11%"
"109
Oglethorpe","45",".09%","97.83%","1",".03%","2.17%","46",".09%"
"110
Paulding","245",".50%","93.16%","18",".49%","6.84%","263",".50%"
"111
Peach","85",".17%","96.59%","3",".08%","3.41%","88",".17%"
"112
Pickens","72",".15%","84.71%","13",".35%","15.29%","85",".16%"
"113
Pierce","59",".12%","92.19%","5",".14%","7.81%","64",".12%"
"114
Pike","60",".12%","92.31%","5",".14%","7.69%","65",".12%"
