"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"39
Crawford","22",".05%","84.62%","4",".12%","15.38%","26",".05%"
"40
Crisp","271",".57%","92.81%","21",".62%","7.19%","292",".58%"
"41
Dade","138",".29%","92.62%","11",".33%","7.38%","149",".29%"
"42
Dawson","85",".18%","89.47%","10",".30%","10.53%","95",".19%"
"43
Decatur","282",".60%","92.46%","23",".68%","7.54%","305",".60%"
"44
Dekalb","2,898","6.14%","94.86%","157","4.65%","5.14%","3,055","6.04%"
"45
Dodge","170",".36%","93.92%","11",".33%","6.08%","181",".36%"
"46
Dooly","99",".21%","96.12%","4",".12%","3.88%","103",".20%"
"47
Dougherty","960","2.03%","93.93%","62","1.84%","6.07%","1,022","2.02%"
"48
Douglas","1,071","2.27%","90.76%","109","3.23%","9.24%","1,180","2.33%"
"49
Early","74",".16%","100.00%","","","","74",".15%"
"50
Echols","11",".02%","100.00%","","","","11",".02%"
"51
Effingham","165",".35%","92.18%","14",".41%","7.82%","179",".35%"
"52
Elbert","145",".31%","92.36%","12",".36%","7.64%","157",".31%"
"53
Emanuel","148",".31%","95.48%","7",".21%","4.52%","155",".31%"
"54
Evans","85",".18%","97.70%","2",".06%","2.30%","87",".17%"
"55
Fannin","96",".20%","93.20%","7",".21%","6.80%","103",".20%"
"56
Fayette","266",".56%","91.72%","24",".71%","8.28%","290",".57%"
"57
Floyd","785","1.66%","89.82%","89","2.64%","10.18%","874","1.73%"
"58
Forsyth","261",".55%","89.69%","30",".89%","10.31%","291",".58%"
"59
Franklin","130",".28%","92.20%","11",".33%","7.80%","141",".28%"
"60
Fulton","4,168","8.83%","96.44%","154","4.56%","3.56%","4,322","8.55%"
"61
Gilmer","110",".23%","89.43%","13",".39%","10.57%","123",".24%"
"62
Glascock","3",".01%","75.00%","1",".03%","25.00%","4",".01%"
"63
Glynn","436",".92%","96.25%","17",".50%","3.75%","453",".90%"
"64
Gordon","280",".59%","89.46%","33",".98%","10.54%","313",".62%"
"65
Grady","225",".48%","94.54%","13",".39%","5.46%","238",".47%"
"66
Greene","103",".22%","93.64%","7",".21%","6.36%","110",".22%"
"67
Gwinnett","1,630","3.45%","91.88%","144","4.27%","8.12%","1,774","3.51%"
"68
Habersham","118",".25%","91.47%","11",".33%","8.53%","129",".26%"
"69
Hall","739","1.57%","92.38%","61","1.81%","7.63%","800","1.58%"
"70
Hancock","32",".07%","94.12%","2",".06%","5.88%","34",".07%"
"71
Haralson","80",".17%","93.02%","6",".18%","6.98%","86",".17%"
"72
Harris","113",".24%","98.26%","2",".06%","1.74%","115",".23%"
"73
Hart","103",".22%","95.37%","5",".15%","4.63%","108",".21%"
"74
Heard","60",".13%","90.91%","6",".18%","9.09%","66",".13%"
"75
Henry","520","1.10%","90.91%","52","1.54%","9.09%","572","1.13%"
"76
Houston","571","1.21%","92.39%","47","1.39%","7.61%","618","1.22%"
