"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"076 
Houston County","654","1.49%","91.85%","58","1.92%","8.15%","712","1.51%"
"077 
Irwin County","55",".12%","100.00%","","","","55",".12%"
"078 
Jackson County","246",".56%","93.18%","18",".60%","6.82%","264",".56%"
"079 
Jasper County","51",".12%","98.08%","1",".03%","1.92%","52",".11%"
"080 
Jeff Davis County","86",".20%","96.63%","3",".10%","3.37%","89",".19%"
"081 
Jefferson County","141",".32%","95.92%","6",".20%","4.08%","147",".31%"
"082 
Jenkins County","66",".15%","92.96%","5",".17%","7.04%","71",".15%"
"083 
Johnson County","38",".09%","95.00%","2",".07%","5.00%","40",".09%"
"084 
Jones County","159",".36%","85.95%","26",".86%","14.05%","185",".39%"
"085 
Lamar County","71",".16%","92.21%","6",".20%","7.79%","77",".16%"
"086 
Lanier County","41",".09%","93.18%","3",".10%","6.82%","44",".09%"
"087 
Laurens County","270",".61%","93.10%","20",".66%","6.90%","290",".62%"
"088 
Lee County","58",".13%","85.29%","10",".33%","14.71%","68",".14%"
"089 
Liberty County","188",".43%","93.07%","14",".46%","6.93%","202",".43%"
"090 
Lincoln County","30",".07%","100.00%","","","","30",".06%"
"091 
Long County","53",".12%","94.64%","3",".10%","5.36%","56",".12%"
"092 
Lowndes County","441","1.00%","96.50%","16",".53%","3.50%","457",".97%"
"093 
Lumpkin County","78",".18%","91.76%","7",".23%","8.24%","85",".18%"
"094 
Macon County","50",".11%","96.15%","2",".07%","3.85%","52",".11%"
"095 
Madison County","119",".27%","90.84%","12",".40%","9.16%","131",".28%"
"096 
Marion County","25",".06%","89.29%","3",".10%","10.71%","28",".06%"
"097 
Mcduffie County","166",".38%","94.86%","9",".30%","5.14%","175",".37%"
"098 
Mcintosh County","48",".11%","90.57%","5",".17%","9.43%","53",".11%"
"099 
Meriwether County","142",".32%","92.81%","11",".36%","7.19%","153",".33%"
"100 
Miller County","27",".06%","96.43%","1",".03%","3.57%","28",".06%"
"101 
Mitchell County","133",".30%","95.00%","7",".23%","5.00%","140",".30%"
"102 
Monroe County","141",".32%","91.56%","13",".43%","8.44%","154",".33%"
"103 
Montgomery County","24",".05%","88.89%","3",".10%","11.11%","27",".06%"
"104 
Morgan County","128",".29%","91.43%","12",".40%","8.57%","140",".30%"
"105 
Murray County","182",".41%","87.92%","25",".83%","12.08%","207",".44%"
"106 
Muscogee County","1,044","2.37%","95.78%","46","1.52%","4.22%","1,090","2.32%"
"107 
Newton County","601","1.37%","91.20%","58","1.92%","8.80%","659","1.40%"
"108 
Oconee County","44",".10%","100.00%","","","","44",".09%"
"109 
Oglethorpe County","64",".15%","96.97%","2",".07%","3.03%","66",".14%"
"110 
Paulding County","212",".48%","94.22%","13",".43%","5.78%","225",".48%"
"111 
Peach County","69",".16%","93.24%","5",".17%","6.76%","74",".16%"
"112 
Pickens County","89",".20%","93.68%","6",".20%","6.32%","95",".20%"
"113 
Pierce County","109",".25%","89.34%","13",".43%","10.66%","122",".26%"
