"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","4",".01%","80.00%","1",".03%","20.00%","5",".01%"
"153
Wheeler County","22",".04%","95.65%","1",".03%","4.35%","23",".04%"
"154
White County","103",".20%","89.57%","12",".31%","10.43%","115",".21%"
"155
Whitfield County","800","1.58%","87.15%","118","3.02%","12.85%","918","1.68%"
"156
Wilcox County","53",".10%","92.98%","4",".10%","7.02%","57",".10%"
"157
Wilkes County","71",".14%","94.67%","4",".10%","5.33%","75",".14%"
"158
Wilkinson County","50",".10%","98.04%","1",".03%","1.96%","51",".09%"
"159
Worth County","134",".26%","92.41%","11",".28%","7.59%","145",".27%"
"Total Rported","50,792","100%","92.85%","3,912","100%","7.15%","54,704","100%"
