"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Lamar County","84",".16%","92.31%","7",".18%","7.69%","91",".17%"
"Lanier County","48",".09%","94.12%","3",".08%","5.88%","51",".09%"
"Laurens County","259",".51%","93.84%","17",".44%","6.16%","276",".50%"
"Lee County","77",".15%","90.59%","8",".21%","9.41%","85",".15%"
"Liberty County","250",".49%","93.63%","17",".44%","6.37%","267",".49%"
"Lincoln County","34",".07%","94.44%","2",".05%","5.56%","36",".07%"
"Long County","66",".13%","92.96%","5",".13%","7.04%","71",".13%"
"Lowndes County","495",".97%","95.56%","23",".60%","4.44%","518",".94%"
"Lumpkin County","82",".16%","90.11%","9",".23%","9.89%","91",".17%"
"Macon County","48",".09%","100.00%","","","","48",".09%"
"Madison County","139",".27%","90.26%","15",".39%","9.74%","154",".28%"
"Marion County","22",".04%","88.00%","3",".08%","12.00%","25",".05%"
"Mcduffie County","202",".40%","93.95%","13",".34%","6.05%","215",".39%"
"Mcintosh County","47",".09%","100.00%","","","","47",".09%"
"Meriwether County","185",".36%","88.94%","23",".60%","11.06%","208",".38%"
"Miller County","35",".07%","92.11%","3",".08%","7.89%","38",".07%"
"Mitchell County","151",".30%","93.21%","11",".29%","6.79%","162",".30%"
"Monroe County","134",".26%","91.78%","12",".31%","8.22%","146",".27%"
"Montgomery County","34",".07%","89.47%","4",".10%","10.53%","38",".07%"
"Morgan County","141",".28%","92.16%","12",".31%","7.84%","153",".28%"
"Murray County","188",".37%","94.00%","12",".31%","6.00%","200",".36%"
"Muscogee County","1,199","2.35%","95.16%","61","1.59%","4.84%","1,260","2.30%"
"Newton County","730","1.43%","91.14%","71","1.85%","8.86%","801","1.46%"
"Oconee County","59",".12%","95.16%","3",".08%","4.84%","62",".11%"
"Oglethorpe County","70",".14%","90.91%","7",".18%","9.09%","77",".14%"
"Paulding County","233",".46%","92.83%","18",".47%","7.17%","251",".46%"
"Peach County","108",".21%","93.91%","7",".18%","6.09%","115",".21%"
"Pickens County","102",".20%","91.07%","10",".26%","8.93%","112",".20%"
"Pierce County","115",".23%","91.27%","11",".29%","8.73%","126",".23%"
"Pike County","46",".09%","92.00%","4",".10%","8.00%","50",".09%"
"Polk County","187",".37%","93.50%","13",".34%","6.50%","200",".36%"
"Pulaski County","54",".11%","94.74%","3",".08%","5.26%","57",".10%"
"Putnam County","157",".31%","91.81%","14",".36%","8.19%","171",".31%"
"Quitman County","18",".04%","100.00%","","","","18",".03%"
"Rabun County","52",".10%","92.86%","4",".10%","7.14%","56",".10%"
"Randolph County","68",".13%","95.77%","3",".08%","4.23%","71",".13%"
"Richmond County","2,003","3.93%","92.86%","154","4.01%","7.14%","2,157","3.93%"
"Rockdale County","475",".93%","91.88%","42","1.09%","8.12%","517",".94%"
"Schley County","12",".02%","92.31%","1",".03%","7.69%","13",".02%"
"Screven County","136",".27%","97.84%","3",".08%","2.16%","139",".25%"
"Seminole County","74",".15%","85.06%","13",".34%","14.94%","87",".16%"
"Spalding County","486",".95%","94.19%","30",".78%","5.81%","516",".94%"
"Stephens County","163",".32%","91.06%","16",".42%","8.94%","179",".33%"
"Stewart County","38",".07%","97.44%","1",".03%","2.56%","39",".07%"
"Sumter County","196",".38%","95.15%","10",".26%","4.85%","206",".38%"
"Talbot County","44",".09%","91.67%","4",".10%","8.33%","48",".09%"
"Taliaferro County","16",".03%","94.12%","1",".03%","5.88%","17",".03%"
"Tattnall County","186",".36%","93.47%","13",".34%","6.53%","199",".36%"
"Taylor County","69",".14%","94.52%","4",".10%","5.48%","73",".13%"
"Telfair County","105",".21%","91.30%","10",".26%","8.70%","115",".21%"
"Terrell County","92",".18%","92.93%","7",".18%","7.07%","99",".18%"
"Thomas County","219",".43%","93.59%","15",".39%","6.41%","234",".43%"
"Tift County","356",".70%","94.43%","21",".55%","5.57%","377",".69%"
