"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"114
Pike County","45",".09%","93.75%","3",".08%","6.25%","48",".09%"
"115
Polk County","198",".39%","90.00%","22",".55%","10.00%","220",".40%"
"116
Pulaski County","42",".08%","93.33%","3",".08%","6.67%","45",".08%"
"117
Putnam County","162",".32%","91.53%","15",".38%","8.47%","177",".32%"
"118
Quitman County","11",".02%","100.00%","","","","11",".02%"
"119
Rabun County","62",".12%","88.57%","8",".20%","11.43%","70",".13%"
"120
Randolph County","61",".12%","95.31%","3",".08%","4.69%","64",".12%"
"121
Richmond County","1,931","3.78%","93.11%","143","3.59%","6.89%","2,074","3.76%"
"122
Rockdale County","504",".99%","91.97%","44","1.10%","8.03%","548",".99%"
"123
Schley County","11",".02%","91.67%","1",".03%","8.33%","12",".02%"
"124
Screven County","127",".25%","97.69%","3",".08%","2.31%","130",".24%"
"125
Seminole County","77",".15%","88.51%","10",".25%","11.49%","87",".16%"
"126
Spalding County","494",".97%","91.48%","46","1.15%","8.52%","540",".98%"
"127
Stephens County","160",".31%","88.40%","21",".53%","11.60%","181",".33%"
"128
Stewart County","32",".06%","96.97%","1",".03%","3.03%","33",".06%"
"129
Sumter County","204",".40%","95.77%","9",".23%","4.23%","213",".39%"
"130
Talbot County","29",".06%","93.55%","2",".05%","6.45%","31",".06%"
"131
Taliaferro County","19",".04%","95.00%","1",".03%","5.00%","20",".04%"
"132
Tattnall County","202",".40%","88.60%","26",".65%","11.40%","228",".41%"
"133
Taylor County","73",".14%","93.59%","5",".13%","6.41%","78",".14%"
"134
Telfair County","114",".22%","94.21%","7",".18%","5.79%","121",".22%"
"135
Terrell County","89",".17%","93.68%","6",".15%","6.32%","95",".17%"
"136
Thomas County","210",".41%","96.77%","7",".18%","3.23%","217",".39%"
"137
Tift County","330",".65%","92.96%","25",".63%","7.04%","355",".64%"
"138
Toombs County","325",".64%","88.08%","44","1.10%","11.92%","369",".67%"
"139
Towns County","52",".10%","74.29%","18",".45%","25.71%","70",".13%"
"140
Treutlen County","74",".14%","92.50%","6",".15%","7.50%","80",".15%"
"141
Troup County","680","1.33%","92.52%","55","1.38%","7.48%","735","1.33%"
"142
Turner County","67",".13%","98.53%","1",".03%","1.47%","68",".12%"
"143
Twiggs County","52",".10%","96.30%","2",".05%","3.70%","54",".10%"
"144
Union County","112",".22%","83.58%","22",".55%","16.42%","134",".24%"
"145
Upson County","170",".33%","91.40%","16",".40%","8.60%","186",".34%"
"146
Walker County","420",".82%","90.13%","46","1.15%","9.87%","466",".85%"
"147
Walton County","640","1.25%","90.78%","65","1.63%","9.22%","705","1.28%"
"148
Ware County","304",".59%","92.40%","25",".63%","7.60%","329",".60%"
"149
Warren County","43",".08%","95.56%","2",".05%","4.44%","45",".08%"
"150
Washington County","205",".40%","92.34%","17",".43%","7.66%","222",".40%"
"151
Wayne County","175",".34%","90.21%","19",".48%","9.79%","194",".35%"
