"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Irwin","76",".16%","98.70%","1",".03%","1.30%","77",".15%"
"Jackson","199",".41%","92.56%","16",".44%","7.44%","215",".41%"
"Jasper","61",".12%","100.00%","","","","61",".12%"
"Jeff Davis","66",".14%","85.71%","11",".30%","14.29%","77",".15%"
"Jefferson","119",".24%","95.20%","6",".16%","4.80%","125",".24%"
"Jenkins","55",".11%","94.83%","3",".08%","5.17%","58",".11%"
"Johnson","54",".11%","91.53%","5",".14%","8.47%","59",".11%"
"Jones","168",".34%","87.96%","23",".63%","12.04%","191",".36%"
"Lamar","82",".17%","93.18%","6",".16%","6.82%","88",".17%"
"Lanier","48",".10%","97.96%","1",".03%","2.04%","49",".09%"
"Laurens","308",".63%","94.19%","19",".52%","5.81%","327",".62%"
"Lee","63",".13%","95.45%","3",".08%","4.55%","66",".13%"
"Liberty","297",".61%","93.10%","22",".60%","6.90%","319",".61%"
"Lincoln","26",".05%","100.00%","","","","26",".05%"
"Long","69",".14%","94.52%","4",".11%","5.48%","73",".14%"
"Lowndes","528","1.08%","93.95%","34",".92%","6.05%","562","1.07%"
"Lumpkin","99",".20%","89.19%","12",".33%","10.81%","111",".21%"
"Macon","72",".15%","97.30%","2",".05%","2.70%","74",".14%"
"Madison","112",".23%","91.06%","11",".30%","8.94%","123",".23%"
"Marion","46",".09%","93.88%","3",".08%","6.12%","49",".09%"
"Mcduffie","186",".38%","94.90%","10",".27%","5.10%","196",".37%"
"Mcintosh","61",".12%","100.00%","","","","61",".12%"
"Meriwether","234",".48%","97.10%","7",".19%","2.90%","241",".46%"
"Miller","30",".06%","96.77%","1",".03%","3.23%","31",".06%"
"Mitchell","194",".40%","92.38%","16",".44%","7.62%","210",".40%"
"Monroe","144",".29%","88.89%","18",".49%","11.11%","162",".31%"
"Montgomery","59",".12%","95.16%","3",".08%","4.84%","62",".12%"
"Morgan","165",".34%","93.22%","12",".33%","6.78%","177",".34%"
"Murray","177",".36%","92.19%","15",".41%","7.81%","192",".37%"
"Muscogee","1,536","3.14%","94.99%","81","2.20%","5.01%","1,617","3.08%"
"Newton","622","1.27%","92.01%","54","1.47%","7.99%","676","1.29%"
"Oconee","54",".11%","94.74%","3",".08%","5.26%","57",".11%"
"Oglethorpe","50",".10%","100.00%","","","","50",".10%"
"Paulding","262",".54%","93.24%","19",".52%","6.76%","281",".53%"
"Peach","86",".18%","96.63%","3",".08%","3.37%","89",".17%"
"Pickens","82",".17%","86.32%","13",".35%","13.68%","95",".18%"
"Pierce","61",".12%","95.31%","3",".08%","4.69%","64",".12%"
"Pike","55",".11%","93.22%","4",".11%","6.78%","59",".11%"
