"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","10",".02%","100.00%","","","","10",".02%"
"153
Wheeler County","36",".07%","92.31%","3",".08%","7.69%","39",".07%"
"154
White County","115",".22%","87.79%","16",".41%","12.21%","131",".23%"
"155
Whitfield County","647","1.21%","90.11%","71","1.83%","9.89%","718","1.25%"
"156
Wilcox County","50",".09%","84.75%","9",".23%","15.25%","59",".10%"
"157
Wilkes County","70",".13%","92.11%","6",".15%","7.89%","76",".13%"
"158
Wilkinson County","48",".09%","96.00%","2",".05%","4.00%","50",".09%"
"159
Worth County","114",".21%","94.21%","7",".18%","5.79%","121",".21%"
"Total Rported","53,373","100%","93.24%","3,871","100%","6.76%","57,244","100%"
