"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038 
Coweta County","529","1.21%","94.30%","32","1.06%","5.70%","561","1.20%"
"039 
Crawford County","22",".05%","100.00%","","","","22",".05%"
"040 
Crisp County","337",".77%","93.35%","24",".80%","6.65%","361",".77%"
"041 
Dade County","81",".19%","92.05%","7",".23%","7.95%","88",".19%"
"042 
Dawson County","97",".22%","93.27%","7",".23%","6.73%","104",".22%"
"043 
Decatur County","226",".52%","94.56%","13",".43%","5.44%","239",".51%"
"044 
Dekalb County","2,324","5.32%","95.48%","110","3.65%","4.52%","2,434","5.22%"
"045 
Dodge County","103",".24%","87.29%","15",".50%","12.71%","118",".25%"
"046 
Dooly County","123",".28%","96.09%","5",".17%","3.91%","128",".27%"
"047 
Dougherty County","713","1.63%","95.19%","36","1.19%","4.81%","749","1.60%"
"048 
Douglas County","885","2.03%","92.09%","76","2.52%","7.91%","961","2.06%"
"049 
Early County","81",".19%","97.59%","2",".07%","2.41%","83",".18%"
"050 
Echols County","12",".03%","100.00%","","","","12",".03%"
"051 
Effingham County","218",".50%","90.08%","24",".80%","9.92%","242",".52%"
"052 
Elbert County","127",".29%","96.21%","5",".17%","3.79%","132",".28%"
"053 
Emanuel County","156",".36%","93.41%","11",".36%","6.59%","167",".36%"
"054 
Evans County","70",".16%","95.89%","3",".10%","4.11%","73",".16%"
"055 
Fannin County","97",".22%","88.18%","13",".43%","11.82%","110",".24%"
"056 
Fayette County","311",".71%","95.40%","15",".50%","4.60%","326",".70%"
"057 
Floyd County","857","1.96%","90.40%","91","3.02%","9.60%","948","2.03%"
"058 
Forsyth County","351",".80%","90.93%","35","1.16%","9.07%","386",".83%"
"059 
Franklin County","137",".31%","87.26%","20",".66%","12.74%","157",".34%"
"060 
Fulton County","4,180","9.58%","96.31%","160","5.31%","3.69%","4,340","9.30%"
"061 
Gilmer County","103",".24%","93.64%","7",".23%","6.36%","110",".24%"
"062 
Glascock County","8",".02%","100.00%","","","","8",".02%"
"063 
Glynn County","461","1.06%","95.45%","22",".73%","4.55%","483","1.03%"
"064 
Gordon County","342",".78%","90.72%","35","1.16%","9.28%","377",".81%"
"065 
Grady County","149",".34%","94.90%","8",".27%","5.10%","157",".34%"
"066 
Greene County","97",".22%","93.27%","7",".23%","6.73%","104",".22%"
"067 
Gwinnett County","2,235","5.12%","93.87%","146","4.84%","6.13%","2,381","5.10%"
"068 
Habersham County","102",".23%","88.70%","13",".43%","11.30%","115",".25%"
"069 
Hall County","616","1.41%","92.35%","51","1.69%","7.65%","667","1.43%"
"070 
Hancock County","42",".10%","95.45%","2",".07%","4.55%","44",".09%"
"071 
Haralson County","117",".27%","90.00%","13",".43%","10.00%","130",".28%"
"072 
Harris County","85",".19%","93.41%","6",".20%","6.59%","91",".19%"
"073 
Hart County","161",".37%","90.96%","16",".53%","9.04%","177",".38%"
"074 
Heard County","40",".09%","95.24%","2",".07%","4.76%","42",".09%"
"075 
Henry County","576","1.32%","93.05%","43","1.43%","6.95%","619","1.33%"
