"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Coweta County","516","1.04%","93.14%","38","1.07%","6.86%","554","1.04%"
"Crawford County","24",".05%","96.00%","1",".03%","4.00%","25",".05%"
"Crisp County","266",".54%","95.68%","12",".34%","4.32%","278",".52%"
"Dade County","92",".19%","92.00%","8",".23%","8.00%","100",".19%"
"Dawson County","102",".21%","90.27%","11",".31%","9.73%","113",".21%"
"Decatur County","260",".52%","92.53%","21",".59%","7.47%","281",".53%"
"Dekalb County","2,990","6.01%","94.68%","168","4.75%","5.32%","3,158","5.93%"
"Dodge County","132",".27%","93.62%","9",".25%","6.38%","141",".26%"
"Dooly County","83",".17%","94.32%","5",".14%","5.68%","88",".17%"
"Dougherty County","934","1.88%","92.94%","71","2.01%","7.06%","1,005","1.89%"
"Douglas County","1,132","2.28%","90.78%","115","3.25%","9.22%","1,247","2.34%"
"Early County","91",".18%","95.79%","4",".11%","4.21%","95",".18%"
"Echols County","10",".02%","90.91%","1",".03%","9.09%","11",".02%"
"Effingham County","175",".35%","93.09%","13",".37%","6.91%","188",".35%"
"Elbert County","122",".25%","93.13%","9",".25%","6.87%","131",".25%"
"Emanuel County","164",".33%","93.71%","11",".31%","6.29%","175",".33%"
"Evans County","91",".18%","94.79%","5",".14%","5.21%","96",".18%"
"Fannin County","91",".18%","85.85%","15",".42%","14.15%","106",".20%"
"Fayette County","339",".68%","90.40%","36","1.02%","9.60%","375",".70%"
"Floyd County","805","1.62%","89.74%","92","2.60%","10.26%","897","1.68%"
"Forsyth County","355",".71%","91.97%","31",".88%","8.03%","386",".72%"
"Franklin County","133",".27%","92.36%","11",".31%","7.64%","144",".27%"
"Fulton County","4,499","9.05%","96.21%","177","5.00%","3.79%","4,676","8.78%"
"Gilmer County","96",".19%","88.89%","12",".34%","11.11%","108",".20%"
"Glascock County","4",".01%","80.00%","1",".03%","20.00%","5",".01%"
"Glynn County","483",".97%","93.42%","34",".96%","6.58%","517",".97%"
"Gordon County","378",".76%","88.94%","47","1.33%","11.06%","425",".80%"
"Grady County","172",".35%","96.09%","7",".20%","3.91%","179",".34%"
"Greene County","115",".23%","92.74%","9",".25%","7.26%","124",".23%"
"Gwinnett County","2,245","4.52%","93.08%","167","4.72%","6.92%","2,412","4.53%"
"Habersham County","102",".21%","95.33%","5",".14%","4.67%","107",".20%"
"Hall County","682","1.37%","91.67%","62","1.75%","8.33%","744","1.40%"
"Hancock County","35",".07%","94.59%","2",".06%","5.41%","37",".07%"
"Haralson County","167",".34%","93.82%","11",".31%","6.18%","178",".33%"
"Harris County","94",".19%","92.16%","8",".23%","7.84%","102",".19%"
"Hart County","156",".31%","95.71%","7",".20%","4.29%","163",".31%"
"Heard County","46",".09%","90.20%","5",".14%","9.80%","51",".10%"
"Henry County","488",".98%","90.71%","50","1.41%","9.29%","538","1.01%"
