"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Appling","98",".20%","93.33%","7",".19%","6.67%","105",".20%"
"Atkinson","42",".08%","93.33%","3",".08%","6.67%","45",".08%"
"Bacon","52",".11%","98.11%","1",".03%","1.89%","53",".10%"
"Baker","11",".02%","91.67%","1",".03%","8.33%","12",".02%"
"Baldwin","357",".72%","95.45%","17",".46%","4.55%","374",".70%"
"Banks","64",".13%","88.89%","8",".22%","11.11%","72",".14%"
"Barrow","265",".54%","94.31%","16",".44%","5.69%","281",".53%"
"Bartow","565","1.14%","88.14%","76","2.07%","11.86%","641","1.21%"
"Ben Hill","269",".54%","94.39%","16",".44%","5.61%","285",".54%"
"Berrien","90",".18%","91.84%","8",".22%","8.16%","98",".18%"
"Bibb","1,050","2.12%","94.85%","57","1.55%","5.15%","1,107","2.08%"
"Bleckley","77",".16%","87.50%","11",".30%","12.50%","88",".17%"
"Brantley","57",".12%","91.94%","5",".14%","8.06%","62",".12%"
"Brooks","61",".12%","95.31%","3",".08%","4.69%","64",".12%"
"Bryan","101",".20%","95.28%","5",".14%","4.72%","106",".20%"
"Bulloch","463",".94%","93.16%","34",".93%","6.84%","497",".94%"
"Burke","218",".44%","94.37%","13",".35%","5.63%","231",".43%"
"Butts","143",".29%","94.70%","8",".22%","5.30%","151",".28%"
"Calhoun","35",".07%","92.11%","3",".08%","7.89%","38",".07%"
"Camden","140",".28%","94.59%","8",".22%","5.41%","148",".28%"
"Candler","93",".19%","93.00%","7",".19%","7.00%","100",".19%"
"Carroll","579","1.17%","91.61%","53","1.44%","8.39%","632","1.19%"
"Catoosa","272",".55%","89.18%","33",".90%","10.82%","305",".57%"
"Charlton","59",".12%","93.65%","4",".11%","6.35%","63",".12%"
"Chatham","2,428","4.91%","94.92%","130","3.54%","5.08%","2,558","4.82%"
"Chattahoochee","23",".05%","88.46%","3",".08%","11.54%","26",".05%"
"Chattooga","230",".47%","89.84%","26",".71%","10.16%","256",".48%"
"Cherokee","553","1.12%","90.21%","60","1.64%","9.79%","613","1.15%"
"Clarke","421",".85%","94.61%","24",".65%","5.39%","445",".84%"
"Clay","24",".05%","92.31%","2",".05%","7.69%","26",".05%"
"Clayton","1,501","3.04%","93.06%","112","3.05%","6.94%","1,613","3.04%"
"Clinch","43",".09%","95.56%","2",".05%","4.44%","45",".08%"
"Cobb","2,820","5.70%","91.41%","265","7.22%","8.59%","3,085","5.81%"
"Coffee","229",".46%","93.09%","17",".46%","6.91%","246",".46%"
"Colquitt","327",".66%","93.43%","23",".63%","6.57%","350",".66%"
"Columbia","297",".60%","90.83%","30",".82%","9.17%","327",".62%"
"Cook","138",".28%","93.24%","10",".27%","6.76%","148",".28%"
"Coweta","530","1.07%","92.33%","44","1.20%","7.67%","574","1.08%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Crawford","22",".04%","88.00%","3",".08%","12.00%","25",".05%"
"Crisp","295",".60%","95.78%","13",".35%","4.22%","308",".58%"
"Dade","141",".29%","95.27%","7",".19%","4.73%","148",".28%"
"Dawson","85",".17%","89.47%","10",".27%","10.53%","95",".18%"
"Decatur","309",".62%","93.35%","22",".60%","6.65%","331",".62%"
"Dekalb","2,923","5.91%","94.60%","167","4.55%","5.40%","3,090","5.82%"
