"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","4",".01%","80.00%","1",".03%","20.00%","5",".01%"
"153
Wheeler County","25",".05%","96.15%","1",".03%","3.85%","26",".05%"
"154
White County","105",".21%","90.52%","11",".28%","9.48%","116",".21%"
"155
Whitfield County","786","1.54%","87.72%","110","2.80%","12.28%","896","1.63%"
"156
Wilcox County","46",".09%","93.88%","3",".08%","6.12%","49",".09%"
"157
Wilkes County","76",".15%","90.48%","8",".20%","9.52%","84",".15%"
"158
Wilkinson County","42",".08%","95.45%","2",".05%","4.55%","44",".08%"
"159
Worth County","128",".25%","91.43%","12",".31%","8.57%","140",".26%"
"Total Rported","50,931","100%","92.84%","3,929","100%","7.16%","54,860","100%"
