"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152 
Webster County","12",".03%","100.00%","","","","12",".02%"
"153 
Wheeler County","30",".06%","81.08%","7",".19%","18.92%","37",".07%"
"154 
White County","97",".20%","95.10%","5",".13%","4.90%","102",".20%"
"155 
Whitfield County","807","1.69%","87.43%","116","3.09%","12.57%","923","1.79%"
"156 
Wilcox County","64",".13%","88.89%","8",".21%","11.11%","72",".14%"
"157 
Wilkes County","67",".14%","97.10%","2",".05%","2.90%","69",".13%"
"158 
Wilkinson County","36",".08%","97.30%","1",".03%","2.70%","37",".07%"
"159 
Worth County","121",".25%","92.37%","10",".27%","7.63%","131",".25%"
"Total Rported","47,787","100%","92.73%","3,749","100%","7.27%","51,536","100%"
