"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038
Coweta County","550","1.10%","93.86%","36","1.00%","6.14%","586","1.09%"
"039
Crawford County","25",".05%","96.15%","1",".03%","3.85%","26",".05%"
"040
Crisp County","289",".58%","95.07%","15",".42%","4.93%","304",".57%"
"041
Dade County","87",".17%","93.55%","6",".17%","6.45%","93",".17%"
"042
Dawson County","96",".19%","90.57%","10",".28%","9.43%","106",".20%"
"043
Decatur County","256",".51%","94.46%","15",".42%","5.54%","271",".50%"
"044
Dekalb County","2,959","5.90%","94.81%","162","4.52%","5.19%","3,121","5.81%"
"045
Dodge County","136",".27%","93.79%","9",".25%","6.21%","145",".27%"
"046
Dooly County","86",".17%","97.73%","2",".06%","2.27%","88",".16%"
"047
Dougherty County","902","1.80%","93.96%","58","1.62%","6.04%","960","1.79%"
"048
Douglas County","1,133","2.26%","90.50%","119","3.32%","9.50%","1,252","2.33%"
"049
Early County","101",".20%","96.19%","4",".11%","3.81%","105",".20%"
"050
Echols County","8",".02%","88.89%","1",".03%","11.11%","9",".02%"
"051
Effingham County","177",".35%","93.16%","13",".36%","6.84%","190",".35%"
"052
Elbert County","128",".26%","92.75%","10",".28%","7.25%","138",".26%"
"053
Emanuel County","168",".34%","93.33%","12",".33%","6.67%","180",".34%"
"054
Evans County","98",".20%","95.15%","5",".14%","4.85%","103",".19%"
"055
Fannin County","86",".17%","86.00%","14",".39%","14.00%","100",".19%"
"056
Fayette County","338",".67%","87.79%","47","1.31%","12.21%","385",".72%"
"057
Floyd County","877","1.75%","90.41%","93","2.59%","9.59%","970","1.81%"
"058
Forsyth County","369",".74%","91.56%","34",".95%","8.44%","403",".75%"
"059
Franklin County","126",".25%","93.33%","9",".25%","6.67%","135",".25%"
"060
Fulton County","4,499","8.98%","96.34%","171","4.77%","3.66%","4,670","8.70%"
"061
Gilmer County","93",".19%","92.08%","8",".22%","7.92%","101",".19%"
"062
Glascock County","3",".01%","75.00%","1",".03%","25.00%","4",".01%"
"063
Glynn County","494",".99%","92.51%","40","1.12%","7.49%","534",".99%"
"064
Gordon County","362",".72%","87.65%","51","1.42%","12.35%","413",".77%"
"065
Grady County","170",".34%","94.44%","10",".28%","5.56%","180",".34%"
"066
Greene County","107",".21%","93.04%","8",".22%","6.96%","115",".21%"
"067
Gwinnett County","2,238","4.47%","92.67%","177","4.94%","7.33%","2,415","4.50%"
"068
Habersham County","105",".21%","94.59%","6",".17%","5.41%","111",".21%"
"069
Hall County","679","1.35%","91.63%","62","1.73%","8.37%","741","1.38%"
"070
Hancock County","32",".06%","91.43%","3",".08%","8.57%","35",".07%"
"071
Haralson County","166",".33%","93.79%","11",".31%","6.21%","177",".33%"
"072
Harris County","94",".19%","93.07%","7",".20%","6.93%","101",".19%"
"073
Hart County","162",".32%","97.01%","5",".14%","2.99%","167",".31%"
"074
Heard County","46",".09%","90.20%","5",".14%","9.80%","51",".09%"
"075
Henry County","499","1.00%","91.56%","46","1.28%","8.44%","545","1.01%"
