"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"081   Jefferson County","117","0.24%","94.35%","7","0.17%","5.65%","124","0.23%"
"082   Jenkins County","97","0.2%","96.04%","4","0.1%","3.96%","101","0.19%"
"083   Johnson County","44","0.09%","93.62%","3","0.07%","6.38%","47","0.09%"
"084   Jones County","162","0.33%","94.19%","10","0.24%","5.81%","172","0.32%"
"085   Lamar County","97","0.2%","88.18%","13","0.32%","11.82%","110","0.21%"
"086   Lanier County","51","0.1%","87.93%","7","0.17%","12.07%","58","0.11%"
"087   Laurens County","277","0.56%","92.64%","22","0.54%","7.36%","299","0.56%"
"088   Lee County","83","0.17%","95.4%","4","0.1%","4.6%","87","0.16%"
"089   Liberty County","261","0.53%","92.23%","22","0.54%","7.77%","283","0.53%"
"090   Lincoln County","43","0.09%","97.73%","1","0.02%","2.27%","44","0.08%"
"091   Long County","71","0.14%","91.03%","7","0.17%","8.97%","78","0.15%"
"092   Lowndes County","476","0.96%","94.63%","27","0.66%","5.37%","503","0.94%"
"093   Lumpkin County","92","0.19%","85.98%","15","0.37%","14.02%","107","0.2%"
"094   Macon County","45","0.09%","93.75%","3","0.07%","6.25%","48","0.09%"
"095   Madison County","140","0.28%","92.11%","12","0.29%","7.89%","152","0.28%"
"096   Marion County","20","0.04%","90.91%","2","0.05%","9.09%","22","0.04%"
"097   Mcduffie County","175","0.35%","96.69%","6","0.15%","3.31%","181","0.34%"
"098   Mcintosh County","82","0.17%","95.35%","4","0.1%","4.65%","86","0.16%"
"099   Meriwether County","158","0.32%","94.05%","10","0.24%","5.95%","168","0.31%"
"100   Miller County","37","0.07%","92.5%","3","0.07%","7.5%","40","0.07%"
"101   Mitchell County","183","0.37%","92.89%","14","0.34%","7.11%","197","0.37%"
"102   Monroe County","212","0.43%","88.7%","27","0.66%","11.3%","239","0.45%"
"103   Montgomery County","32","0.06%","82.05%","7","0.17%","17.95%","39","0.07%"
"104   Morgan County","124","0.25%","92.54%","10","0.24%","7.46%","134","0.25%"
"105   Murray County","312","0.63%","87.89%","43","1.05%","12.11%","355","0.66%"
"106   Muscogee County","1,221","2.47%","94.14%","76","1.86%","5.86%","1,297","2.43%"
"107   Newton County","686","1.39%","89.79%","78","1.91%","10.21%","764","1.43%"
