"Age At Admission","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"14","1","0.01%","100.00%","","","","1","0.01%"
"15","10","0.06%","100.00%","","","","10","0.05%"
"16","12","0.07%","100.00%","","","","12","0.06%"
"17","145","0.84%","97.97%","3","0.15%","2.03%","148","0.77%"
"18","354","2.04%","97.52%","9","0.46%","2.48%","363","1.88%"
"19","544","3.14%","96.97%","17","0.86%","3.03%","561","2.90%"
"20","611","3.52%","94.29%","37","1.88%","5.71%","648","3.35%"
"21","710","4.09%","93.18%","52","2.64%","6.82%","762","3.94%"
"22","710","4.09%","92.81%","55","2.79%","7.19%","765","3.96%"
"23","690","3.98%","92.74%","54","2.74%","7.26%","744","3.85%"
"24","663","3.82%","89.84%","75","3.81%","10.16%","738","3.82%"
"25","665","3.83%","89.62%","77","3.91%","10.38%","742","3.84%"
"26","659","3.80%","89.17%","80","4.06%","10.83%","739","3.83%"
"27","685","3.95%","90.25%","74","3.76%","9.75%","759","3.93%"
"28","664","3.83%","90.96%","66","3.35%","9.04%","730","3.78%"
"29","626","3.61%","88.42%","82","4.16%","11.58%","708","3.67%"
"30","594","3.42%","87.87%","82","4.16%","12.13%","676","3.50%"
"31","599","3.45%","86.56%","93","4.72%","13.44%","692","3.58%"
"32","566","3.26%","91.14%","55","2.79%","8.86%","621","3.21%"
"33","514","2.96%","89.55%","60","3.05%","10.45%","574","2.97%"
"34","464","2.67%","87.22%","68","3.45%","12.78%","532","2.75%"
"35","444","2.56%","88.98%","55","2.79%","11.02%","499","2.58%"
"36","403","2.32%","85.38%","69","3.50%","14.62%","472","2.44%"
"37","373","2.15%","89.02%","46","2.34%","10.98%","419","2.17%"
"38","381","2.20%","85.81%","63","3.20%","14.19%","444","2.30%"
"39","407","2.35%","87.72%","57","2.89%","12.28%","464","2.40%"
"40","396","2.28%","84.62%","72","3.66%","15.38%","468","2.42%"
"41","352","2.03%","84.01%","67","3.40%","15.99%","419","2.17%"
"42","357","2.06%","86.44%","56","2.84%","13.56%","413","2.14%"
"43","357","2.06%","87.07%","53","2.69%","12.93%","410","2.12%"
"44","328","1.89%","87.70%","46","2.34%","12.30%","374","1.94%"
"45","305","1.76%","84.96%","54","2.74%","15.04%","359","1.86%"
"46","320","1.84%","88.64%","41","2.08%","11.36%","361","1.87%"
"47","328","1.89%","89.62%","38","1.93%","10.38%","366","1.89%"
"48","254","1.46%","87.29%","37","1.88%","12.71%","291","1.51%"
"49","254","1.46%","89.44%","30","1.52%","10.56%","284","1.47%"
"50","253","1.46%","93.01%","19","0.96%","6.99%","272","1.41%"
"51","221","1.27%","89.11%","27","1.37%","10.89%","248","1.28%"
"52","223","1.29%","94.09%","14","0.71%","5.91%","237","1.23%"
"53","171","0.99%","90.00%","19","0.96%","10.00%","190","0.98%"
