"Age At Admission","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"54","169","1.06%","90.37%","18","0.84%","9.63%","187","1.04%"
"55","162","1.02%","92.57%","13","0.61%","7.43%","175","0.97%"
"56","137","0.86%","91.33%","13","0.61%","8.67%","150","0.83%"
"57","116","0.73%","91.34%","11","0.52%","8.66%","127","0.71%"
"58","114","0.72%","95.80%","5","0.23%","4.20%","119","0.66%"
"59","87","0.55%","84.47%","16","0.75%","15.53%","103","0.57%"
"60","74","0.47%","93.67%","5","0.23%","6.33%","79","0.44%"
"61","67","0.42%","91.78%","6","0.28%","8.22%","73","0.41%"
"62","44","0.28%","84.62%","8","0.38%","15.38%","52","0.29%"
"63","46","0.29%","97.87%","1","0.05%","2.13%","47","0.26%"
"64","35","0.22%","85.37%","6","0.28%","14.63%","41","0.23%"
"65","20","0.13%","90.91%","2","0.09%","9.09%","22","0.12%"
"66","23","0.14%","100.00%","","","","23","0.13%"
"67","12","0.08%","92.31%","1","0.05%","7.69%","13","0.07%"
"68","9","0.06%","100.00%","","","","9","0.05%"
"69","6","0.04%","75.00%","2","0.09%","25.00%","8","0.04%"
"70","13","0.08%","92.86%","1","0.05%","7.14%","14","0.08%"
"71","7","0.04%","87.50%","1","0.05%","12.50%","8","0.04%"
"72","8","0.05%","88.89%","1","0.05%","11.11%","9","0.05%"
"74","3","0.02%","100.00%","","","","3","0.02%"
"75","6","0.04%","100.00%","","","","6","0.03%"
"76","4","0.03%","100.00%","","","","4","0.02%"
"77","2","0.01%","100.00%","","","","2","0.01%"
"79","1","0.01%","100.00%","","","","1","0.01%"
"80","","","","1","0.05%","100.00%","1","0.01%"
"82","1","0.01%","100.00%","","","","1","0.01%"
"84","1","0.01%","100.00%","","","","1","0.01%"
"Total Reported","15,876","100%","88.16%","2,132","100%","11.84%","18,008","100%"
