"Age At Admission","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"14","3","0.02%","100.00%","","","","3","0.01%"
"15","6","0.03%","100.00%","","","","6","0.03%"
"16","7","0.04%","87.50%","1","0.05%","12.50%","8","0.04%"
"17","121","0.63%","97.58%","3","0.15%","2.42%","124","0.59%"
"18","377","1.97%","97.67%","9","0.46%","2.33%","386","1.83%"
"19","608","3.18%","97.44%","16","0.82%","2.56%","624","2.96%"
"20","713","3.73%","94.69%","40","2.05%","5.31%","753","3.58%"
"21","802","4.20%","94.58%","46","2.36%","5.42%","848","4.03%"
"22","776","4.06%","93.38%","55","2.82%","6.62%","831","3.95%"
"23","763","3.99%","93.97%","49","2.51%","6.03%","812","3.86%"
"24","725","3.80%","91.19%","70","3.59%","8.81%","795","3.78%"
"25","728","3.81%","92.04%","63","3.23%","7.96%","791","3.76%"
"26","712","3.73%","90.70%","73","3.74%","9.30%","785","3.73%"
"27","720","3.77%","90.68%","74","3.79%","9.32%","794","3.77%"
"28","723","3.78%","91.40%","68","3.48%","8.60%","791","3.76%"
"29","672","3.52%","90.20%","73","3.74%","9.80%","745","3.54%"
"30","667","3.49%","90.63%","69","3.53%","9.38%","736","3.50%"
"31","702","3.67%","90.35%","75","3.84%","9.65%","777","3.69%"
"32","605","3.17%","89.23%","73","3.74%","10.77%","678","3.22%"
"33","568","2.97%","90.45%","60","3.07%","9.55%","628","2.98%"
"34","495","2.59%","88.55%","64","3.28%","11.45%","559","2.65%"
"35","467","2.44%","90.33%","50","2.56%","9.67%","517","2.46%"
"36","462","2.42%","87.67%","65","3.33%","12.33%","527","2.50%"
"37","405","2.12%","89.21%","49","2.51%","10.79%","454","2.16%"
"38","440","2.30%","88.00%","60","3.07%","12.00%","500","2.37%"
"39","436","2.28%","86.68%","67","3.43%","13.32%","503","2.39%"
"40","425","2.22%","86.91%","64","3.28%","13.09%","489","2.32%"
"41","390","2.04%","85.53%","66","3.38%","14.47%","456","2.17%"
"42","350","1.83%","86.42%","55","2.82%","13.58%","405","1.92%"
"43","342","1.79%","87.47%","49","2.51%","12.53%","391","1.86%"
"44","373","1.95%","86.95%","56","2.87%","13.05%","429","2.04%"
"45","349","1.83%","86.17%","56","2.87%","13.83%","405","1.92%"
"46","369","1.93%","91.34%","35","1.79%","8.66%","404","1.92%"
"47","333","1.74%","86.72%","51","2.61%","13.28%","384","1.82%"
"48","313","1.64%","89.17%","38","1.95%","10.83%","351","1.67%"
"49","270","1.41%","88.24%","36","1.84%","11.76%","306","1.45%"
"50","291","1.52%","92.38%","24","1.23%","7.62%","315","1.50%"
"51","259","1.36%","89.62%","30","1.54%","10.38%","289","1.37%"
"52","211","1.10%","92.54%","17","0.87%","7.46%","228","1.08%"
"53","187","0.98%","91.67%","17","0.87%","8.33%","204","0.97%"
