"Age At Admission","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"17","23","0.25%","95.83%","1","0.08%","4.17%","24","0.23%"
"18","95","1.04%","95.00%","5","0.42%","5.00%","100","0.97%"
"19","150","1.65%","92.59%","12","1.02%","7.41%","162","1.57%"
"20","191","2.10%","91.83%","17","1.44%","8.17%","208","2.02%"
"21","223","2.45%","89.92%","25","2.12%","10.08%","248","2.41%"
"22","236","2.59%","91.83%","21","1.78%","8.17%","257","2.50%"
"23","268","2.94%","91.47%","25","2.12%","8.53%","293","2.85%"
"24","249","2.73%","89.57%","29","2.46%","10.43%","278","2.70%"
"25","304","3.34%","88.89%","38","3.23%","11.11%","342","3.32%"
"26","307","3.37%","86.48%","48","4.08%","13.52%","355","3.45%"
"27","368","4.04%","91.54%","34","2.89%","8.46%","402","3.91%"
"28","350","3.84%","89.06%","43","3.65%","10.94%","393","3.82%"
"29","373","4.09%","87.97%","51","4.33%","12.03%","424","4.12%"
"30","391","4.29%","86.70%","60","5.10%","13.30%","451","4.38%"
"31","369","4.05%","87.86%","51","4.33%","12.14%","420","4.08%"
"32","309","3.39%","86.80%","47","3.99%","13.20%","356","3.46%"
"33","337","3.70%","84.25%","63","5.35%","15.75%","400","3.89%"
"34","311","3.41%","88.35%","41","3.48%","11.65%","352","3.42%"
"35","283","3.11%","87.62%","40","3.40%","12.38%","323","3.14%"
"36","287","3.15%","90.25%","31","2.63%","9.75%","318","3.09%"
"37","270","2.96%","86.82%","41","3.48%","13.18%","311","3.02%"
"38","276","3.03%","90.20%","30","2.55%","9.80%","306","2.97%"
"39","283","3.11%","86.54%","44","3.74%","13.46%","327","3.18%"
"40","237","2.60%","88.10%","32","2.72%","11.90%","269","2.61%"
"41","253","2.78%","88.46%","33","2.80%","11.54%","286","2.78%"
"42","204","2.24%","87.18%","30","2.55%","12.82%","234","2.27%"
"43","191","2.10%","90.09%","21","1.78%","9.91%","212","2.06%"
"44","171","1.88%","88.14%","23","1.95%","11.86%","194","1.89%"
"45","154","1.69%","89.02%","19","1.61%","10.98%","173","1.68%"
"46","154","1.69%","91.67%","14","1.19%","8.33%","168","1.63%"
"47","113","1.24%","79.58%","29","2.46%","20.42%","142","1.38%"
"48","122","1.34%","84.72%","22","1.87%","15.28%","144","1.40%"
"49","133","1.46%","88.67%","17","1.44%","11.33%","150","1.46%"
"50","113","1.24%","84.96%","20","1.70%","15.04%","133","1.29%"
"51","99","1.09%","86.84%","15","1.27%","13.16%","114","1.11%"
"52","94","1.03%","87.04%","14","1.19%","12.96%","108","1.05%"
"53","91","1.00%","83.49%","18","1.53%","16.51%","109","1.06%"
"54","86","0.94%","86.00%","14","1.19%","14.00%","100","0.97%"
"55","84","0.92%","88.42%","11","0.93%","11.58%","95","0.92%"
"56","93","1.02%","90.29%","10","0.85%","9.71%","103","1.00%"
