"Age At Admission","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"55","135","0.88%","90.60%","14","0.72%","9.40%","149","0.86%"
"56","125","0.82%","90.58%","13","0.67%","9.42%","138","0.80%"
"57","91","0.59%","92.86%","7","0.36%","7.14%","98","0.57%"
"58","94","0.61%","92.16%","8","0.41%","7.84%","102","0.59%"
"59","71","0.46%","86.59%","11","0.57%","13.41%","82","0.47%"
"60","46","0.30%","90.20%","5","0.26%","9.80%","51","0.30%"
"61","43","0.28%","93.48%","3","0.15%","6.52%","46","0.27%"
"62","37","0.24%","92.50%","3","0.15%","7.50%","40","0.23%"
"63","26","0.17%","86.67%","4","0.21%","13.33%","30","0.17%"
"64","25","0.16%","92.59%","2","0.10%","7.41%","27","0.16%"
"65","22","0.14%","95.65%","1","0.05%","4.35%","23","0.13%"
"66","19","0.12%","100.00%","","","","19","0.11%"
"67","13","0.08%","100.00%","","","","13","0.08%"
"68","13","0.08%","100.00%","","","","13","0.08%"
"69","5","0.03%","100.00%","","","","5","0.03%"
"70","6","0.04%","85.71%","1","0.05%","14.29%","7","0.04%"
"71","4","0.03%","100.00%","","","","4","0.02%"
"72","5","0.03%","83.33%","1","0.05%","16.67%","6","0.03%"
"73","3","0.02%","100.00%","","","","3","0.02%"
"74","1","0.01%","33.33%","2","0.10%","66.67%","3","0.02%"
"75","2","0.01%","100.00%","","","","2","0.01%"
"76","2","0.01%","100.00%","","","","2","0.01%"
"77","2","0.01%","100.00%","","","","2","0.01%"
"78","1","0.01%","100.00%","","","","1","0.01%"
"79","1","0.01%","100.00%","","","","1","0.01%"
"80","1","0.01%","100.00%","","","","1","0.01%"
"Total Reported","15,325","100%","88.75%","1,942","100%","11.25%","17,267","100%"
