"Age At Admission","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"54","181","1.12%","87.86%","25","1.17%","12.14%","206","1.13%"
"55","173","1.07%","89.18%","21","0.98%","10.82%","194","1.06%"
"56","145","0.90%","86.83%","22","1.03%","13.17%","167","0.91%"
"57","129","0.80%","92.81%","10","0.47%","7.19%","139","0.76%"
"58","107","0.66%","91.45%","10","0.47%","8.55%","117","0.64%"
"59","77","0.48%","91.67%","7","0.33%","8.33%","84","0.46%"
"60","79","0.49%","88.76%","10","0.47%","11.24%","89","0.49%"
"61","77","0.48%","93.90%","5","0.23%","6.10%","82","0.45%"
"62","48","0.30%","88.89%","6","0.28%","11.11%","54","0.30%"
"63","46","0.28%","92.00%","4","0.19%","8.00%","50","0.27%"
"64","48","0.30%","97.96%","1","0.05%","2.04%","49","0.27%"
"65","36","0.22%","90.00%","4","0.19%","10.00%","40","0.22%"
"66","28","0.17%","93.33%","2","0.09%","6.67%","30","0.16%"
"67","21","0.13%","100.00%","","","","21","0.11%"
"68","17","0.11%","94.44%","1","0.05%","5.56%","18","0.10%"
"69","12","0.07%","100.00%","","","","12","0.07%"
"70","12","0.07%","100.00%","","","","12","0.07%"
"71","5","0.03%","100.00%","","","","5","0.03%"
"72","5","0.03%","71.43%","2","0.09%","28.57%","7","0.04%"
"73","6","0.04%","100.00%","","","","6","0.03%"
"74","2","0.01%","100.00%","","","","2","0.01%"
"75","3","0.02%","75.00%","1","0.05%","25.00%","4","0.02%"
"76","2","0.01%","100.00%","","","","2","0.01%"
"77","2","0.01%","100.00%","","","","2","0.01%"
"78","2","0.01%","100.00%","","","","2","0.01%"
"79","3","0.02%","100.00%","","","","3","0.02%"
"81","1","0.01%","100.00%","","","","1","0.01%"
"82","1","0.01%","100.00%","","","","1","0.01%"
"83","1","0.01%","100.00%","","","","1","0.01%"
"84","1","0.01%","100.00%","","","","1","0.01%"
"Total Reported","16,169","100%","88.34%","2,134","100%","11.66%","18,303","100%"
