"Age At Admission","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"55","154","0.98%","92.22%","13","0.64%","7.78%","167","0.94%"
"56","129","0.82%","91.49%","12","0.59%","8.51%","141","0.80%"
"57","91","0.58%","90.10%","10","0.49%","9.90%","101","0.57%"
"58","75","0.48%","93.75%","5","0.25%","6.25%","80","0.45%"
"59","67","0.43%","87.01%","10","0.49%","12.99%","77","0.44%"
"60","55","0.35%","93.22%","4","0.20%","6.78%","59","0.33%"
"61","47","0.30%","90.38%","5","0.25%","9.62%","52","0.29%"
"62","47","0.30%","95.92%","2","0.10%","4.08%","49","0.28%"
"63","26","0.17%","86.67%","4","0.20%","13.33%","30","0.17%"
"64","35","0.22%","87.50%","5","0.25%","12.50%","40","0.23%"
"65","20","0.13%","100.00%","","","","20","0.11%"
"66","21","0.13%","100.00%","","","","21","0.12%"
"67","17","0.11%","100.00%","","","","17","0.10%"
"68","13","0.08%","100.00%","","","","13","0.07%"
"69","7","0.04%","100.00%","","","","7","0.04%"
"70","7","0.04%","77.78%","2","0.10%","22.22%","9","0.05%"
"71","2","0.01%","100.00%","","","","2","0.01%"
"72","7","0.04%","100.00%","","","","7","0.04%"
"73","2","0.01%","100.00%","","","","2","0.01%"
"74","","","","3","0.15%","100.00%","3","0.02%"
"75","2","0.01%","100.00%","","","","2","0.01%"
"76","5","0.03%","100.00%","","","","5","0.03%"
"77","1","0.01%","50.00%","1","0.05%","50.00%","2","0.01%"
"78","2","0.01%","100.00%","","","","2","0.01%"
"79","1","0.01%","100.00%","","","","1","0.01%"
"81","2","0.01%","100.00%","","","","2","0.01%"
"82","1","0.01%","100.00%","","","","1","0.01%"
"83","1","0.01%","100.00%","","","","1","0.01%"
"Total Reported","15,645","100%","88.46%","2,040","100%","11.54%","17,685","100%"
