"Age At Admission","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"14","1","0.01%","100.00%","","","","1","0.01%"
"15","4","0.02%","80.00%","1","0.05%","20.00%","5","0.03%"
"16","18","0.11%","100.00%","","","","18","0.10%"
"17","147","0.89%","97.35%","4","0.20%","2.65%","151","0.82%"
"18","340","2.06%","96.59%","12","0.59%","3.41%","352","1.90%"
"19","482","2.93%","95.45%","23","1.13%","4.55%","505","2.73%"
"20","652","3.96%","94.63%","37","1.81%","5.37%","689","3.72%"
"21","613","3.72%","93.73%","41","2.01%","6.27%","654","3.53%"
"22","696","4.22%","93.93%","45","2.20%","6.07%","741","4.00%"
"23","652","3.96%","90.43%","69","3.38%","9.57%","721","3.89%"
"24","721","4.38%","91.73%","65","3.18%","8.27%","786","4.24%"
"25","729","4.42%","90.33%","78","3.82%","9.67%","807","4.36%"
"26","645","3.91%","89.58%","75","3.67%","10.42%","720","3.89%"
"27","600","3.64%","90.36%","64","3.13%","9.64%","664","3.59%"
"28","574","3.48%","88.72%","73","3.57%","11.28%","647","3.49%"
"29","520","3.16%","89.35%","62","3.04%","10.65%","582","3.14%"
"30","514","3.12%","90.02%","57","2.79%","9.98%","571","3.08%"
"31","547","3.32%","88.65%","70","3.43%","11.35%","617","3.33%"
"32","477","2.89%","85.95%","78","3.82%","14.05%","555","3.00%"
"33","502","3.05%","86.85%","76","3.72%","13.15%","578","3.12%"
"34","469","2.85%","83.90%","90","4.41%","16.10%","559","3.02%"
"35","467","2.83%","83.69%","91","4.46%","16.31%","558","3.01%"
"36","474","2.88%","86.03%","77","3.77%","13.97%","551","2.98%"
"37","424","2.57%","84.63%","77","3.77%","15.37%","501","2.71%"
"38","438","2.66%","84.23%","82","4.02%","15.77%","520","2.81%"
"39","458","2.78%","87.40%","66","3.23%","12.60%","524","2.83%"
"40","458","2.78%","86.91%","69","3.38%","13.09%","527","2.85%"
"41","456","2.77%","84.92%","81","3.97%","15.08%","537","2.90%"
"42","386","2.34%","85.21%","67","3.28%","14.79%","453","2.45%"
"43","380","2.31%","82.61%","80","3.92%","17.39%","460","2.48%"
"44","369","2.24%","88.28%","49","2.40%","11.72%","418","2.26%"
"45","293","1.78%","83.71%","57","2.79%","16.29%","350","1.89%"
"46","302","1.83%","92.92%","23","1.13%","7.08%","325","1.75%"
"47","256","1.55%","84.49%","47","2.30%","15.51%","303","1.64%"
"48","226","1.37%","87.60%","32","1.57%","12.40%","258","1.39%"
"49","193","1.17%","87.33%","28","1.37%","12.67%","221","1.19%"
"50","165","1.00%","85.94%","27","1.32%","14.06%","192","1.04%"
"51","153","0.93%","95.63%","7","0.34%","4.38%","160","0.86%"
"52","122","0.74%","93.85%","8","0.39%","6.15%","130","0.70%"
"53","88","0.53%","87.13%","13","0.64%","12.87%","101","0.55%"
