"Age At Admission","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"17","6","0.05%","66.67%","3","0.16%","33.33%","9","0.06%"
"18","145","1.2%","97.32%","4","0.21%","2.68%","149","1.07%"
"19","175","1.45%","92.11%","15","0.8%","7.89%","190","1.36%"
"20","236","1.95%","94.4%","14","0.75%","5.6%","250","1.79%"
"21","272","2.25%","95.44%","13","0.69%","4.56%","285","2.04%"
"22","275","2.28%","90.46%","29","1.55%","9.54%","304","2.18%"
"23","299","2.48%","87.68%","42","2.24%","12.32%","341","2.45%"
"24","338","2.8%","89.42%","40","2.14%","10.58%","378","2.71%"
"25","321","2.66%","86.52%","50","2.67%","13.48%","371","2.66%"
"26","365","3.02%","87.95%","50","2.67%","12.05%","415","2.98%"
"27","333","2.76%","87.86%","46","2.46%","12.14%","379","2.72%"
"28","340","2.82%","85.64%","57","3.04%","14.36%","397","2.85%"
"29","355","2.94%","83.14%","72","3.85%","16.86%","427","3.06%"
"30","407","3.37%","87.15%","60","3.21%","12.85%","467","3.35%"
"31","379","3.14%","84.6%","69","3.69%","15.4%","448","3.21%"
"32","412","3.41%","85.12%","72","3.85%","14.88%","484","3.47%"
"33","411","3.4%","83.88%","79","4.22%","16.12%","490","3.51%"
"34","428","3.54%","85.6%","72","3.85%","14.4%","500","3.59%"
"35","422","3.5%","84.06%","80","4.27%","15.94%","502","3.6%"
"36","382","3.16%","83.77%","74","3.95%","16.23%","456","3.27%"
"37","347","2.87%","80.32%","85","4.54%","19.68%","432","3.1%"
"38","376","3.11%","85.45%","64","3.42%","14.55%","440","3.16%"
"39","380","3.15%","84.44%","70","3.74%","15.56%","450","3.23%"
"40","343","2.84%","85.96%","56","2.99%","14.04%","399","2.86%"
"41","319","2.64%","82.86%","66","3.53%","17.14%","385","2.76%"
"42","313","2.59%","87.19%","46","2.46%","12.81%","359","2.57%"
"43","273","2.26%","87.22%","40","2.14%","12.78%","313","2.24%"
"44","305","2.53%","85.67%","51","2.72%","14.33%","356","2.55%"
