"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","8,272","18.57%","90.36%","882","27.06%","9.64%","9,154","19.15%"
"1 to 1.99 years","4,572","10.26%","92.51%","370","11.35%","7.49%","4,942","10.34%"
"2 to 2.99 years","3,704","8.32%","91.32%","352","10.80%","8.68%","4,056","8.49%"
"3 to 3.99 years","3,755","8.43%","91.36%","355","10.89%","8.64%","4,110","8.60%"
"4 to 4.99 years","3,311","7.43%","92.41%","272","8.35%","7.59%","3,583","7.50%"
"5 to 5.99 years","2,620","5.88%","93.94%","169","5.19%","6.06%","2,789","5.83%"
"6 to 6.99 years","2,173","4.88%","93.79%","144","4.42%","6.21%","2,317","4.85%"
"7 to 7.99 years","1,857","4.17%","93.60%","127","3.90%","6.40%","1,984","4.15%"
"8 to 8.99 years","1,679","3.77%","95.29%","83","2.55%","4.71%","1,762","3.69%"
"9 to 9.99 years","1,391","3.12%","93.99%","89","2.73%","6.01%","1,480","3.10%"
"10 to 10.99 years","1,155","2.59%","95.69%","52","1.60%","4.31%","1,207","2.53%"
"11 to 11.99 years","1,102","2.47%","96.16%","44","1.35%","3.84%","1,146","2.40%"
"12 to 12.99 years","783","1.76%","94.68%","44","1.35%","5.32%","827","1.73%"
"13 to 13.99 years","739","1.66%","96.10%","30","0.92%","3.90%","769","1.61%"
"14 to 14.99 years","787","1.77%","96.56%","28","0.86%","3.44%","815","1.71%"
"15 to 15.99 years","629","1.41%","95.59%","29","0.89%","4.41%","658","1.38%"
"16 to 16.99 years","542","1.22%","95.76%","24","0.74%","4.24%","566","1.18%"
"17 to 17.99 years","451","1.01%","95.55%","21","0.64%","4.45%","472","0.99%"
"18 to 18.99 years","417","0.94%","95.86%","18","0.55%","4.14%","435","0.91%"
"19 to 19.99 years","464","1.04%","95.28%","23","0.71%","4.72%","487","1.02%"
"20 to 20.99 years","344","0.77%","96.90%","11","0.34%","3.10%","355","0.74%"
"21 to 21.99 years","326","0.73%","98.49%","5","0.15%","1.51%","331","0.69%"
"22 to 22.99 years","308","0.69%","94.77%","17","0.52%","5.23%","325","0.68%"
"23 to 23.99 years","288","0.65%","95.36%","14","0.43%","4.64%","302","0.63%"
"24 to 24.99 years","328","0.74%","96.47%","12","0.37%","3.53%","340","0.71%"
"25 to 25.99 years","310","0.70%","97.18%","9","0.28%","2.82%","319","0.67%"
"26 to 26.99 years","277","0.62%","97.88%","6","0.18%","2.12%","283","0.59%"
"27 to 27.99 years","250","0.56%","98.04%","5","0.15%","1.96%","255","0.53%"
"28 to 28.99 years","218","0.49%","97.32%","6","0.18%","2.68%","224","0.47%"
"29 to 29.99 years","163","0.37%","99.39%","1","0.03%","0.61%","164","0.34%"
"Thirty + years","1,326","2.98%","98.73%","17","0.52%","1.27%","1,343","2.81%"
"Total Reported","44,541","100%","93.18%","3,259","100%","6.82%","47,800","100.0%"
"Not Reported","14",,,"1",,,"15",
"Grand Total","44,555",,,"3,260",,,"47,815",
