"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","8,462","17.71%","90.37%","902","24.07%","9.63%","9,364","18.18%"
"1 to 1.99 years","6,922","14.49%","89.85%","782","20.86%","10.15%","7,704","14.95%"
"2 to 2.99 years","5,269","11.03%","90.88%","529","14.11%","9.12%","5,798","11.25%"
"3 to 3.99 years","2,936","6.15%","92.41%","241","6.43%","7.59%","3,177","6.17%"
"4 to 4.99 years","2,172","4.55%","93.02%","163","4.35%","6.98%","2,335","4.53%"
"5 to 5.99 years","2,564","5.37%","92.73%","201","5.36%","7.27%","2,765","5.37%"
"6 to 6.99 years","2,405","5.03%","93.11%","178","4.75%","6.89%","2,583","5.01%"
"7 to 7.99 years","2,018","4.22%","94.70%","113","3.01%","5.30%","2,131","4.14%"
"8 to 8.99 years","1,774","3.71%","94.56%","102","2.72%","5.44%","1,876","3.64%"
"9 to 9.99 years","1,378","2.88%","95.03%","72","1.92%","4.97%","1,450","2.81%"
"10 to 10.99 years","1,212","2.54%","96.04%","50","1.33%","3.96%","1,262","2.45%"
"11 to 11.99 years","1,035","2.17%","94.61%","59","1.57%","5.39%","1,094","2.12%"
"12 to 12.99 years","885","1.85%","94.96%","47","1.25%","5.04%","932","1.81%"
"13 to 13.99 years","880","1.84%","96.39%","33","0.88%","3.61%","913","1.77%"
"14 to 14.99 years","671","1.40%","95.45%","32","0.85%","4.55%","703","1.36%"
"15 to 15.99 years","578","1.21%","95.22%","29","0.77%","4.78%","607","1.18%"
"16 to 16.99 years","606","1.27%","96.50%","22","0.59%","3.50%","628","1.22%"
"17 to 17.99 years","577","1.21%","96.17%","23","0.61%","3.83%","600","1.16%"
"18 to 18.99 years","500","1.05%","95.60%","23","0.61%","4.40%","523","1.02%"
"19 to 19.99 years","402","0.84%","95.94%","17","0.45%","4.06%","419","0.81%"
"20 to 20.99 years","327","0.68%","95.34%","16","0.43%","4.66%","343","0.67%"
"21 to 21.99 years","338","0.71%","94.94%","18","0.48%","5.06%","356","0.69%"
"22 to 22.99 years","312","0.65%","95.41%","15","0.40%","4.59%","327","0.63%"
"23 to 23.99 years","308","0.64%","98.09%","6","0.16%","1.91%","314","0.61%"
"24 to 24.99 years","298","0.62%","96.13%","12","0.32%","3.87%","310","0.60%"
"25 to 25.99 years","255","0.53%","94.44%","15","0.40%","5.56%","270","0.52%"
"26 to 26.99 years","285","0.60%","96.94%","9","0.24%","3.06%","294","0.57%"
"27 to 27.99 years","298","0.62%","97.07%","9","0.24%","2.93%","307","0.60%"
"28 to 28.99 years","253","0.53%","98.06%","5","0.13%","1.94%","258","0.50%"
"29 to 29.99 years","228","0.48%","98.70%","3","0.08%","1.30%","231","0.45%"
"Thirty + years","1,622","3.40%","98.66%","22","0.59%","1.34%","1,644","3.19%"
"Total Reported","47,770","100%","92.72%","3,748","100%","7.28%","51,518","100%"
"Not Reported","17",,,"1",,,"18",
"Grand Total","47,787",,,"3,749",,,"51,536",
