"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","8,308","18.51%","90.07%","916","27.71%","9.93%","9,224","19.14%"
"1 to 1.99 years","5,570","12.41%","92.20%","471","14.25%","7.80%","6,041","12.54%"
"2 to 2.99 years","2,789","6.21%","91.47%","260","7.86%","8.53%","3,049","6.33%"
"3 to 3.99 years","3,785","8.43%","91.65%","345","10.44%","8.35%","4,130","8.57%"
"4 to 4.99 years","3,289","7.33%","92.15%","280","8.47%","7.85%","3,569","7.41%"
"5 to 5.99 years","2,642","5.89%","93.69%","178","5.38%","6.31%","2,820","5.85%"
"6 to 6.99 years","2,256","5.03%","94.20%","139","4.20%","5.80%","2,395","4.97%"
"7 to 7.99 years","1,873","4.17%","93.74%","125","3.78%","6.26%","1,998","4.15%"
"8 to 8.99 years","1,648","3.67%","94.88%","89","2.69%","5.12%","1,737","3.61%"
"9 to 9.99 years","1,378","3.07%","94.64%","78","2.36%","5.36%","1,456","3.02%"
"10 to 10.99 years","1,170","2.61%","94.97%","62","1.88%","5.03%","1,232","2.56%"
"11 to 11.99 years","1,099","2.45%","96.23%","43","1.30%","3.77%","1,142","2.37%"
"12 to 12.99 years","820","1.83%","95.46%","39","1.18%","4.54%","859","1.78%"
"13 to 13.99 years","769","1.71%","95.65%","35","1.06%","4.35%","804","1.67%"
"14 to 14.99 years","717","1.60%","96.24%","28","0.85%","3.76%","745","1.55%"
"15 to 15.99 years","685","1.53%","96.48%","25","0.76%","3.52%","710","1.47%"
"16 to 16.99 years","552","1.23%","95.83%","24","0.73%","4.17%","576","1.20%"
"17 to 17.99 years","457","1.02%","95.21%","23","0.70%","4.79%","480","1.00%"
"18 to 18.99 years","425","0.95%","95.29%","21","0.64%","4.71%","446","0.93%"
"19 to 19.99 years","436","0.97%","96.04%","18","0.54%","3.96%","454","0.94%"
"20 to 20.99 years","354","0.79%","95.42%","17","0.51%","4.58%","371","0.77%"
"21 to 21.99 years","338","0.75%","98.54%","5","0.15%","1.46%","343","0.71%"
"22 to 22.99 years","318","0.71%","96.07%","13","0.39%","3.93%","331","0.69%"
"23 to 23.99 years","274","0.61%","95.14%","14","0.42%","4.86%","288","0.60%"
"24 to 24.99 years","311","0.69%","95.99%","13","0.39%","4.01%","324","0.67%"
"25 to 25.99 years","319","0.71%","97.26%","9","0.27%","2.74%","328","0.68%"
"26 to 26.99 years","299","0.67%","97.71%","7","0.21%","2.29%","306","0.64%"
"27 to 27.99 years","238","0.53%","98.35%","4","0.12%","1.65%","242","0.50%"
"28 to 28.99 years","212","0.47%","97.70%","5","0.15%","2.30%","217","0.45%"
"29 to 29.99 years","192","0.43%","98.46%","3","0.09%","1.54%","195","0.40%"
"Thirty + years","1,353","3.01%","98.76%","17","0.51%","1.24%","1,370","2.84%"
"Total Reported","44,876","100%","93.14%","3,306","100%","6.86%","48,182","100.0%"
"Not Reported","33",,,"1",,,"34",
"Grand Total","44,909",,,"3,307",,,"48,216",
