"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","8,349","18.12%","89.62%","967","27.26%","10.38%","9,316","18.78%"
"1 to 1.99 years","6,714","14.58%","90.80%","680","19.17%","9.20%","7,394","14.90%"
"2 to 2.99 years","3,664","7.95%","92.29%","306","8.63%","7.71%","3,970","8.00%"
"3 to 3.99 years","2,676","5.81%","91.77%","240","6.77%","8.23%","2,916","5.88%"
"4 to 4.99 years","3,113","6.76%","92.02%","270","7.61%","7.98%","3,383","6.82%"
"5 to 5.99 years","2,742","5.95%","92.60%","219","6.17%","7.40%","2,961","5.97%"
"6 to 6.99 years","2,262","4.91%","94.57%","130","3.67%","5.43%","2,392","4.82%"
"7 to 7.99 years","2,008","4.36%","94.54%","116","3.27%","5.46%","2,124","4.28%"
"8 to 8.99 years","1,611","3.50%","94.43%","95","2.68%","5.57%","1,706","3.44%"
"9 to 9.99 years","1,414","3.07%","95.09%","73","2.06%","4.91%","1,487","3.00%"
"10 to 10.99 years","1,149","2.49%","94.49%","67","1.89%","5.51%","1,216","2.45%"
"11 to 11.99 years","1,002","2.18%","95.34%","49","1.38%","4.66%","1,051","2.12%"
"12 to 12.99 years","981","2.13%","96.37%","37","1.04%","3.63%","1,018","2.05%"
"13 to 13.99 years","754","1.64%","95.32%","37","1.04%","4.68%","791","1.59%"
"14 to 14.99 years","665","1.44%","95.55%","31","0.87%","4.45%","696","1.40%"
"15 to 15.99 years","644","1.40%","96.41%","24","0.68%","3.59%","668","1.35%"
"16 to 16.99 years","606","1.32%","95.58%","28","0.79%","4.42%","634","1.28%"
"17 to 17.99 years","525","1.14%","95.98%","22","0.62%","4.02%","547","1.10%"
"18 to 18.99 years","424","0.92%","95.71%","19","0.54%","4.29%","443","0.89%"
"19 to 19.99 years","401","0.87%","95.70%","18","0.51%","4.30%","419","0.84%"
"20 to 20.99 years","356","0.77%","94.68%","20","0.56%","5.32%","376","0.76%"
"21 to 21.99 years","326","0.71%","95.88%","14","0.39%","4.12%","340","0.69%"
"22 to 22.99 years","317","0.69%","98.14%","6","0.17%","1.86%","323","0.65%"
"23 to 23.99 years","309","0.67%","96.26%","12","0.34%","3.74%","321","0.65%"
"24 to 24.99 years","269","0.58%","94.72%","15","0.42%","5.28%","284","0.57%"
"25 to 25.99 years","300","0.65%","96.77%","10","0.28%","3.23%","310","0.62%"
"26 to 26.99 years","313","0.68%","97.20%","9","0.25%","2.80%","322","0.65%"
"27 to 27.99 years","261","0.57%","98.12%","5","0.14%","1.88%","266","0.54%"
"28 to 28.99 years","235","0.51%","98.74%","3","0.08%","1.26%","238","0.48%"
"29 to 29.99 years","205","0.45%","97.62%","5","0.14%","2.38%","210","0.42%"
"Thirty + years","1,470","3.19%","98.66%","20","0.56%","1.34%","1,490","3.00%"
"Total Reported","46,065","100%","92.85%","3,547","100%","7.15%","49,612","100%"
"Not Reported","46",,,"7",,,"53",
"Grand Total","46,111",,,"3,554",,,"49,665",
