"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","8,513","18.60%","89.78%","969","28.24%","10.22%","9,482","19.27%"
"1 to 1.99 years","6,586","14.39%","91.42%","618","18.01%","8.58%","7,204","14.64%"
"2 to 2.99 years","2,304","5.03%","91.54%","213","6.21%","8.46%","2,517","5.11%"
"3 to 3.99 years","3,726","8.14%","92.14%","318","9.27%","7.86%","4,044","8.22%"
"4 to 4.99 years","3,193","6.97%","92.69%","252","7.34%","7.31%","3,445","7.00%"
"5 to 5.99 years","2,828","6.18%","93.21%","206","6.00%","6.79%","3,034","6.17%"
"6 to 6.99 years","2,257","4.93%","94.55%","130","3.79%","5.45%","2,387","4.85%"
"7 to 7.99 years","1,959","4.28%","94.73%","109","3.18%","5.27%","2,068","4.20%"
"8 to 8.99 years","1,660","3.63%","94.37%","99","2.89%","5.63%","1,759","3.57%"
"9 to 9.99 years","1,366","2.98%","94.73%","76","2.22%","5.27%","1,442","2.93%"
"10 to 10.99 years","1,112","2.43%","93.92%","72","2.10%","6.08%","1,184","2.41%"
"11 to 11.99 years","1,047","2.29%","96.59%","37","1.08%","3.41%","1,084","2.20%"
"12 to 12.99 years","931","2.03%","95.49%","44","1.28%","4.51%","975","1.98%"
"13 to 13.99 years","762","1.66%","95.61%","35","1.02%","4.39%","797","1.62%"
"14 to 14.99 years","686","1.50%","96.62%","24","0.70%","3.38%","710","1.44%"
"15 to 15.99 years","691","1.51%","95.97%","29","0.85%","4.03%","720","1.46%"
"16 to 16.99 years","547","1.19%","95.96%","23","0.67%","4.04%","570","1.16%"
"17 to 17.99 years","487","1.06%","94.38%","29","0.85%","5.62%","516","1.05%"
"18 to 18.99 years","430","0.94%","96.63%","15","0.44%","3.37%","445","0.90%"
"19 to 19.99 years","427","0.93%","95.74%","19","0.55%","4.26%","446","0.91%"
"20 to 20.99 years","348","0.76%","93.80%","23","0.67%","6.20%","371","0.75%"
"21 to 21.99 years","336","0.73%","98.53%","5","0.15%","1.47%","341","0.69%"
"22 to 22.99 years","319","0.70%","97.26%","9","0.26%","2.74%","328","0.67%"
"23 to 23.99 years","308","0.67%","95.36%","15","0.44%","4.64%","323","0.66%"
"24 to 24.99 years","262","0.57%","94.93%","14","0.41%","5.07%","276","0.56%"
"25 to 25.99 years","315","0.69%","97.52%","8","0.23%","2.48%","323","0.66%"
"26 to 26.99 years","289","0.63%","97.31%","8","0.23%","2.69%","297","0.60%"
"27 to 27.99 years","258","0.56%","98.47%","4","0.12%","1.53%","262","0.53%"
"28 to 28.99 years","240","0.52%","98.36%","4","0.12%","1.64%","244","0.50%"
"29 to 29.99 years","186","0.41%","97.38%","5","0.15%","2.62%","191","0.39%"
"Thirty + years","1,408","3.08%","98.67%","19","0.55%","1.33%","1,427","2.90%"
"Total Reported","45,781","100%","93.03%","3,431","100%","6.97%","49,212","100%"
"Not Reported","51",,,"6",,,"57",
"Grand Total","45,832",,,"3,437",,,"49,269",
