"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","8,418","18.63%","89.95%","941","28.17%","10.05%","9,359","19.29%"
"1 to 1.99 years","6,128","13.56%","91.86%","543","16.26%","8.14%","6,671","13.75%"
"2 to 2.99 years","2,328","5.15%","91.91%","205","6.14%","8.09%","2,533","5.22%"
"3 to 3.99 years","3,873","8.57%","92.04%","335","10.03%","7.96%","4,208","8.67%"
"4 to 4.99 years","3,159","6.99%","92.37%","261","7.81%","7.63%","3,420","7.05%"
"5 to 5.99 years","2,770","6.13%","93.30%","199","5.96%","6.70%","2,969","6.12%"
"6 to 6.99 years","2,255","4.99%","94.59%","129","3.86%","5.41%","2,384","4.91%"
"7 to 7.99 years","1,928","4.27%","94.14%","120","3.59%","5.86%","2,048","4.22%"
"8 to 8.99 years","1,635","3.62%","94.73%","91","2.72%","5.27%","1,726","3.56%"
"9 to 9.99 years","1,369","3.03%","94.41%","81","2.43%","5.59%","1,450","2.99%"
"10 to 10.99 years","1,110","2.46%","94.39%","66","1.98%","5.61%","1,176","2.42%"
"11 to 11.99 years","1,058","2.34%","96.36%","40","1.20%","3.64%","1,098","2.26%"
"12 to 12.99 years","889","1.97%","95.59%","41","1.23%","4.41%","930","1.92%"
"13 to 13.99 years","760","1.68%","96.20%","30","0.90%","3.80%","790","1.63%"
"14 to 14.99 years","679","1.50%","95.90%","29","0.87%","4.10%","708","1.46%"
"15 to 15.99 years","699","1.55%","95.88%","30","0.90%","4.12%","729","1.50%"
"16 to 16.99 years","554","1.23%","96.18%","22","0.66%","3.82%","576","1.19%"
"17 to 17.99 years","484","1.07%","94.16%","30","0.90%","5.84%","514","1.06%"
"18 to 18.99 years","410","0.91%","96.02%","17","0.51%","3.98%","427","0.88%"
"19 to 19.99 years","431","0.95%","96.42%","16","0.48%","3.58%","447","0.92%"
"20 to 20.99 years","353","0.78%","93.88%","23","0.69%","6.12%","376","0.77%"
"21 to 21.99 years","338","0.75%","98.54%","5","0.15%","1.46%","343","0.71%"
"22 to 22.99 years","314","0.70%","96.91%","10","0.30%","3.09%","324","0.67%"
"23 to 23.99 years","294","0.65%","95.15%","15","0.45%","4.85%","309","0.64%"
"24 to 24.99 years","283","0.63%","94.65%","16","0.48%","5.35%","299","0.62%"
"25 to 25.99 years","316","0.70%","97.53%","8","0.24%","2.47%","324","0.67%"
"26 to 26.99 years","285","0.63%","97.94%","6","0.18%","2.06%","291","0.60%"
"27 to 27.99 years","258","0.57%","98.47%","4","0.12%","1.53%","262","0.54%"
"28 to 28.99 years","224","0.50%","97.82%","5","0.15%","2.18%","229","0.47%"
"29 to 29.99 years","192","0.42%","97.96%","4","0.12%","2.04%","196","0.40%"
"Thirty + years","1,385","3.07%","98.72%","18","0.54%","1.28%","1,403","2.89%"
"Total Reported","45,179","100%","93.12%","3,340","100%","6.88%","48,519","100%"
"Not Reported","44",,,"4",,,"48",
"Grand Total","45,223",,,"3,344",,,"48,567",
