"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","8,484","18.78%","89.97%","946","28.26%","10.03%","9,430","19.44%"
"1 to 1.99 years","5,927","13.12%","92.06%","511","15.27%","7.94%","6,438","13.27%"
"2 to 2.99 years","2,523","5.59%","91.78%","226","6.75%","8.22%","2,749","5.67%"
"3 to 3.99 years","3,835","8.49%","91.70%","347","10.37%","8.30%","4,182","8.62%"
"4 to 4.99 years","3,209","7.10%","92.08%","276","8.25%","7.92%","3,485","7.18%"
"5 to 5.99 years","2,710","6.00%","93.45%","190","5.68%","6.55%","2,900","5.98%"
"6 to 6.99 years","2,269","5.02%","94.27%","138","4.12%","5.73%","2,407","4.96%"
"7 to 7.99 years","1,893","4.19%","94.51%","110","3.29%","5.49%","2,003","4.13%"
"8 to 8.99 years","1,635","3.62%","94.62%","93","2.78%","5.38%","1,728","3.56%"
"9 to 9.99 years","1,367","3.03%","94.60%","78","2.33%","5.40%","1,445","2.98%"
"10 to 10.99 years","1,148","2.54%","94.64%","65","1.94%","5.36%","1,213","2.50%"
"11 to 11.99 years","1,052","2.33%","96.25%","41","1.22%","3.75%","1,093","2.25%"
"12 to 12.99 years","862","1.91%","95.57%","40","1.20%","4.43%","902","1.86%"
"13 to 13.99 years","771","1.71%","96.13%","31","0.93%","3.87%","802","1.65%"
"14 to 14.99 years","683","1.51%","96.06%","28","0.84%","3.94%","711","1.47%"
"15 to 15.99 years","693","1.53%","95.85%","30","0.90%","4.15%","723","1.49%"
"16 to 16.99 years","549","1.22%","95.98%","23","0.69%","4.02%","572","1.18%"
"17 to 17.99 years","478","1.06%","94.65%","27","0.81%","5.35%","505","1.04%"
"18 to 18.99 years","412","0.91%","94.93%","22","0.66%","5.07%","434","0.89%"
"19 to 19.99 years","442","0.98%","96.30%","17","0.51%","3.70%","459","0.95%"
"20 to 20.99 years","343","0.76%","94.49%","20","0.60%","5.51%","363","0.75%"
"21 to 21.99 years","344","0.76%","98.57%","5","0.15%","1.43%","349","0.72%"
"22 to 22.99 years","316","0.70%","96.64%","11","0.33%","3.36%","327","0.67%"
"23 to 23.99 years","291","0.64%","95.72%","13","0.39%","4.28%","304","0.63%"
"24 to 24.99 years","288","0.64%","95.05%","15","0.45%","4.95%","303","0.62%"
"25 to 25.99 years","311","0.69%","97.49%","8","0.24%","2.51%","319","0.66%"
"26 to 26.99 years","298","0.66%","98.03%","6","0.18%","1.97%","304","0.63%"
"27 to 27.99 years","251","0.56%","98.05%","5","0.15%","1.95%","256","0.53%"
"28 to 28.99 years","222","0.49%","98.23%","4","0.12%","1.77%","226","0.47%"
"29 to 29.99 years","193","0.43%","97.97%","4","0.12%","2.03%","197","0.41%"
"Thirty + years","1,372","3.04%","98.78%","17","0.51%","1.22%","1,389","2.86%"
"Total Reported","45,171","100%","93.10%","3,347","100%","6.90%","48,518","100.0%"
"Not Reported","14",,,"0",,,"14",
"Grand Total","45,185",,,"3,347",,,"48,532",
