"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Unknown","89",".50%","93.68%","6",".28%","6.32%","95",".48%"
"Appling","27",".15%","93.10%","2",".09%","6.90%","29",".15%"
"Atkinson","16",".09%","100.00%","","","","16",".08%"
"Bacon","22",".12%","91.67%","2",".09%","8.33%","24",".12%"
"Baker","7",".04%","100.00%","","","","7",".04%"
"Baldwin","130",".74%","90.91%","13",".60%","9.09%","143",".72%"
"Banks","14",".08%","100.00%","","","","14",".07%"
"Barrow","90",".51%","90.00%","10",".46%","10.00%","100",".51%"
"Bartow","267","1.51%","85.58%","45","2.08%","14.42%","312","1.58%"
"Ben Hill","81",".46%","92.05%","7",".32%","7.95%","88",".44%"
"Berrien","35",".20%","94.59%","2",".09%","5.41%","37",".19%"
"Bibb","294","1.67%","94.53%","17",".79%","5.47%","311","1.57%"
"Bleckley","19",".11%","90.48%","2",".09%","9.52%","21",".11%"
"Brantley","28",".16%","93.33%","2",".09%","6.67%","30",".15%"
"Brooks","22",".12%","91.67%","2",".09%","8.33%","24",".12%"
"Bryan","46",".26%","95.83%","2",".09%","4.17%","48",".24%"
"Bulloch","176","1.00%","90.72%","18",".83%","9.28%","194",".98%"
"Burke","75",".43%","97.40%","2",".09%","2.60%","77",".39%"
"Butts","56",".32%","93.33%","4",".18%","6.67%","60",".30%"
"Calhoun","5",".03%","62.50%","3",".14%","37.50%","8",".04%"
"Camden","44",".25%","86.27%","7",".32%","13.73%","51",".26%"
"Candler","31",".18%","91.18%","3",".14%","8.82%","34",".17%"
"Carroll","222","1.26%","87.40%","32","1.48%","12.60%","254","1.28%"
"Catoosa","118",".67%","86.13%","19",".88%","13.87%","137",".69%"
"Charlton","23",".13%","95.83%","1",".05%","4.17%","24",".12%"
"Chatham","761","4.31%","93.26%","55","2.54%","6.74%","816","4.12%"
"Chattahoochee","12",".07%","92.31%","1",".05%","7.69%","13",".07%"
"Chattooga","91",".52%","80.53%","22","1.02%","19.47%","113",".57%"
"Cherokee","205","1.16%","87.23%","30","1.39%","12.77%","235","1.19%"
"Clarke","159",".90%","94.64%","9",".42%","5.36%","168",".85%"
"Clay","18",".10%","100.00%","","","","18",".09%"
"Clayton","569","3.23%","86.87%","86","3.97%","13.13%","655","3.31%"
"Clinch","16",".09%","94.12%","1",".05%","5.88%","17",".09%"
