"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Appling","35",".20%","92.11%","3",".16%","7.89%","38",".20%"
"Atkinson","14",".08%","93.33%","1",".05%","6.67%","15",".08%"
"Bacon","15",".09%","78.95%","4",".22%","21.05%","19",".10%"
"Baker","2",".01%","100.00%","0","","","2",".01%"
"Baldwin","136",".78%","87.18%","20","1.08%","12.82%","156",".81%"
"Banks","13",".07%","86.67%","2",".11%","13.33%","15",".08%"
"Barrow","74",".43%","89.16%","9",".49%","10.84%","83",".43%"
"Bartow","265","1.52%","85.21%","46","2.49%","14.79%","311","1.62%"
"Ben Hill","92",".53%","89.32%","11",".60%","10.68%","103",".54%"
"Berrien","11",".06%","91.67%","1",".05%","8.33%","12",".06%"
"Bibb","197","1.13%","93.36%","14",".76%","6.64%","211","1.10%"
"Bleckley","31",".18%","83.78%","6",".33%","16.22%","37",".19%"
"Brantley","21",".12%","100.00%","0","","","21",".11%"
"Brooks","22",".13%","100.00%","0","","","22",".11%"
"Bryan","31",".18%","86.11%","5",".27%","13.89%","36",".19%"
"Bulloch","124",".71%","94.66%","7",".38%","5.34%","131",".68%"
"Burke","66",".38%","92.96%","5",".27%","7.04%","71",".37%"
"Butts","35",".20%","97.22%","1",".05%","2.78%","36",".19%"
"Calhoun","16",".09%","100.00%","0","","","16",".08%"
"Camden","43",".25%","97.73%","1",".05%","2.27%","44",".23%"
"Candler","25",".14%","96.15%","1",".05%","3.85%","26",".14%"
"Carroll","112",".64%","84.85%","20","1.08%","15.15%","132",".69%"
"Catoosa","90",".52%","90.91%","9",".49%","9.09%","99",".51%"
"Charlton","24",".14%","88.89%","3",".16%","11.11%","27",".14%"
"Chatham","966","5.55%","88.87%","121","6.56%","11.13%","1,087","5.65%"
"Chattahoochee","8",".05%","80.00%","2",".11%","20.00%","10",".05%"
"Chattooga","80",".46%","83.33%","16",".87%","16.67%","96",".50%"
"Cherokee","250","1.44%","89.93%","28","1.52%","10.07%","278","1.44%"
"Clarke","146",".84%","87.95%","20","1.08%","12.05%","166",".86%"
"Clay","6",".03%","100.00%","0","","","6",".03%"
"Clayton","735","4.22%","89.31%","88","4.77%","10.69%","823","4.28%"
"Clinch","20",".11%","95.24%","1",".05%","4.76%","21",".11%"
"Cobb","1,242","7.14%","90.26%","134","7.26%","9.74%","1,376","7.15%"
"Coffee","54",".31%","93.10%","4",".22%","6.90%","58",".30%"
"Colquitt","87",".50%","92.55%","7",".38%","7.45%","94",".49%"
"Columbia","101",".58%","92.66%","8",".43%","7.34%","109",".57%"
"Cook","46",".26%","97.87%","1",".05%","2.13%","47",".24%"
"Coweta","165",".95%","92.18%","14",".76%","7.82%","179",".93%"
"Crawford","2",".01%","100.00%","0","","","2",".01%"
"Crisp","105",".60%","92.11%","9",".49%","7.89%","114",".59%"
"Dade","47",".27%","83.93%","9",".49%","16.07%","56",".29%"
"Dawson","35",".20%","89.74%","4",".22%","10.26%","39",".20%"
"Decatur","82",".47%","88.17%","11",".60%","11.83%","93",".48%"
"Dekalb","1,005","5.78%","93.14%","74","4.01%","6.86%","1,079","5.61%"
"Dodge","60",".34%","92.31%","5",".27%","7.69%","65",".34%"
"Dooly","36",".21%","97.30%","1",".05%","2.70%","37",".19%"
"Dougherty","328","1.88%","92.92%","25","1.36%","7.08%","353","1.83%"
"Douglas","496","2.85%","85.37%","85","4.61%","14.63%","581","3.02%"
"Early","20",".11%","90.91%","2",".11%","9.09%","22",".11%"
"Echols","5",".03%","100.00%","0","","","5",".03%"
"Effingham","81",".47%","90.00%","9",".49%","10.00%","90",".47%"
"Elbert","50",".29%","84.75%","9",".49%","15.25%","59",".31%"
"Emanuel","62",".36%","95.38%","3",".16%","4.62%","65",".34%"
"Evans","25",".14%","96.15%","1",".05%","3.85%","26",".14%"
"Fannin","39",".22%","75.00%","13",".70%","25.00%","52",".27%"
"Fayette","133",".76%","86.93%","20","1.08%","13.07%","153",".79%"
"Floyd","325","1.87%","82.91%","67","3.63%","17.09%","392","2.04%"
"Forsyth","119",".68%","87.50%","17",".92%","12.50%","136",".71%"
"Franklin","37",".21%","90.24%","4",".22%","9.76%","41",".21%"
"Fulton","1,544","8.87%","94.43%","91","4.93%","5.57%","1,635","8.49%"
"Gilmer","52",".30%","81.25%","12",".65%","18.75%","64",".33%"
"Glascock","4",".02%","100.00%","0","","","4",".02%"
"Glynn","117",".67%","90.70%","12",".65%","9.30%","129",".67%"
"Gordon","82",".47%","75.23%","27","1.46%","24.77%","109",".57%"
"Grady","61",".35%","87.14%","9",".49%","12.86%","70",".36%"
"Greene","33",".19%","97.06%","1",".05%","2.94%","34",".18%"
"Gwinnett","651","3.74%","90.92%","65","3.52%","9.08%","716","3.72%"
"Habersham","54",".31%","85.71%","9",".49%","14.29%","63",".33%"
"Hall","292","1.68%","86.90%","44","2.38%","13.10%","336","1.75%"
"Hancock","18",".10%","100.00%","0","","","18",".09%"
"Haralson","19",".11%","86.36%","3",".16%","13.64%","22",".11%"
"Harris","44",".25%","97.78%","1",".05%","2.22%","45",".23%"
"Hart","33",".19%","91.67%","3",".16%","8.33%","36",".19%"
"Heard","22",".13%","84.62%","4",".22%","15.38%","26",".14%"
"Henry","191","1.10%","87.21%","28","1.52%","12.79%","219","1.14%"
"Houston","229","1.32%","91.97%","20","1.08%","8.03%","249","1.29%"
"Irwin","18",".10%","90.00%","2",".11%","10.00%","20",".10%"
"Jackson","69",".40%","95.83%","3",".16%","4.17%","72",".37%"
"Jasper","20",".11%","100.00%","0","","","20",".10%"
"Jeff Davis","26",".15%","92.86%","2",".11%","7.14%","28",".15%"
"Jefferson","33",".19%","100.00%","0","","","33",".17%"
"Jenkins","14",".08%","93.33%","1",".05%","6.67%","15",".08%"
"Johnson","28",".16%","96.55%","1",".05%","3.45%","29",".15%"
"Jones","63",".36%","88.73%","8",".43%","11.27%","71",".37%"
"Lamar","23",".13%","100.00%","0","","","23",".12%"
"Lanier","20",".11%","95.24%","1",".05%","4.76%","21",".11%"
"Laurens","101",".58%","90.18%","11",".60%","9.82%","112",".58%"
"Lee","25",".14%","96.15%","1",".05%","3.85%","26",".14%"
"Liberty","65",".37%","91.55%","6",".33%","8.45%","71",".37%"
"Lincoln","17",".10%","94.44%","1",".05%","5.56%","18",".09%"
"Long","30",".17%","93.75%","2",".11%","6.25%","32",".17%"
"Lowndes","156",".90%","91.23%","15",".81%","8.77%","171",".89%"
"Lumpkin","30",".17%","78.95%","8",".43%","21.05%","38",".20%"
"Macon","25",".14%","89.29%","3",".16%","10.71%","28",".15%"
"Madison","61",".35%","95.31%","3",".16%","4.69%","64",".33%"
"Marion","16",".09%","100.00%","0","","","16",".08%"
"Mcduffie","83",".48%","94.32%","5",".27%","5.68%","88",".46%"
