"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Unknown","43",".28%","89.58%","5",".26%","10.42%","48",".28%"
"Appling","26",".17%","92.86%","2",".10%","7.14%","28",".16%"
"Atkinson","14",".09%","93.33%","1",".05%","6.67%","15",".09%"
"Bacon","25",".16%","86.21%","4",".21%","13.79%","29",".17%"
"Baker","2",".01%","100.00%","","","","2",".01%"
"Baldwin","86",".56%","95.56%","4",".21%","4.44%","90",".52%"
"Banks","14",".09%","87.50%","2",".10%","12.50%","16",".09%"
"Barrow","88",".57%","79.28%","23","1.18%","20.72%","111",".64%"
"Bartow","230","1.50%","83.64%","45","2.32%","16.36%","275","1.59%"
"Ben Hill","59",".38%","83.10%","12",".62%","16.90%","71",".41%"
"Berrien","30",".20%","93.75%","2",".10%","6.25%","32",".19%"
"Bibb","267","1.74%","89.60%","31","1.60%","10.40%","298","1.73%"
"Bleckley","22",".14%","88.00%","3",".15%","12.00%","25",".14%"
"Brantley","30",".20%","90.91%","3",".15%","9.09%","33",".19%"
"Brooks","19",".12%","95.00%","1",".05%","5.00%","20",".12%"
"Bryan","28",".18%","93.33%","2",".10%","6.67%","30",".17%"
"Bulloch","159","1.04%","91.91%","14",".72%","8.09%","173","1.00%"
"Burke","52",".34%","91.23%","5",".26%","8.77%","57",".33%"
"Butts","38",".25%","95.00%","2",".10%","5.00%","40",".23%"
"Calhoun","5",".03%","100.00%","","","","5",".03%"
"Camden","49",".32%","94.23%","3",".15%","5.77%","52",".30%"
"Candler","29",".19%","87.88%","4",".21%","12.12%","33",".19%"
"Carroll","213","1.39%","91.03%","21","1.08%","8.97%","234","1.36%"
"Catoosa","118",".77%","81.38%","27","1.39%","18.62%","145",".84%"
"Charlton","25",".16%","96.15%","1",".05%","3.85%","26",".15%"
"Chatham","623","4.06%","94.11%","39","2.01%","5.89%","662","3.83%"
"Chattahoochee","8",".05%","80.00%","2",".10%","20.00%","10",".06%"
"Chattooga","92",".60%","82.14%","20","1.03%","17.86%","112",".65%"
"Cherokee","187","1.22%","82.74%","39","2.01%","17.26%","226","1.31%"
"Clarke","188","1.23%","90.82%","19",".98%","9.18%","207","1.20%"
"Clay","6",".04%","85.71%","1",".05%","14.29%","7",".04%"
"Clayton","448","2.92%","92.37%","37","1.91%","7.63%","485","2.81%"
"Clinch","10",".07%","90.91%","1",".05%","9.09%","11",".06%"
"Cobb","938","6.12%","85.98%","153","7.88%","14.02%","1,091","6.32%"
"Coffee","79",".52%","90.80%","8",".41%","9.20%","87",".50%"
"Colquitt","52",".34%","89.66%","6",".31%","10.34%","58",".34%"
"Columbia","146",".95%","86.39%","23","1.18%","13.61%","169",".98%"
"Cook","39",".25%","97.50%","1",".05%","2.50%","40",".23%"
"Coweta","188","1.23%","90.38%","20","1.03%","9.62%","208","1.20%"
"Crawford","7",".05%","77.78%","2",".10%","22.22%","9",".05%"
"Crisp","73",".48%","87.95%","10",".51%","12.05%","83",".48%"
"Dade","37",".24%","82.22%","8",".41%","17.78%","45",".26%"
"Dawson","52",".34%","89.66%","6",".31%","10.34%","58",".34%"
"Decatur","61",".40%","91.04%","6",".31%","8.96%","67",".39%"
"Dekalb","730","4.76%","91.82%","65","3.35%","8.18%","795","4.60%"
