"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Unknown","27","0.22%","87.1%","4","0.21%","12.9%","31","0.22%"
"Appling","26","0.22%","86.67%","4","0.21%","13.33%","30","0.22%"
"Atkinson","8","0.07%","80.0%","2","0.11%","20.0%","10","0.07%"
"Bacon","17","0.14%","85.0%","3","0.16%","15.0%","20","0.14%"
"Baker","1","0.01%","33.33%","2","0.11%","66.67%","3","0.02%"
"Baldwin","70","0.58%","85.37%","12","0.64%","14.63%","82","0.59%"
"Banks","31","0.26%","73.81%","11","0.59%","26.19%","42","0.3%"
"Barrow","109","0.9%","81.34%","25","1.34%","18.66%","134","0.96%"
"Bartow","108","0.89%","83.08%","22","1.18%","16.92%","130","0.93%"
"Ben Hill","36","0.3%","87.8%","5","0.27%","12.2%","41","0.29%"
"Berrien","41","0.34%","82.0%","9","0.48%","18.0%","50","0.36%"
"Bibb","166","1.37%","93.26%","12","0.64%","6.74%","178","1.28%"
"Bleckley","16","0.13%","84.21%","3","0.16%","15.79%","19","0.14%"
"Brantley","27","0.22%","90.0%","3","0.16%","10.0%","30","0.22%"
"Brooks","16","0.13%","88.89%","2","0.11%","11.11%","18","0.13%"
"Bryan","45","0.37%","86.54%","7","0.37%","13.46%","52","0.37%"
"Bulloch","140","1.16%","91.5%","13","0.69%","8.5%","153","1.1%"
"Burke","30","0.25%","88.24%","4","0.21%","11.76%","34","0.24%"
"Butts","30","0.25%","85.71%","5","0.27%","14.29%","35","0.25%"
"Calhoun","9","0.07%","100.0%","","","","9","0.06%"
"Camden","34","0.28%","85.0%","6","0.32%","15.0%","40","0.29%"
"Candler","22","0.18%","81.48%","5","0.27%","18.52%","27","0.19%"
"Carroll","145","1.2%","86.31%","23","1.23%","13.69%","168","1.2%"
"Catoosa","129","1.07%","75.44%","42","2.24%","24.56%","171","1.23%"
"Charlton","18","0.15%","81.82%","4","0.21%","18.18%","22","0.16%"
"Chatham","277","2.29%","90.52%","29","1.55%","9.48%","306","2.19%"
"Chattahoochee","6","0.05%","100.0%","","","","6","0.04%"
"Chattooga","48","0.4%","84.21%","9","0.48%","15.79%","57","0.41%"
"Cherokee","140","1.16%","80.46%","34","1.82%","19.54%","174","1.25%"
"Clarke","118","0.98%","88.06%","16","0.85%","11.94%","134","0.96%"
"Clay","2","0.02%","100.0%","","","","2","0.01%"
"Clayton","225","1.86%","87.55%","32","1.71%","12.45%","257","1.84%"
"Clinch","8","0.07%","88.89%","1","0.05%","11.11%","9","0.06%"
"Cobb","682","5.65%","91.3%","65","3.47%","8.7%","747","5.36%"
"Coffee","53","0.44%","79.1%","14","0.75%","20.9%","67","0.48%"
"Colquitt","43","0.36%","95.56%","2","0.11%","4.44%","45","0.32%"
"Columbia","178","1.47%","82.03%","39","2.08%","17.97%","217","1.56%"
"Cook","29","0.24%","80.56%","7","0.37%","19.44%","36","0.26%"
"Coweta","293","2.43%","90.99%","29","1.55%","9.01%","322","2.31%"
"Crawford","7","0.06%","87.5%","1","0.05%","12.5%","8","0.06%"
"Crisp","83","0.69%","82.18%","18","0.96%","17.82%","101","0.72%"
"Dade","29","0.24%","87.88%","4","0.21%","12.12%","33","0.24%"
"Dawson","46","0.38%","71.88%","18","0.96%","28.13%","64","0.46%"
"Decatur","68","0.56%","78.16%","19","1.01%","21.84%","87","0.62%"
"Dekalb","530","4.39%","91.7%","48","2.56%","8.3%","578","4.14%"
"Dodge","36","0.3%","90.0%","4","0.21%","10.0%","40","0.29%"
"Dooly","19","0.16%","82.61%","4","0.21%","17.39%","23","0.16%"
"Dougherty","156","1.29%","93.41%","11","0.59%","6.59%","167","1.2%"
"Douglas","202","1.67%","83.47%","40","2.14%","16.53%","242","1.74%"
"Early","11","0.09%","84.62%","2","0.11%","15.38%","13","0.09%"
"Echols","3","0.02%","75.0%","1","0.05%","25.0%","4","0.03%"
"Effingham","95","0.79%","84.07%","18","0.96%","15.93%","113","0.81%"
"Elbert","41","0.34%","89.13%","5","0.27%","10.87%","46","0.33%"
"Emanuel","46","0.38%","90.2%","5","0.27%","9.8%","51","0.37%"
"Evans","19","0.16%","86.36%","3","0.16%","13.64%","22","0.16%"
"Fannin","25","0.21%","83.33%","5","0.27%","16.67%","30","0.22%"
"Fayette","128","1.06%","85.33%","22","1.18%","14.67%","150","1.08%"
"Floyd","274","2.27%","86.71%","42","2.24%","13.29%","316","2.27%"
"Forsyth","123","1.02%","83.67%","24","1.28%","16.33%","147","1.05%"
"Franklin","47","0.39%","85.45%","8","0.43%","14.55%","55","0.39%"
"Fulton","1,079","8.94%","93.02%","81","4.33%","6.98%","1,160","8.32%"
"Gilmer","32","0.27%","88.89%","4","0.21%","11.11%","36","0.26%"
"Glynn","122","1.01%","89.05%","15","0.8%","10.95%","137","0.98%"
"Gordon","83","0.69%","76.15%","26","1.39%","23.85%","109","0.78%"
"Grady","41","0.34%","83.67%","8","0.43%","16.33%","49","0.35%"
"Greene","27","0.22%","81.82%","6","0.32%","18.18%","33","0.24%"
"Gwinnett","641","5.31%","86.16%","103","5.5%","13.84%","744","5.33%"
"Habersham","35","0.29%","81.4%","8","0.43%","18.6%","43","0.31%"
"Hall","139","1.15%","84.76%","25","1.34%","15.24%","164","1.18%"
"Hancock","9","0.07%","75.0%","3","0.16%","25.0%","12","0.09%"
"Haralson","48","0.4%","81.36%","11","0.59%","18.64%","59","0.42%"
"Harris","27","0.22%","87.1%","4","0.21%","12.9%","31","0.22%"
"Hart","27","0.22%","84.38%","5","0.27%","15.63%","32","0.23%"
"Heard","18","0.15%","94.74%","1","0.05%","5.26%","19","0.14%"
"Henry","173","1.43%","77.93%","49","2.62%","22.07%","222","1.59%"
"Houston","282","2.34%","86.24%","45","2.4%","13.76%","327","2.34%"
"Irwin","10","0.08%","76.92%","3","0.16%","23.08%","13","0.09%"
"Jackson","93","0.77%","86.11%","15","0.8%","13.89%","108","0.77%"
"Jasper","25","0.21%","96.15%","1","0.05%","3.85%","26","0.19%"
"Jeff Davis","19","0.16%","100.0%","","","","19","0.14%"
"Jefferson","19","0.16%","86.36%","3","0.16%","13.64%","22","0.16%"
"Jenkins","16","0.13%","88.89%","2","0.11%","11.11%","18","0.13%"
"Johnson","6","0.05%","66.67%","3","0.16%","33.33%","9","0.06%"
"Jones","30","0.25%","85.71%","5","0.27%","14.29%","35","0.25%"
"Lamar","32","0.27%","88.89%","4","0.21%","11.11%","36","0.26%"
"Lanier","18","0.15%","85.71%","3","0.16%","14.29%","21","0.15%"
"Laurens","85","0.7%","92.39%","7","0.37%","7.61%","92","0.66%"
"Lee","16","0.13%","84.21%","3","0.16%","15.79%","19","0.14%"
"Liberty","67","0.55%","84.81%","12","0.64%","15.19%","79","0.57%"
