"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Unknown","34",".25%","89.47%","4",".23%","10.53%","38",".25%"
"Appling","30",".22%","88.24%","4",".23%","11.76%","34",".22%"
"Atkinson","14",".10%","100.00%","","","","14",".09%"
"Bacon","28",".21%","93.33%","2",".11%","6.67%","30",".20%"
"Baker","2",".01%","66.67%","1",".06%","33.33%","3",".02%"
"Baldwin","106",".79%","90.60%","11",".63%","9.40%","117",".77%"
"Banks","19",".14%","86.36%","3",".17%","13.64%","22",".14%"
"Barrow","113",".84%","79.02%","30","1.71%","20.98%","143",".94%"
"Bartow","205","1.52%","84.71%","37","2.11%","15.29%","242","1.59%"
"Ben Hill","77",".57%","95.06%","4",".23%","4.94%","81",".53%"
"Berrien","30",".22%","88.24%","4",".23%","11.76%","34",".22%"
"Bibb","210","1.56%","94.59%","12",".68%","5.41%","222","1.46%"
"Bleckley","22",".16%","88.00%","3",".17%","12.00%","25",".16%"
"Brantley","27",".20%","81.82%","6",".34%","18.18%","33",".22%"
"Brooks","19",".14%","100.00%","","","","19",".12%"
"Bryan","34",".25%","91.89%","3",".17%","8.11%","37",".24%"
"Bulloch","174","1.29%","87.44%","25","1.43%","12.56%","199","1.31%"
"Burke","41",".30%","93.18%","3",".17%","6.82%","44",".29%"
"Butts","48",".36%","88.89%","6",".34%","11.11%","54",".35%"
"Calhoun","5",".04%","83.33%","1",".06%","16.67%","6",".04%"
"Camden","47",".35%","88.68%","6",".34%","11.32%","53",".35%"
"Candler","21",".16%","95.45%","1",".06%","4.55%","22",".14%"
"Carroll","212","1.57%","87.60%","30","1.71%","12.40%","242","1.59%"
"Catoosa","145","1.08%","79.23%","38","2.17%","20.77%","183","1.20%"
"Charlton","21",".16%","84.00%","4",".23%","16.00%","25",".16%"
"Chatham","309","2.29%","91.96%","27","1.54%","8.04%","336","2.21%"
"Chattahoochee","5",".04%","83.33%","1",".06%","16.67%","6",".04%"
"Chattooga","57",".42%","93.44%","4",".23%","6.56%","61",".40%"
"Cherokee","165","1.23%","92.70%","13",".74%","7.30%","178","1.17%"
"Clarke","142","1.05%","91.61%","13",".74%","8.39%","155","1.02%"
"Clay","4",".03%","100.00%","","","","4",".03%"
"Clayton","190","1.41%","88.79%","24","1.37%","11.21%","214","1.41%"
"Clinch","16",".12%","88.89%","2",".11%","11.11%","18",".12%"
"Cobb","652","4.84%","90.06%","72","4.10%","9.94%","724","4.76%"
"Coffee","113",".84%","92.62%","9",".51%","7.38%","122",".80%"
"Colquitt","33",".25%","84.62%","6",".34%","15.38%","39",".26%"
"Columbia","160","1.19%","83.77%","31","1.77%","16.23%","191","1.25%"
"Cook","36",".27%","92.31%","3",".17%","7.69%","39",".26%"
"Coweta","189","1.40%","90.43%","20","1.14%","9.57%","209","1.37%"
"Crawford","7",".05%","87.50%","1",".06%","12.50%","8",".05%"
"Crisp","94",".70%","89.52%","11",".63%","10.48%","105",".69%"
"Dade","26",".19%","78.79%","7",".40%","21.21%","33",".22%"
"Dawson","78",".58%","81.25%","18","1.03%","18.75%","96",".63%"
"Decatur","86",".64%","86.87%","13",".74%","13.13%","99",".65%"
"Dekalb","362","2.69%","94.27%","22","1.25%","5.73%","384","2.52%"
"Dodge","59",".44%","86.76%","9",".51%","13.24%","68",".45%"
"Dooly","31",".23%","86.11%","5",".29%","13.89%","36",".24%"
"Dougherty","171","1.27%","92.93%","13",".74%","7.07%","184","1.21%"
"Douglas","286","2.12%","87.73%","40","2.28%","12.27%","326","2.14%"
"Early","22",".16%","91.67%","2",".11%","8.33%","24",".16%"
"Echols","2",".01%","40.00%","3",".17%","60.00%","5",".03%"
"Effingham","158","1.17%","85.87%","26","1.48%","14.13%","184","1.21%"
"Elbert","42",".31%","89.36%","5",".29%","10.64%","47",".31%"
"Emanuel","45",".33%","86.54%","7",".40%","13.46%","52",".34%"
"Evans","27",".20%","90.00%","3",".17%","10.00%","30",".20%"
"Fannin","21",".16%","87.50%","3",".17%","12.50%","24",".16%"
"Fayette","140","1.04%","85.37%","24","1.37%","14.63%","164","1.08%"
"Floyd","250","1.86%","85.32%","43","2.45%","14.68%","293","1.93%"
"Forsyth","130",".97%","85.53%","22","1.25%","14.47%","152","1.00%"
"Franklin","58",".43%","84.06%","11",".63%","15.94%","69",".45%"
"Fulton","861","6.39%","94.82%","47","2.68%","5.18%","908","5.97%"
"Gilmer","22",".16%","78.57%","6",".34%","21.43%","28",".18%"
"Glascock","4",".03%","100.00%","","","","4",".03%"
"Glynn","181","1.34%","88.73%","23","1.31%","11.27%","204","1.34%"
"Gordon","163","1.21%","79.51%","42","2.39%","20.49%","205","1.35%"
"Grady","47",".35%","87.04%","7",".40%","12.96%","54",".35%"
"Greene","31",".23%","70.45%","13",".74%","29.55%","44",".29%"
"Gwinnett","662","4.92%","87.92%","91","5.19%","12.08%","753","4.95%"
"Habersham","40",".30%","90.91%","4",".23%","9.09%","44",".29%"
"Hall","131",".97%","91.61%","12",".68%","8.39%","143",".94%"
"Hancock","8",".06%","80.00%","2",".11%","20.00%","10",".07%"
"Haralson","82",".61%","80.39%","20","1.14%","19.61%","102",".67%"
"Harris","26",".19%","86.67%","4",".23%","13.33%","30",".20%"
"Hart","44",".33%","91.67%","4",".23%","8.33%","48",".32%"
"Heard","21",".16%","95.45%","1",".06%","4.55%","22",".14%"
"Henry","338","2.51%","89.66%","39","2.22%","10.34%","377","2.48%"
"Houston","224","1.66%","90.69%","23","1.31%","9.31%","247","1.62%"
"Irwin","21",".16%","95.45%","1",".06%","4.55%","22",".14%"
"Jackson","79",".59%","87.78%","11",".63%","12.22%","90",".59%"
"Jasper","14",".10%","100.00%","","","","14",".09%"
"Jeff Davis","29",".22%","90.63%","3",".17%","9.38%","32",".21%"
"Jefferson","35",".26%","87.50%","5",".29%","12.50%","40",".26%"
"Jenkins","16",".12%","88.89%","2",".11%","11.11%","18",".12%"
"Johnson","4",".03%","100.00%","","","","4",".03%"
"Jones","53",".39%","91.38%","5",".29%","8.62%","58",".38%"
"Lamar","29",".22%","85.29%","5",".29%","14.71%","34",".22%"
"Lanier","18",".13%","81.82%","4",".23%","18.18%","22",".14%"
"Laurens","63",".47%","84.00%","12",".68%","16.00%","75",".49%"
"Lee","24",".18%","96.00%","1",".06%","4.00%","25",".16%"
"Liberty","69",".51%","90.79%","7",".40%","9.21%","76",".50%"
"Lincoln","17",".13%","100.00%","","","","17",".11%"
"Long","19",".14%","86.36%","3",".17%","13.64%","22",".14%"
"Lowndes","113",".84%","91.87%","10",".57%","8.13%","123",".81%"
"Lumpkin","21",".16%","84.00%","4",".23%","16.00%","25",".16%"
"Macon","5",".04%","100.00%","","","","5",".03%"
"Madison","35",".26%","81.40%","8",".46%","18.60%","43",".28%"
"Marion","5",".04%","83.33%","1",".06%","16.67%","6",".04%"
"Mcduffie","47",".35%","97.92%","1",".06%","2.08%","48",".32%"
"Mcintosh","35",".26%","92.11%","3",".17%","7.89%","38",".25%"
"Meriwether","46",".34%","97.87%","1",".06%","2.13%","47",".31%"
"Miller","9",".07%","100.00%","","","","9",".06%"
"Mitchell","37",".27%","92.50%","3",".17%","7.50%","40",".26%"
"Monroe","81",".60%","87.10%","12",".68%","12.90%","93",".61%"
"Montgomery","11",".08%","73.33%","4",".23%","26.67%","15",".10%"
"Morgan","34",".25%","87.18%","5",".29%","12.82%","39",".26%"
"Murray","123",".91%","79.87%","31","1.77%","20.13%","154","1.01%"
"Muscogee","318","2.36%","89.58%","37","2.11%","10.42%","355","2.33%"
"Newton","274","2.03%","91.95%","24","1.37%","8.05%","298","1.96%"
"Oconee","14",".10%","93.33%","1",".06%","6.67%","15",".10%"
"Oglethorpe","9",".07%","69.23%","4",".23%","30.77%","13",".09%"
"Paulding","75",".56%","86.21%","12",".68%","13.79%","87",".57%"
"Peach","24",".18%","100.00%","","","","24",".16%"
"Pickens","29",".22%","80.56%","7",".40%","19.44%","36",".24%"
"Pierce","43",".32%","89.58%","5",".29%","10.42%","48",".32%"
"Pike","10",".07%","90.91%","1",".06%","9.09%","11",".07%"
"Polk","72",".53%","88.89%","9",".51%","11.11%","81",".53%"
"Pulaski","16",".12%","94.12%","1",".06%","5.88%","17",".11%"
"Putnam","39",".29%","90.70%","4",".23%","9.30%","43",".28%"
"Quitman","1",".01%","100.00%","","","","1",".01%"
"Rabun","8",".06%","72.73%","3",".17%","27.27%","11",".07%"
"Randolph","6",".04%","100.00%","","","","6",".04%"
"Richmond","373","2.77%","89.23%","45","2.57%","10.77%","418","2.75%"
"Rockdale","157","1.17%","88.70%","20","1.14%","11.30%","177","1.16%"
"Schley","10",".07%","90.91%","1",".06%","9.09%","11",".07%"
"Screven","29",".22%","93.55%","2",".11%","6.45%","31",".20%"
"Seminole","16",".12%","88.89%","2",".11%","11.11%","18",".12%"
"Spalding","180","1.34%","87.38%","26","1.48%","12.62%","206","1.35%"
"Stephens","31",".23%","93.94%","2",".11%","6.06%","33",".22%"
"Stewart","6",".04%","100.00%","","","","6",".04%"
"Sumter","54",".40%","90.00%","6",".34%","10.00%","60",".39%"
"Talbot","3",".02%","100.00%","","","","3",".02%"
"Taliaferro","9",".07%","100.00%","","","","9",".06%"
"Tattnall","70",".52%","82.35%","15",".86%","17.65%","85",".56%"
"Taylor","13",".10%","92.86%","1",".06%","7.14%","14",".09%"
"Telfair","31",".23%","83.78%","6",".34%","16.22%","37",".24%"
"Terrell","10",".07%","90.91%","1",".06%","9.09%","11",".07%"
"Thomas","60",".45%","96.77%","2",".11%","3.23%","62",".41%"
"Tift","83",".62%","89.25%","10",".57%","10.75%","93",".61%"
"Toombs","67",".50%","93.06%","5",".29%","6.94%","72",".47%"
"Towns","27",".20%","72.97%","10",".57%","27.03%","37",".24%"
"Treutlen","15",".11%","78.95%","4",".23%","21.05%","19",".12%"
"Troup","187","1.39%","89.90%","21","1.20%","10.10%","208","1.37%"
"Turner","22",".16%","91.67%","2",".11%","8.33%","24",".16%"
"Twiggs","9",".07%","90.00%","1",".06%","10.00%","10",".07%"
"Union","25",".19%","78.13%","7",".40%","21.88%","32",".21%"
"Upson","67",".50%","88.16%","9",".51%","11.84%","76",".50%"
