"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Unknown","27","0.22%","77.14%","8","0.5%","22.86%","35","0.26%"
"Appling","36","0.3%","85.71%","6","0.37%","14.29%","42","0.31%"
"Atkinson","13","0.11%","92.86%","1","0.06%","7.14%","14","0.1%"
"Bacon","24","0.2%","82.76%","5","0.31%","17.24%","29","0.21%"
"Baker","6","0.05%","100.0%","","","","6","0.04%"
"Baldwin","71","0.59%","85.54%","12","0.75%","14.46%","83","0.6%"
"Banks","17","0.14%","68.0%","8","0.5%","32.0%","25","0.18%"
"Barrow","142","1.17%","88.75%","18","1.12%","11.25%","160","1.17%"
"Bartow","161","1.33%","83.42%","32","1.99%","16.58%","193","1.41%"
"Ben Hill","58","0.48%","92.06%","5","0.31%","7.94%","63","0.46%"
"Berrien","38","0.31%","95.0%","2","0.12%","5.0%","40","0.29%"
"Bibb","182","1.5%","95.29%","9","0.56%","4.71%","191","1.39%"
"Bleckley","16","0.13%","88.89%","2","0.12%","11.11%","18","0.13%"
"Brantley","27","0.22%","87.1%","4","0.25%","12.9%","31","0.23%"
"Brooks","6","0.05%","100.0%","","","","6","0.04%"
"Bryan","24","0.2%","88.89%","3","0.19%","11.11%","27","0.2%"
"Bulloch","151","1.25%","88.3%","20","1.25%","11.7%","171","1.25%"
"Burke","37","0.31%","94.87%","2","0.12%","5.13%","39","0.28%"
"Butts","36","0.3%","90.0%","4","0.25%","10.0%","40","0.29%"
"Calhoun","2","0.02%","100.0%","","","","2","0.01%"
"Camden","42","0.35%","89.36%","5","0.31%","10.64%","47","0.34%"
"Candler","20","0.17%","86.96%","3","0.19%","13.04%","23","0.17%"
"Carroll","170","1.4%","84.58%","31","1.93%","15.42%","201","1.46%"
"Catoosa","115","0.95%","79.31%","30","1.87%","20.69%","145","1.06%"
"Charlton","17","0.14%","89.47%","2","0.12%","10.53%","19","0.14%"
"Chatham","296","2.44%","92.5%","24","1.49%","7.5%","320","2.33%"
