"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Laurens County","126",".75%","90.65%","13",".58%","9.35%","139",".73%"
"Lee County","18",".11%","81.82%","4",".18%","18.18%","22",".12%"
"Liberty County","66",".39%","90.41%","7",".31%","9.59%","73",".38%"
"Lincoln County","14",".08%","100.00%","","","","14",".07%"
"Long County","15",".09%","88.24%","2",".09%","11.76%","17",".09%"
"Lowndes County","115",".69%","90.55%","12",".54%","9.45%","127",".67%"
"Lumpkin County","45",".27%","88.24%","6",".27%","11.76%","51",".27%"
"Macon County","9",".05%","90.00%","1",".04%","10.00%","10",".05%"
"Madison County","45",".27%","81.82%","10",".45%","18.18%","55",".29%"
"Marion County","13",".08%","100.00%","","","","13",".07%"
"Mcduffie County","38",".23%","97.44%","1",".04%","2.56%","39",".21%"
"Mcintosh County","26",".16%","76.47%","8",".36%","23.53%","34",".18%"
"Meriwether County","62",".37%","89.86%","7",".31%","10.14%","69",".36%"
"Miller County","12",".07%","100.00%","","","","12",".06%"
"Mitchell County","32",".19%","96.97%","1",".04%","3.03%","33",".17%"
"Monroe County","62",".37%","91.18%","6",".27%","8.82%","68",".36%"
"Montgomery County","13",".08%","92.86%","1",".04%","7.14%","14",".07%"
"Morgan County","48",".29%","90.57%","5",".22%","9.43%","53",".28%"
"Murray County","146",".87%","78.92%","39","1.75%","21.08%","185",".98%"
"Muscogee County","428","2.56%","90.11%","47","2.10%","9.89%","475","2.50%"
"Newton County","280","1.67%","87.50%","40","1.79%","12.50%","320","1.69%"
"Oconee County","14",".08%","93.33%","1",".04%","6.67%","15",".08%"
"Oglethorpe County","24",".14%","96.00%","1",".04%","4.00%","25",".13%"
"Paulding County","78",".47%","92.86%","6",".27%","7.14%","84",".44%"
"Peach County","32",".19%","96.97%","1",".04%","3.03%","33",".17%"
"Pickens County","32",".19%","86.49%","5",".22%","13.51%","37",".20%"
"Pierce County","46",".27%","86.79%","7",".31%","13.21%","53",".28%"
"Pike County","13",".08%","100.00%","","","","13",".07%"
"Polk County","58",".35%","81.69%","13",".58%","18.31%","71",".37%"
"Pulaski County","14",".08%","100.00%","","","","14",".07%"
"Putnam County","54",".32%","90.00%","6",".27%","10.00%","60",".32%"
"Quitman County","6",".04%","85.71%","1",".04%","14.29%","7",".04%"
"Rabun County","32",".19%","96.97%","1",".04%","3.03%","33",".17%"
