"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Appling","33",".17%","91.67%","3",".11%","8.33%","36",".17%"
"Atkinson","7",".04%","87.50%","1",".04%","12.50%","8",".04%"
"Bacon","26",".14%","100.00%","","","","26",".12%"
"Baker","5",".03%","100.00%","","","","5",".02%"
"Baldwin","137",".73%","89.54%","16",".61%","10.46%","153",".71%"
"Banks","18",".10%","81.82%","4",".15%","18.18%","22",".10%"
"Barrow","94",".50%","92.16%","8",".31%","7.84%","102",".47%"
"Bartow","257","1.36%","81.07%","60","2.30%","18.93%","317","1.47%"
"Ben Hill","87",".46%","92.55%","7",".27%","7.45%","94",".44%"
"Berrien","22",".12%","75.86%","7",".27%","24.14%","29",".13%"
"Bibb","240","1.27%","90.57%","25",".96%","9.43%","265","1.23%"
"Bleckley","32",".17%","84.21%","6",".23%","15.79%","38",".18%"
"Brantley","20",".11%","100.00%","","","","20",".09%"
"Brooks","18",".10%","100.00%","","","","18",".08%"
"Bryan","32",".17%","82.05%","7",".27%","17.95%","39",".18%"
"Bulloch","169",".90%","89.42%","20",".77%","10.58%","189",".88%"
"Burke","64",".34%","87.67%","9",".34%","12.33%","73",".34%"
"Butts","61",".32%","92.42%","5",".19%","7.58%","66",".31%"
"Calhoun","16",".08%","94.12%","1",".04%","5.88%","17",".08%"
"Camden","32",".17%","88.89%","4",".15%","11.11%","36",".17%"
"Candler","37",".20%","92.50%","3",".11%","7.50%","40",".19%"
"Carroll","252","1.33%","86.90%","38","1.45%","13.10%","290","1.35%"
"Catoosa","98",".52%","87.50%","14",".54%","12.50%","112",".52%"
"Charlton","20",".11%","95.24%","1",".04%","4.76%","21",".10%"
"Chatham","955","5.06%","90.44%","101","3.87%","9.56%","1,056","4.91%"
"Chattahoochee","4",".02%","100.00%","","","","4",".02%"
"Chattooga","94",".50%","81.03%","22",".84%","18.97%","116",".54%"
"Cherokee","264","1.40%","89.49%","31","1.19%","10.51%","295","1.37%"
"Clarke","184",".97%","94.36%","11",".42%","5.64%","195",".91%"
"Clay","13",".07%","100.00%","","","","13",".06%"
"Clayton","744","3.94%","85.81%","123","4.71%","14.19%","867","4.03%"
"Clinch","11",".06%","84.62%","2",".08%","15.38%","13",".06%"
"Cobb","1,250","6.62%","83.72%","243","9.30%","16.28%","1,493","6.95%"
"Coffee","82",".43%","91.11%","8",".31%","8.89%","90",".42%"
"Colquitt","99",".52%","93.40%","7",".27%","6.60%","106",".49%"
"Columbia","96",".51%","93.20%","7",".27%","6.80%","103",".48%"
"Cook","29",".15%","80.56%","7",".27%","19.44%","36",".17%"
"Coweta","202","1.07%","87.83%","28","1.07%","12.17%","230","1.07%"
"Crawford","3",".02%","60.00%","2",".08%","40.00%","5",".02%"
"Crisp","91",".48%","82.73%","19",".73%","17.27%","110",".51%"
"Dade","53",".28%","82.81%","11",".42%","17.19%","64",".30%"
"Dawson","54",".29%","83.08%","11",".42%","16.92%","65",".30%"
"Decatur","89",".47%","88.12%","12",".46%","11.88%","101",".47%"
"Dekalb","1,040","5.51%","89.19%","126","4.82%","10.81%","1,166","5.43%"
"Dodge","65",".34%","94.20%","4",".15%","5.80%","69",".32%"
"Dooly","38",".20%","95.00%","2",".08%","5.00%","40",".19%"
"Dougherty","330","1.75%","89.43%","39","1.49%","10.57%","369","1.72%"
"Douglas","515","2.73%","83.33%","103","3.94%","16.67%","618","2.88%"
"Early","29",".15%","100.00%","","","","29",".13%"
"Echols","2",".01%","100.00%","","","","2",".01%"
"Effingham","52",".28%","80.00%","13",".50%","20.00%","65",".30%"
"Elbert","63",".33%","88.73%","8",".31%","11.27%","71",".33%"
"Emanuel","41",".22%","89.13%","5",".19%","10.87%","46",".21%"
"Evans","33",".17%","86.84%","5",".19%","13.16%","38",".18%"
"Fannin","57",".30%","95.00%","3",".11%","5.00%","60",".28%"
"Fayette","121",".64%","80.67%","29","1.11%","19.33%","150",".70%"
"Floyd","436","2.31%","86.00%","71","2.72%","14.00%","507","2.36%"
"Forsyth","140",".74%","84.34%","26","1.00%","15.66%","166",".77%"
"Franklin","55",".29%","87.30%","8",".31%","12.70%","63",".29%"
"Fulton","1,691","8.96%","94.36%","101","3.87%","5.64%","1,792","8.34%"
"Gilmer","41",".22%","80.39%","10",".38%","19.61%","51",".24%"
"Glynn","116",".61%","93.55%","8",".31%","6.45%","124",".58%"
"Gordon","144",".76%","84.71%","26","1.00%","15.29%","170",".79%"
"Grady","82",".43%","88.17%","11",".42%","11.83%","93",".43%"
"Greene","30",".16%","85.71%","5",".19%","14.29%","35",".16%"
"Gwinnett","554","2.93%","85.76%","92","3.52%","14.24%","646","3.01%"
"Habersham","46",".24%","88.46%","6",".23%","11.54%","52",".24%"
"Hall","366","1.94%","88.62%","47","1.80%","11.38%","413","1.92%"
