"Age At Admission","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"13","1","0.01%","100.00%","","","","1","0.01%"
"15","7","0.04%","100.00%","","","","7","0.03%"
"16","12","0.06%","85.71%","2","0.10%","14.29%","14","0.07%"
"17","151","0.78%","97.42%","4","0.19%","2.58%","155","0.72%"
"18","473","2.45%","98.13%","9","0.43%","1.87%","482","2.25%"
"19","637","3.30%","95.79%","28","1.35%","4.21%","665","3.11%"
"20","689","3.57%","93.49%","48","2.31%","6.51%","737","3.45%"
"21","794","4.11%","95.32%","39","1.88%","4.68%","833","3.89%"
"22","762","3.95%","93.96%","49","2.36%","6.04%","811","3.79%"
"23","797","4.13%","93.43%","56","2.69%","6.57%","853","3.99%"
"24","791","4.10%","92.51%","64","3.08%","7.49%","855","4.00%"
"25","767","3.97%","91.42%","72","3.46%","8.58%","839","3.92%"
"26","753","3.90%","90.94%","75","3.61%","9.06%","828","3.87%"
"27","766","3.97%","90.87%","77","3.70%","9.13%","843","3.94%"
"28","737","3.82%","90.32%","79","3.80%","9.68%","816","3.81%"
"29","693","3.59%","90.59%","72","3.46%","9.41%","765","3.58%"
"30","709","3.67%","90.43%","75","3.61%","9.57%","784","3.67%"
"31","629","3.26%","90.50%","66","3.17%","9.50%","695","3.25%"
"32","574","2.97%","89.83%","65","3.13%","10.17%","639","2.99%"
"33","552","2.86%","88.75%","70","3.37%","11.25%","622","2.91%"
"34","488","2.53%","87.14%","72","3.46%","12.86%","560","2.62%"
"35","494","2.56%","90.31%","53","2.55%","9.69%","547","2.56%"
"36","480","2.49%","88.24%","64","3.08%","11.76%","544","2.54%"
"37","456","2.36%","86.86%","69","3.32%","13.14%","525","2.45%"
"38","482","2.50%","87.16%","71","3.42%","12.84%","553","2.59%"
"39","430","2.23%","84.31%","80","3.85%","15.69%","510","2.38%"
"40","405","2.10%","88.24%","54","2.60%","11.76%","459","2.15%"
"41","383","1.98%","84.55%","70","3.37%","15.45%","453","2.12%"
"42","415","2.15%","85.39%","71","3.42%","14.61%","486","2.27%"
"43","365","1.89%","86.08%","59","2.84%","13.92%","424","1.98%"
"44","377","1.95%","84.53%","69","3.32%","15.47%","446","2.09%"
"45","348","1.80%","85.71%","58","2.79%","14.29%","406","1.90%"
"46","369","1.91%","86.42%","58","2.79%","13.58%","427","2.00%"
"47","314","1.63%","86.26%","50","2.41%","13.74%","364","1.70%"
"48","304","1.57%","89.41%","36","1.73%","10.59%","340","1.59%"
"49","291","1.51%","89.81%","33","1.59%","10.19%","324","1.51%"
"50","238","1.23%","88.48%","31","1.49%","11.52%","269","1.26%"
"51","221","1.14%","90.57%","23","1.11%","9.43%","244","1.14%"
"52","196","1.01%","89.91%","22","1.06%","10.09%","218","1.02%"
"53","158","0.82%","88.27%","21","1.01%","11.73%","179","0.84%"
"54","133","0.69%","93.66%","9","0.43%","6.34%","142","0.66%"
"55","138","0.71%","89.03%","17","0.82%","10.97%","155","0.72%"
"56","92","0.48%","91.09%","9","0.43%","8.91%","101","0.47%"
"57","81","0.42%","91.01%","8","0.38%","8.99%","89","0.42%"
"58","57","0.30%","95.00%","3","0.14%","5.00%","60","0.28%"
"59","79","0.41%","94.05%","5","0.24%","5.95%","84","0.39%"
"60","46","0.24%","90.20%","5","0.24%","9.80%","51","0.24%"
"61","36","0.19%","92.31%","3","0.14%","7.69%","39","0.18%"
"62","35","0.18%","97.22%","1","0.05%","2.78%","36","0.17%"
"63","22","0.11%","88.00%","3","0.14%","12.00%","25","0.12%"
"64","16","0.08%","100.00%","","","","16","0.07%"
"65","13","0.07%","100.00%","","","","13","0.06%"
"66","11","0.06%","100.00%","","","","11","0.05%"
"67","6","0.03%","100.00%","","","","6","0.03%"
"68","7","0.04%","100.00%","","","","7","0.03%"
"69","8","0.04%","100.00%","","","","8","0.04%"
"70","2","0.01%","100.00%","","","","2","0.01%"
"71","2","0.01%","100.00%","","","","2","0.01%"
"72","3","0.02%","75.00%","1","0.05%","25.00%","4","0.02%"
"74","3","0.02%","100.00%","","","","3","0.01%"
"75","3","0.02%","100.00%","","","","3","0.01%"
"76","2","0.01%","100.00%","","","","2","0.01%"
"77","2","0.01%","100.00%","","","","2","0.01%"
"78","2","0.01%","100.00%","","","","2","0.01%"
"79","1","0.01%","100.00%","","","","1","0.01%"
"80","2","0.01%","100.00%","","","","2","0.01%"
"81","1","0.01%","100.00%","","","","1","0.01%"
"83","","","","1","0.05%","100.00%","1","0.01%"
"Total Reported","19,311","100%","90.28%","2,079","100%","9.72%","21,390","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","19,311","","","2,079","","","21,390",""
