"Age At Admission","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"14","1","0.01%","100.00%","","","","1","0.01%"
"15","6","0.03%","100.00%","","","","6","0.03%"
"16","21","0.11%","95.45%","1","0.05%","4.55%","22","0.10%"
"17","147","0.77%","95.45%","7","0.33%","4.55%","154","0.73%"
"18","376","1.98%","95.92%","16","0.74%","4.08%","392","1.85%"
"19","557","2.93%","95.38%","27","1.25%","4.62%","584","2.76%"
"20","623","3.28%","93.97%","40","1.86%","6.03%","663","3.13%"
"21","727","3.82%","94.29%","44","2.04%","5.71%","771","3.64%"
"22","791","4.16%","93.28%","57","2.65%","6.72%","848","4.01%"
"23","761","4.00%","93.26%","55","2.55%","6.74%","816","3.85%"
"24","731","3.84%","91.83%","65","3.02%","8.17%","796","3.76%"
"25","808","4.25%","92.24%","68","3.16%","7.76%","876","4.14%"
"26","773","4.06%","91.70%","70","3.25%","8.30%","843","3.98%"
"27","811","4.26%","89.02%","100","4.64%","10.98%","911","4.30%"
"28","722","3.80%","90.93%","72","3.34%","9.07%","794","3.75%"
"29","684","3.60%","89.18%","83","3.86%","10.82%","767","3.62%"
"30","592","3.11%","90.24%","64","2.97%","9.76%","656","3.10%"
"31","588","3.09%","90.60%","61","2.83%","9.40%","649","3.07%"
"32","487","2.56%","85.59%","82","3.81%","14.41%","569","2.69%"
"33","500","2.63%","91.58%","46","2.14%","8.42%","546","2.58%"
"34","529","2.78%","89.21%","64","2.97%","10.79%","593","2.80%"
"35","507","2.67%","86.96%","76","3.53%","13.04%","583","2.75%"
"36","516","2.71%","85.15%","90","4.18%","14.85%","606","2.86%"
"37","457","2.40%","85.42%","78","3.62%","14.58%","535","2.53%"
"38","455","2.39%","84.57%","83","3.86%","15.43%","538","2.54%"
"39","480","2.52%","86.18%","77","3.58%","13.82%","557","2.63%"
"40","476","2.50%","88.15%","64","2.97%","11.85%","540","2.55%"
"41","459","2.41%","83.91%","88","4.09%","16.09%","547","2.58%"
"42","438","2.30%","84.88%","78","3.62%","15.12%","516","2.44%"
"43","458","2.41%","82.82%","95","4.41%","17.18%","553","2.61%"
"44","429","2.26%","87.91%","59","2.74%","12.09%","488","2.31%"
"45","414","2.18%","85.36%","71","3.30%","14.64%","485","2.29%"
"46","412","2.17%","88.98%","51","2.37%","11.02%","463","2.19%"
"47","350","1.84%","90.21%","38","1.76%","9.79%","388","1.83%"
"48","285","1.50%","88.79%","36","1.67%","11.21%","321","1.52%"
"49","269","1.41%","88.78%","34","1.58%","11.22%","303","1.43%"
"50","228","1.20%","90.84%","23","1.07%","9.16%","251","1.19%"
"51","194","1.02%","91.94%","17","0.79%","8.06%","211","1.00%"
"52","200","1.05%","94.34%","12","0.56%","5.66%","212","1.00%"
"53","140","0.74%","89.17%","17","0.79%","10.83%","157","0.74%"
"54","88","0.46%","92.63%","7","0.33%","7.37%","95","0.45%"
"55","97","0.51%","92.38%","8","0.37%","7.62%","105","0.50%"
"56","89","0.47%","92.71%","7","0.33%","7.29%","96","0.45%"
"57","57","0.30%","91.94%","5","0.23%","8.06%","62","0.29%"
"58","48","0.25%","84.21%","9","0.42%","15.79%","57","0.27%"
"59","55","0.29%","93.22%","4","0.19%","6.78%","59","0.28%"
"60","33","0.17%","100.00%","","","","33","0.16%"
"61","23","0.12%","95.83%","1","0.05%","4.17%","24","0.11%"
"62","20","0.11%","90.91%","2","0.09%","9.09%","22","0.10%"
"63","18","0.09%","100.00%","","","","18","0.09%"
"64","19","0.10%","100.00%","","","","19","0.09%"
"65","15","0.08%","100.00%","","","","15","0.07%"
"66","9","0.05%","100.00%","","","","9","0.04%"
"67","8","0.04%","100.00%","","","","8","0.04%"
"68","4","0.02%","100.00%","","","","4","0.02%"
"69","8","0.04%","88.89%","1","0.05%","11.11%","9","0.04%"
"70","5","0.03%","100.00%","","","","5","0.02%"
"71","3","0.02%","100.00%","","","","3","0.01%"
"72","5","0.03%","100.00%","","","","5","0.02%"
"73","3","0.02%","100.00%","","","","3","0.01%"
"74","3","0.02%","100.00%","","","","3","0.01%"
"75","1","0.01%","100.00%","","","","1","0.01%"
"76","2","0.01%","100.00%","","","","2","0.01%"
"78","1","0.01%","100.00%","","","","1","0.01%"
"79","1","0.01%","100.00%","","","","1","0.01%"
"81","1","0.01%","100.00%","","","","1","0.01%"
"Total Reported","19,018","100%","89.83%","2,153","100%","10.17%","21,171","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","19,018","","","2,153","","","21,171",""
