"Age At Admission","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"13","1","0.01%","100.00%","","","","1","0.01%"
"14","4","0.02%","100.00%","","","","4","0.02%"
"15","6","0.03%","100.00%","","","","6","0.03%"
"16","11","0.06%","91.67%","1","0.05%","8.33%","12","0.06%"
"17","154","0.90%","95.06%","8","0.38%","4.94%","162","0.84%"
"18","337","1.96%","96.29%","13","0.61%","3.71%","350","1.81%"
"19","511","2.97%","94.81%","28","1.32%","5.19%","539","2.79%"
"20","659","3.84%","96.06%","27","1.28%","3.94%","686","3.55%"
"21","650","3.78%","94.48%","38","1.80%","5.52%","688","3.57%"
"22","747","4.35%","93.14%","55","2.60%","6.86%","802","4.16%"
"23","705","4.10%","91.09%","69","3.26%","8.91%","774","4.01%"
"24","714","4.16%","89.59%","83","3.92%","10.41%","797","4.13%"
"25","745","4.34%","91.41%","70","3.31%","8.59%","815","4.22%"
"26","720","4.19%","90.34%","77","3.64%","9.66%","797","4.13%"
"27","671","3.91%","90.07%","74","3.50%","9.93%","745","3.86%"
"28","586","3.41%","89.47%","69","3.26%","10.53%","655","3.39%"
"29","572","3.33%","89.80%","65","3.07%","10.20%","637","3.30%"
"30","517","3.01%","89.45%","61","2.88%","10.55%","578","3.00%"
"31","528","3.07%","89.04%","65","3.07%","10.96%","593","3.07%"
"32","489","2.85%","87.32%","71","3.36%","12.68%","560","2.90%"
"33","485","2.82%","87.23%","71","3.36%","12.77%","556","2.88%"
"34","465","2.71%","86.92%","70","3.31%","13.08%","535","2.77%"
"35","494","2.88%","84.30%","92","4.35%","15.70%","586","3.04%"
"36","496","2.89%","85.96%","81","3.83%","14.04%","577","2.99%"
"37","446","2.60%","85.44%","76","3.59%","14.56%","522","2.70%"
"38","477","2.78%","85.64%","80","3.78%","14.36%","557","2.89%"
"39","437","2.54%","86.19%","70","3.31%","13.81%","507","2.63%"
"40","423","2.46%","82.62%","89","4.21%","17.38%","512","2.65%"
"41","428","2.49%","83.59%","84","3.97%","16.41%","512","2.65%"
"42","395","2.30%","83.86%","76","3.59%","16.14%","471","2.44%"
"43","388","2.26%","85.65%","65","3.07%","14.35%","453","2.35%"
"44","356","2.07%","83.57%","70","3.31%","16.43%","426","2.21%"
"45","369","2.15%","87.44%","53","2.50%","12.56%","422","2.19%"
"46","301","1.75%","87.50%","43","2.03%","12.50%","344","1.78%"
"47","277","1.61%","85.49%","47","2.22%","14.51%","324","1.68%"
"48","243","1.41%","90.67%","25","1.18%","9.33%","268","1.39%"
"49","214","1.25%","88.07%","29","1.37%","11.93%","243","1.26%"
"50","204","1.19%","88.70%","26","1.23%","11.30%","230","1.19%"
"51","177","1.03%","88.94%","22","1.04%","11.06%","199","1.03%"
"52","148","0.86%","90.24%","16","0.76%","9.76%","164","0.85%"
"53","117","0.68%","90.00%","13","0.61%","10.00%","130","0.67%"
"54","93","0.54%","94.90%","5","0.24%","5.10%","98","0.51%"
"55","76","0.44%","86.36%","12","0.57%","13.64%","88","0.46%"
"56","67","0.39%","91.78%","6","0.28%","8.22%","73","0.38%"
"57","54","0.31%","94.74%","3","0.14%","5.26%","57","0.30%"
"58","47","0.27%","88.68%","6","0.28%","11.32%","53","0.27%"
"59","29","0.17%","90.63%","3","0.14%","9.38%","32","0.17%"
"60","26","0.15%","96.30%","1","0.05%","3.70%","27","0.14%"
"61","22","0.13%","91.67%","2","0.09%","8.33%","24","0.12%"
"62","17","0.10%","89.47%","2","0.09%","10.53%","19","0.10%"
"63","24","0.14%","92.31%","2","0.09%","7.69%","26","0.13%"
"64","10","0.06%","100.00%","","","","10","0.05%"
"65","7","0.04%","87.50%","1","0.05%","12.50%","8","0.04%"
"66","9","0.05%","100.00%","","","","9","0.05%"
"67","8","0.05%","100.00%","","","","8","0.04%"
"68","4","0.02%","80.00%","1","0.05%","20.00%","5","0.03%"
"69","5","0.03%","100.00%","","","","5","0.03%"
"70","2","0.01%","100.00%","","","","2","0.01%"
"71","3","0.02%","100.00%","","","","3","0.02%"
"72","3","0.02%","100.00%","","","","3","0.02%"
"73","3","0.02%","100.00%","","","","3","0.02%"
"74","1","0.01%","100.00%","","","","1","0.01%"
"76","1","0.01%","100.00%","","","","1","0.01%"
"78","2","0.01%","100.00%","","","","2","0.01%"
"81","2","0.01%","100.00%","","","","2","0.01%"
"Total Reported","17,182","100%","89.04%","2,116","100%","10.96%","19,298","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","17,182","","","2,116","","","19,298",""
