"Age At Admission","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"16","","","","1","0.06%","100.00%","1","0.01%"
"17","3","0.02%","50.00%","3","0.17%","50.00%","6","0.04%"
"18","136","1.04%","91.28%","13","0.75%","8.72%","149","1.00%"
"19","217","1.66%","94.76%","12","0.69%","5.24%","229","1.54%"
"20","263","2.01%","92.93%","20","1.15%","7.07%","283","1.91%"
"21","316","2.41%","92.67%","25","1.44%","7.33%","341","2.30%"
"22","384","2.93%","92.98%","29","1.67%","7.02%","413","2.79%"
"23","368","2.81%","90.64%","38","2.19%","9.36%","406","2.74%"
"24","402","3.07%","88.94%","50","2.88%","11.06%","452","3.05%"
"25","375","2.86%","89.29%","45","2.59%","10.71%","420","2.83%"
"26","384","2.93%","89.10%","47","2.71%","10.90%","431","2.91%"
"27","448","3.42%","90.69%","46","2.65%","9.31%","494","3.33%"
"28","425","3.25%","86.56%","66","3.80%","13.44%","491","3.31%"
"29","462","3.53%","88.68%","59","3.40%","11.32%","521","3.51%"
"30","487","3.72%","88.07%","66","3.80%","11.93%","553","3.73%"
"31","526","4.02%","88.11%","71","4.09%","11.89%","597","4.03%"
"32","518","3.96%","87.06%","77","4.43%","12.94%","595","4.01%"
"33","472","3.61%","88.06%","64","3.68%","11.94%","536","3.61%"
"34","427","3.26%","84.22%","80","4.61%","15.78%","507","3.42%"
"35","397","3.03%","86.49%","62","3.57%","13.51%","459","3.10%"
"36","414","3.16%","85.89%","68","3.91%","14.11%","482","3.25%"
"37","400","3.06%","84.39%","74","4.26%","15.61%","474","3.20%"
"38","356","2.72%","85.17%","62","3.57%","14.83%","418","2.82%"
"39","361","2.76%","88.70%","46","2.65%","11.30%","407","2.74%"
"40","362","2.77%","83.03%","74","4.26%","16.97%","436","2.94%"
"41","371","2.83%","89.61%","43","2.48%","10.39%","414","2.79%"
"42","325","2.48%","86.44%","51","2.94%","13.56%","376","2.54%"
"43","322","2.46%","88.95%","40","2.30%","11.05%","362","2.44%"
"44","258","1.97%","85.15%","45","2.59%","14.85%","303","2.04%"
"45","234","1.79%","83.87%","45","2.59%","16.13%","279","1.88%"
"46","212","1.62%","86.53%","33","1.90%","13.47%","245","1.65%"
"47","181","1.38%","88.29%","24","1.38%","11.71%","205","1.38%"
"48","195","1.49%","89.45%","23","1.32%","10.55%","218","1.47%"
"49","176","1.34%","86.27%","28","1.61%","13.73%","204","1.38%"
"50","210","1.60%","89.36%","25","1.44%","10.64%","235","1.58%"
"51","171","1.31%","89.06%","21","1.21%","10.94%","192","1.29%"
"52","168","1.28%","90.81%","17","0.98%","9.19%","185","1.25%"
"53","143","1.09%","90.51%","15","0.86%","9.49%","158","1.07%"
"54","132","1.01%","89.19%","16","0.92%","10.81%","148","1.00%"
"55","127","0.97%","89.44%","15","0.86%","10.56%","142","0.96%"
"56","126","0.96%","90.65%","13","0.75%","9.35%","139","0.94%"
"57","141","1.08%","88.13%","19","1.09%","11.88%","160","1.08%"
"58","98","0.75%","85.96%","16","0.92%","14.04%","114","0.77%"
"59","87","0.66%","87.88%","12","0.69%","12.12%","99","0.67%"
"60","81","0.62%","86.17%","13","0.75%","13.83%","94","0.63%"
"61","64","0.49%","95.52%","3","0.17%","4.48%","67","0.45%"
"62","59","0.45%","92.19%","5","0.29%","7.81%","64","0.43%"
"63","61","0.47%","96.83%","2","0.12%","3.17%","63","0.42%"
"64","40","0.31%","93.02%","3","0.17%","6.98%","43","0.29%"
"65","40","0.31%","90.91%","4","0.23%","9.09%","44","0.30%"
"66","23","0.18%","92.00%","2","0.12%","8.00%","25","0.17%"
"67","28","0.21%","93.33%","2","0.12%","6.67%","30","0.20%"
"68","24","0.18%","92.31%","2","0.12%","7.69%","26","0.18%"
"69","10","0.08%","90.91%","1","0.06%","9.09%","11","0.07%"
"70","19","0.15%","100.00%","","","","19","0.13%"
"71","10","0.08%","100.00%","","","","10","0.07%"
"72","5","0.04%","100.00%","","","","5","0.03%"
"73","9","0.07%","100.00%","","","","9","0.06%"
"74","6","0.05%","100.00%","","","","6","0.04%"
"75","11","0.08%","91.67%","1","0.06%","8.33%","12","0.08%"
"76","2","0.02%","100.00%","","","","2","0.01%"
"77","5","0.04%","100.00%","","","","5","0.03%"
"78","4","0.03%","100.00%","","","","4","0.03%"
"79","2","0.02%","100.00%","","","","2","0.01%"
"80","5","0.04%","100.00%","","","","5","0.03%"
"81","3","0.02%","100.00%","","","","3","0.02%"
"Total Reported","13,091","100%","88.29%","1,737","100%","11.71%","14,828","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","13,091","","","1,737","","","14,828",""
