report,PSIY_0-1,PSIY_1.1-2,PSIY_2.1-3,PSIY_3.1-4,PSIY_4.1-5,PSIY_5.1-6,PSIY_6.1-7,PSIY_7.1-8,PSIY_8.1-9,PSIY_9.1-10,PSIY_10.1-12,PSIY_12.1-15,PSIY_15.1-20,PSIY_20.1+,PSIY_life,PSIY_LWOP,PSIY_death,PSIY_YO,PSIY_total_reported,PSIY_not_reported,total_pop,PSIY_0-1_m,PSIY_1.1-2_m,PSIY_2.1-3_m,PSIY_3.1-4_m,PSIY_4.1-5_m,PSIY_5.1-6_m,PSIY_6.1-7_m,PSIY_7.1-8_m,PSIY_8.1-9_m,PSIY_9.1-10_m,PSIY_10.1-12_m,PSIY_12.1-15_m,PSIY_15.1-20_m,PSIY_20.1+_m,PSIY_life_m,PSIY_LWOP_m,PSIY_death_m,PSIY_YO_m,PSIY_total_reported_m,PSIY_not_reported_m,total_male_pop,PSIY_0-1_f,PSIY_1.1-2_f,PSIY_2.1-3_f,PSIY_3.1-4_f,PSIY_4.1-5_f,PSIY_5.1-6_f,PSIY_6.1-7_f,PSIY_7.1-8_f,PSIY_8.1-9_f,PSIY_9.1-10_f,PSIY_10.1-12_f,PSIY_12.1-15_f,PSIY_15.1-20_f,PSIY_20.1+_f,PSIY_life_f,PSIY_LWOP_f,PSIY_death_f,PSIY_YO_f,PSIY_total_reported_f,PSIY_not_reported_f,total_female_pop
2005-07,1138,3647,3731,2802,4908,2092,1994,1876,767,6180,2348,3495,3492,2668,6279,397,106,3,47925,0,47925,1071,3317,3396,2571,4568,1960,1885,1773,730,5890,2232,3353,3367,2607,6012,391,105,3,45232,0,45232,67,330,335,231,340,132,109,103,37,290,116,142,125,61,267,6,1,0,2693,0,2693
2005-08,1103,3616,3702,2792,4895,2100,2002,1889,776,6183,2346,3520,3516,2666,6296,399,107,3,47912,0,47912,1031,3282,3367,2561,4547,1966,1893,1784,738,5892,2226,3377,3389,2602,6028,393,106,3,45186,0,45186,72,334,335,231,348,134,109,105,38,291,120,143,127,64,268,6,1,0,2726,0,2726
2005-09,1135,3635,3686,2785,4820,2072,1979,1881,786,6149,2350,3512,3507,2672,6282,393,104,3,47752,0,47752,1050,3303,3340,2555,4461,1936,1870,1773,748,5856,2230,3372,3379,2608,6015,387,103,3,44990,0,44990,85,332,346,230,359,136,109,108,38,293,120,140,128,64,267,6,1,0,2762,0,2762
2005-10,1087,3526,3682,2734,4869,2043,1976,1861,787,6127,2348,3489,3486,2686,6284,393,101,3,47483,0,47483,996,3204,3311,2508,4500,1917,1870,1756,744,5833,2231,3354,3358,2622,6018,387,100,3,44713,0,44713,91,322,371,226,369,126,106,105,43,294,117,135,128,64,266,6,1,0,2770,0,2770
2005-11,1231,3676,3778,2787,4972,2068,2000,1898,794,6152,2355,3523,3498,2710,6305,400,101,3,48253,0,48253,1129,3337,3400,2552,4600,1940,1894,1787,750,5858,2238,3385,3369,2647,6040,394,100,3,45425,0,45425,102,339,378,235,372,128,106,111,44,294,117,138,129,63,265,6,1,0,2828,0,2828
2005-12,1316,3896,3820,2781,4998,2067,2009,1898,804,6143,2360,3518,3508,2720,6319,410,103,3,48674,0,48674,1201,3536,3437,2549,4641,1934,1907,1790,757,5850,2242,3381,3378,2658,6052,404,102,3,45823,0,45823,115,360,383,232,357,133,102,108,47,293,118,137,130,62,267,6,1,0,2851,0,2851
2006-01,1355,3915,3877,2790,4990,2040,2008,1907,800,6117,2355,3528,3506,2727,6317,411,102,3,48749,0,48749,1241,3551,3472,2553,4626,1910,1906,1793,751,5822,2240,3392,3375,2665,6049,405,101,3,45856,0,45856,114,364,405,237,364,130,102,114,49,295,115,136,131,62,268,6,1,0,2893,0,2893
2006-02,1580,3833,3920,2886,5034,2102,2024,1929,827,6172,2360,3538,3528,2730,6336,417,101,3,49321,0,49321,1439,3422,3493,2625,4648,1960,1913,1805,776,5869,2245,3400,3398,2667,6070,410,100,3,46244,0,46244,141,411,427,261,386,142,111,124,51,303,115,138,130,63,266,7,1,0,3077,0,3077
2006-03,1639,3975,4079,2953,5147,2119,2044,1954,824,6191,2368,3532,3530,2723,6356,415,100,3,49953,0,49953,1480,3513,3595,2667,4719,1977,1924,1828,773,5884,2252,3391,3404,2657,6087,409,99,3,46663,0,46663,159,462,484,286,428,142,120,126,51,307,116,141,126,66,269,6,1,0,3290,0,3290
2006-04,2031,3974,4098,2970,5162,2127,2066,1932,820,6230,2358,3552,3528,2725,6360,421,99,3,50457,0,50457,1815,3518,3615,2677,4723,1982,1937,1810,768,5924,2243,3412,3404,2663,6089,415,98,3,47097,0,47097,216,456,483,293,439,145,129,122,52,306,115,140,124,62,271,6,1,0,3360,0,3360
2006-05,1953,4148,4183,3003,5225,2166,2078,1950,829,6280,2388,3572,3538,2736,6389,420,99,3,51051,0,51051,1776,3700,3697,2713,4782,2018,1951,1825,776,5971,2272,3429,3413,2673,6115,414,98,3,47701,0,47701,177,448,486,290,443,148,127,125,53,309,116,143,125,63,274,6,1,0,3350,0,3350
2006-06,2416,4294,4428,3130,5442,2281,2129,1984,835,6366,2420,3604,3558,2747,6426,426,100,3,52635,0,52635,2188,3824,3916,2835,4977,2126,2004,1858,783,6043,2303,3457,3433,2681,6152,420,99,3,49127,0,49127,228,470,512,295,465,155,125,126,52,323,117,147,125,66,274,6,1,0,3508,0,3508
