"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","2,759","14.51%","87.59%","391","18.16%","12.41%","3,150","14.88%"
"1.1 - 2","4,005","21.06%","87.52%","571","26.52%","12.48%","4,576","21.61%"
"2.1 - 3","2,946","15.49%","87.68%","414","19.23%","12.32%","3,360","15.87%"
"3.1 - 4","1,594","8.38%","89.85%","180","8.36%","10.15%","1,774","8.38%"
"4.1 - 5","2,548","13.40%","91.49%","237","11.01%","8.51%","2,785","13.15%"
"5.1 - 6","769","4.04%","90.58%","80","3.72%","9.42%","849","4.01%"
"6.1 - 7","636","3.34%","93.81%","42","1.95%","6.19%","678","3.20%"
"7.1 - 8","518","2.72%","92.67%","41","1.90%","7.33%","559","2.64%"
"8.1 - 9","173","0.91%","92.51%","14","0.65%","7.49%","187","0.88%"
"9.1 - 10","1,264","6.65%","92.87%","97","4.51%","7.13%","1,361","6.43%"
"10.1 - 12","403","2.12%","94.82%","22","1.02%","5.18%","425","2.01%"
"12.1 - 15","466","2.45%","94.14%","29","1.35%","5.86%","495","2.34%"
"15.1 - 20","322","1.69%","97.28%","9","0.42%","2.72%","331","1.56%"
"20.1 - Over","243","1.28%","96.81%","8","0.37%","3.19%","251","1.19%"
"Life","347","1.82%","95.07%","18","0.84%","4.93%","365","1.72%"
"Life Without Parole","21","0.11%","100.00%","0","","","21","0.10%"
"Death","4","0.02%","100.00%","0","","","4","0.02%"
"Total Reported","19,018","100%","89.83%","2,153","100.0%","10.17%","21,171","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","19,018","","","2,153","","","21,171",""
