"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","570","3.14%","90.91%","57","2.58%","9.09%","627","3.08%"
"1.1 - 2","809","4.45%","89.49%","95","4.30%","10.51%","904","4.44%"
"2.1 - 3","788","4.34%","89.95%","88","3.98%","10.05%","876","4.30%"
"3.1 - 4","785","4.32%","89.41%","93","4.21%","10.59%","878","4.31%"
"4.1 - 5","1,961","10.80%","86.89%","296","13.39%","13.11%","2,257","11.08%"
"5.1 - 6","953","5.25%","88.73%","121","5.48%","11.27%","1,074","5.27%"
"6.1 - 7","916","5.04%","89.80%","104","4.71%","10.20%","1,020","5.01%"
"7.1 - 8","863","4.75%","89.06%","106","4.80%","10.94%","969","4.76%"
"8.1 - 9","717","3.95%","89.96%","80","3.62%","10.04%","797","3.91%"
"9.1 - 10","2,847","15.67%","87.17%","419","18.96%","12.83%","3,266","16.03%"
"10.1 - 12","1,243","6.84%","88.66%","159","7.19%","11.34%","1,402","6.88%"
"12.1 - 15","1,894","10.43%","88.75%","240","10.86%","11.25%","2,134","10.47%"
"15.1 - 20","2,030","11.18%","90.87%","204","9.23%","9.13%","2,234","10.96%"
"20.1 - Over","1,376","7.58%","92.72%","108","4.89%","7.28%","1,484","7.28%"
"Life","299","1.65%","90.88%","30","1.36%","9.12%","329","1.61%"
"Life Without Parole","112","0.62%","91.80%","10","0.45%","8.20%","122","0.60%"
"Death","1","0.01%","100.00%","0","","","1","0.01%"
"Total Reported","18,164","100%","89.15%","2,210","100.0%","10.85%","20,374","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","18,164","","","2,210","","","20,374",""
