"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","2,990","16.60%","85.45%","509","23.16%","14.55%","3,499","17.31%"
"1.1 - 2","4,230","23.48%","88.48%","551","25.07%","11.52%","4,781","23.65%"
"2.1 - 3","2,582","14.33%","86.85%","391","17.79%","13.15%","2,973","14.71%"
"3.1 - 4","1,421","7.89%","88.87%","178","8.10%","11.13%","1,599","7.91%"
"4.1 - 5","2,219","12.32%","89.40%","262","11.92%","10.56%","2,482","12.28%"
"5.1 - 6","633","3.51%","90.56%","66","3.00%","9.44%","699","3.46%"
"6.1 - 7","563","3.13%","92.45%","46","2.09%","7.55%","609","3.01%"
"7.1 - 8","448","2.49%","91.24%","43","1.96%","8.76%","491","2.43%"
"8.1 - 9","259","1.44%","95.57%","12","0.55%","4.43%","271","1.34%"
"9.1 - 10","1,003","5.57%","94.89%","54","2.46%","5.11%","1,057","5.23%"
"10.1 - 12","299","1.66%","94.92%","16","0.73%","5.08%","315","1.56%"
"12.1 - 15","459","2.55%","95.43%","21","0.96%","4.37%","481","2.38%"
"15.1 - 20","311","1.73%","95.40%","15","0.68%","4.60%","326","1.61%"
"20.1 - Over","241","1.34%","94.88%","13","0.59%","5.12%","254","1.26%"
"Life","308","1.71%","93.90%","20","0.91%","6.10%","328","1.62%"
"Life Without Parole","47","0.26%","97.92%","1","0.05%","2.08%","48","0.24%"
"Death","2","0.01%","100.00%","0","","","2","0.01%"
"Total Reported","18,015","100%","89.12%","2,198","100.0%","10.87%","20,215","100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","18,015","","","2,198","","","20,215",""
