"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","523","2.74%","91.75%","47","2.26%","8.25%","570","2.69%"
"1.1 - 2","765","4.01%","91.40%","72","3.46%","8.60%","837","3.95%"
"2.1 - 3","764","4.00%","91.17%","74","3.56%","8.83%","838","3.96%"
"3.1 - 4","759","3.98%","90.25%","82","3.94%","9.75%","841","3.97%"
"4.1 - 5","2,032","10.65%","88.19%","272","13.08%","11.81%","2,304","10.89%"
"5.1 - 6","1,000","5.24%","89.93%","112","5.38%","10.07%","1,112","5.25%"
"6.1 - 7","1,004","5.26%","90.29%","108","5.19%","9.71%","1,112","5.25%"
"7.1 - 8","873","4.57%","90.28%","94","4.52%","9.72%","967","4.57%"
"8.1 - 9","732","3.84%","89.82%","83","3.99%","10.18%","815","3.85%"
"9.1 - 10","3,557","18.64%","89.15%","433","20.82%","10.85%","3,990","18.85%"
"10.1 - 12","1,515","7.94%","89.86%","171","8.22%","10.14%","1,686","7.97%"
"12.1 - 15","2,227","11.67%","90.20%","242","11.63%","9.80%","2,469","11.66%"
"15.1 - 20","2,103","11.02%","90.88%","211","10.14%","9.12%","2,314","10.93%"
"20.1 - Over","1,050","5.50%","93.58%","72","3.46%","6.42%","1,122","5.30%"
"Life","172","0.90%","96.09%","7","0.34%","3.91%","179","0.85%"
"Life Without Parole","8","0.04%","100.00%","0","","","8","0.04%"
"Death","2","0.01%","100.00%","0","","","2","0.01%"
"Total Reported","19,086","100%","90.17%","2,080","100%","9.83%","21,166","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","19,086","","","2,080","","","21,166",""
