"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","327","2.55%","85.16%","57","3.32%","14.84%","384","2.64%"
"1.1 - 2","431","3.36%","89.60%","50","2.91%","10.40%","481","3.31%"
"2.1 - 3","596","4.65%","81.20%","138","8.03%","18.80%","734","5.05%"
"3.1 - 4","443","3.45%","85.03%","78","4.54%","14.97%","521","3.58%"
"4.1 - 5","993","7.74%","86.95%","149","8.67%","13.05%","1,142","7.85%"
"5.1 - 6","526","4.10%","86.66%","81","4.71%","13.34%","607","4.17%"
"6.1 - 7","457","3.56%","87.21%","67","3.90%","12.79%","524","3.60%"
"7.1 - 8","548","4.27%","90.43%","58","3.37%","9.57%","606","4.17%"
"8.1 - 9","580","4.52%","91.19%","56","3.26%","8.81%","636","4.37%"
"9.1 - 10","1,459","11.38%","86.48%","228","13.26%","13.52%","1,687","11.60%"
"10.1 - 12","756","5.90%","89.47%","89","5.18%","10.53%","845","5.81%"
"12.1 - 15","1,513","11.80%","87.86%","209","12.16%","12.14%","1,722","11.84%"
"15.1 - 20","1,949","15.20%","89.16%","237","13.79%","10.84%","2,186","15.03%"
"20.1 - Over","1,750","13.65%","90.77%","178","10.35%","9.23%","1,928","13.26%"
"Life","304","2.37%","90.48%","32","1.86%","9.52%","336","2.31%"
"Life Without Parole","189","1.47%","94.50%","11","0.64%","5.50%","200","1.38%"
"Youthful Offenders","1","0.01%","50.00%","1","0.06%","50.00%","2","0.01%"
"Total Reported","12,822","100%","88.18%","1,719","100.0%","11.82%","14,541","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","12,822","","","1,719","","","14,541",""
