"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","451","2.82%","88.95%","56","2.66%","11.05%","507","2.80%"
"1.1 - 2","591","3.70%","90.09%","65","3.08%","9.91%","656","3.62%"
"2.1 - 3","771","4.82%","82.73%","161","7.64%","17.27%","932","5.15%"
"3.1 - 4","654","4.09%","85.38%","112","5.32%","14.62%","766","4.23%"
"4.1 - 5","1,624","10.16%","85.29%","280","13.29%","14.71%","1,904","10.52%"
"5.1 - 6","811","5.07%","86.37%","128","6.07%","13.63%","939","5.19%"
"6.1 - 7","755","4.72%","87.18%","111","5.27%","12.82%","866","4.79%"
"7.1 - 8","782","4.89%","88.96%","97","4.60%","11.04%","879","4.86%"
"8.1 - 9","710","4.44%","91.61%","65","3.08%","8.39%","775","4.28%"
"9.1 - 10","2,025","12.66%","85.88%","333","15.80%","14.12%","2,358","13.03%"
"10.1 - 12","1,142","7.14%","88.80%","144","6.83%","11.20%","1,286","7.11%"
"12.1 - 15","1,795","11.23%","90.61%","186","8.83%","9.39%","1,981","10.95%"
"15.1 - 20","1,928","12.06%","90.60%","200","9.49%","9.40%","2,128","11.76%"
"20.1 - Over","1,475","9.22%","90.99%","146","6.93%","9.01%","1,621","8.96%"
"Life","276","1.73%","95.83%","12","0.57%","4.17%","288","1.59%"
"Life Without Parole","122","0.76%","93.13%","9","0.43%","6.87%","131","0.72%"
"Death","10","0.06%","100.00%","0","","","10","0.06%"
"Youthful Offenders","68","0.43%","97.14%","2","0.09%","2.86%","70","0.39%"
"Total Reported","15,990","100%","88.36%","2,107","100%","11.64%","18,097","100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","15,990","","","2,107","","","18,097",""
