"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","3,493","18.68%","87.37%","504","21.93%","12.61%","3,998","19.04%"
"1.1 - 2","3,570","19.09%","84.96%","631","27.46%","15.02%","4,202","20.01%"
"2.1 - 3","2,415","12.92%","87.15%","356","15.49%","12.85%","2,771","13.20%"
"3.1 - 4","1,550","8.29%","88.22%","207","9.01%","11.78%","1,757","8.37%"
"4.1 - 5","2,306","12.33%","91.62%","211","9.18%","8.38%","2,517","11.99%"
"5.1 - 6","914","4.89%","90.05%","101","4.40%","9.95%","1,015","4.83%"
"6.1 - 7","718","3.84%","92.88%","55","2.39%","7.12%","773","3.68%"
"7.1 - 8","569","3.04%","91.33%","54","2.35%","8.67%","623","2.97%"
"8.1 - 9","247","1.32%","93.56%","17","0.74%","6.44%","264","1.26%"
"9.1 - 10","1,241","6.64%","93.45%","87","3.79%","6.55%","1,328","6.32%"
"10.1 - 12","496","2.65%","94.66%","28","1.22%","5.34%","524","2.50%"
"12.1 - 15","434","2.32%","96.23%","17","0.74%","3.77%","451","2.15%"
"15.1 - 20","299","1.60%","96.14%","12","0.52%","3.86%","311","1.48%"
"20.1 - Over","217","1.16%","95.59%","10","0.44%","4.41%","227","1.08%"
"Life","229","1.22%","96.62%","8","0.35%","3.38%","237","1.13%"
"Death","1","0.01%","100.00%","0","","","1","0.01%"
"Total Reported","18,699","100%","89.05%","2,298","100.0%","10.94%","20,999","100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","18,699","","","2,298","","","20,999",""
